,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,prediction
40,dkervina,0.08333333333333333,1.0,0.5,0.5,"[0.08333333333333333,1.0,0.5,0.5]",0.057788050606994545,1.2221027297286025,"[0.057788050606994545,1.2221027297286025]",0
41,dmeic,0.13333333333333333,0.8333333333333334,0.3076923076923077,0.46153846153846156,"[0.13333333333333333,0.8333333333333334,0.3076923076923077,0.46153846153846156]",-0.07844498244496723,1.0041446660524729,"[-0.07844498244496723,1.0041446660524729]",0
42,Dorsi,0.125,1.0,0.4,0.6,"[0.125,1.0,0.4,0.6]",-0.0885625246721552,1.2305829152900045,"[-0.0885625246721552,1.2305829152900045]",1
43,dragana,0.11111111111111112,0.5,0.42857142857142855,0.5714285714285714,"[0.11111111111111112,0.5,0.42857142857142855,0.5714285714285714]",-0.07369887738096159,0.825648512922338,"[-0.07369887738096159,0.825648512922338]",0
44,drejc,0.03125,0.7,0.18181818181818185,0.09090909090909091,"[0.03125,0.7,0.18181818181818185,0.09090909090909091]",0.0957016276413794,0.6775543269641682,"[0.0957016276413794,0.6775543269641682]",0
45,Edvard,0.010416666666666666,1.0,0.7777777777777778,0.1111111111111111,"[0.010416666666666666,1.0,0.7777777777777778,0.1111111111111111]",0.5172902839223459,1.1595212505623544,"[0.5172902839223459,1.1595212505623544]",2
46,Efa i Neno,0.052083333333333336,0.75,0.38461538461538464,0.38461538461538464,"[0.052083333333333336,0.75,0.38461538461538464,0.38461538461538464]",0.04787117399083948,0.9226771225588659,"[0.04787117399083948,0.9226771225588659]",0
47,Elena Nikolovska,0.25,1.0,0.125,0.5,"[0.25,1.0,0.125,0.5]",-0.26221074442745806,1.1006240404581398,"[-0.26221074442745806,1.1006240404581398]",1
48,Ferijan Perkovic,0.04166666666666666,0.875,0.5555555555555556,0.3333333333333333,"[0.04166666666666666,0.875,0.5555555555555556,0.3333333333333333]",0.2080283561421797,1.0679527428189732,"[0.2080283561421797,1.0679527428189732]",2
49,filip mestrovic,0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857,"[0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857]",0.3567405908995632,1.210248927381946,"[0.3567405908995632,1.210248927381946]",2
50,Gasper,0.0625,0.6666666666666666,0.42857142857142855,0.14285714285714285,"[0.0625,0.6666666666666666,0.42857142857142855,0.14285714285714285]",0.21961120528847078,0.7748038966674057,"[0.21961120528847078,0.7748038966674057]",2
51,gcampa,0.04166666666666666,1.0,0.4166666666666667,0.25,"[0.04166666666666666,1.0,0.4166666666666667,0.25]",0.17117281025701242,1.079147065776654,"[0.17117281025701242,1.079147065776654]",2
52,GITA MARINKOVIC,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]",-0.3498651535406849,0.98522632849288,"[-0.3498651535406849,0.98522632849288]",1
53,Goran Cacic,0.08333333333333333,1.0,0.08333333333333333,0.16666666666666666,"[0.08333333333333333,1.0,0.08333333333333333,0.16666666666666666]",-0.021835305705668065,0.9196070388152193,"[-0.021835305705668065,0.9196070388152193]",0
54,Gordana Genc,0.010416666666666666,1.0,0.8888888888888888,0.1111111111111111,"[0.010416666666666666,1.0,0.8888888888888888,0.1111111111111111]",0.5936821428974446,1.203456784441717,"[0.5936821428974446,1.203456784441717]",2
55,gpet,0.016666666666666663,0.9090909090909092,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,0.9090909090909092,0.8333333333333334,0.16666666666666666]",0.5136455241389433,1.1323245065459062,"[0.5136455241389433,1.1323245065459062]",2
56,Gregor Primc,0.016666666666666663,1.0,0.4166666666666667,0.08333333333333333,"[0.016666666666666663,1.0,0.4166666666666667,0.08333333333333333]",0.2839223083280154,1.0062577857079094,"[0.2839223083280154,1.0062577857079094]",2
57,greta,0.0625,0.6666666666666666,0.2857142857142857,0.42857142857142855,"[0.0625,0.6666666666666666,0.2857142857142857,0.42857142857142855]",-0.05590356897433421,0.8363760149931736,"[-0.05590356897433421,0.8363760149931736]",0
58,Hrvoje Juvancic,0.06666666666666668,1.0,0.5555555555555556,0.4444444444444444,"[0.06666666666666668,1.0,0.5555555555555556,0.4444444444444444]",0.13667595966788637,1.218433883100083,"[0.13667595966788637,1.218433883100083]",2
59,Igor29,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,"[0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666]",-0.19131093077437958,1.238470017128638,"[-0.19131093077437958,1.238470017128638]",1
60,IgorGancevic,0.13888888888888887,0.8571428571428571,0.125,0.25,"[0.13888888888888887,0.8571428571428571,0.125,0.25]",-0.07353702424859841,0.8645396886148451,"[-0.07353702424859841,0.8645396886148451]",0
61,igorr,0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111,"[0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111]",0.07704073499045112,0.9649720851396536,"[0.07704073499045112,0.9649720851396536]",0
62,iivana,0.0625,0.8333333333333334,0.2857142857142857,0.14285714285714285,"[0.0625,0.8333333333333334,0.2857142857142857,0.14285714285714285]",0.13062343305553753,0.8523794864726615,"[0.13062343305553753,0.8523794864726615]",0
63,Ines,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]",-0.6192651656138992,1.3091861343269071,"[-0.6192651656138992,1.3091861343269071]",1
64,Ivan Odrljin,0.015151515151515155,0.9166666666666666,0.6923076923076923,0.07692307692307693,"[0.015151515151515155,0.9166666666666666,0.6923076923076923,0.07692307692307693]",0.4733607642009504,1.0453271723682012,"[0.4733607642009504,1.0453271723682012]",2
65,IvanV,0.16666666666666666,0.8,0.3333333333333333,0.3333333333333333,"[0.16666666666666666,0.8,0.3333333333333333,0.3333333333333333]",0.004458785473231336,0.9398556182255413,"[0.004458785473231336,0.9398556182255413]",0
66,Ivica Komljenovic,0.4583333333333333,0.9166666666666666,0.15384615384615385,0.8461538461538461,"[0.4583333333333333,0.9166666666666666,0.15384615384615385,0.8461538461538461]",-0.539515482047481,1.2215380189360805,"[-0.539515482047481,1.2215380189360805]",1
67,Iztok3,0.125,1.0,0.2,0.4,"[0.125,1.0,0.2,0.4]",-0.10196020192095834,1.0688564909876879,"[-0.10196020192095834,1.0688564909876879]",0
68,jadralec Jaro,0.0119047619047619,0.7142857142857143,0.625,0.125,"[0.0119047619047619,0.7142857142857143,0.625,0.125]",0.3872543178701495,0.8752640418916913,"[0.3872543178701495,0.8752640418916913]",2
69,Jadran,0.016666666666666663,1.0,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,1.0,0.8333333333333334,0.16666666666666666]",0.5186802507736463,1.2054503974719624,"[0.5186802507736463,1.2054503974719624]",2
70,Jani Pristavec,0.006944444444444438,1.0,0.6923076923076923,0.07692307692307693,"[0.006944444444444438,1.0,0.6923076923076923,0.07692307692307693]",0.4810376405968352,1.111039358033597,"[0.4810376405968352,1.111039358033597]",2
71,Jasminka,0.033333333333333326,0.8333333333333334,0.5714285714285714,0.2857142857142857,"[0.033333333333333326,0.8333333333333334,0.5714285714285714,0.2857142857142857]",0.24929215433938542,1.0196962504583291,"[0.24929215433938542,1.0196962504583291]",2
72,jelena,0.00833333333333334,1.0,0.9090909090909092,0.09090909090909091,"[0.00833333333333334,1.0,0.9090909090909092,0.09090909090909091]",0.6208849033617879,1.2027622930415964,"[0.6208849033617879,1.2027622930415964]",2
73,Jelena-Marija,0.14583333333333334,0.8,0.2727272727272727,0.6363636363636364,"[0.14583333333333334,0.8,0.2727272727272727,0.6363636363636364]",-0.21747938995168822,1.0377561678818619,"[-0.21747938995168822,1.0377561678818619]",1
74,Jelena Cutura,0.02083333333333333,1.0,0.6,0.2,"[0.02083333333333333,1.0,0.6,0.2]",0.3360183286667058,1.1276296136511879,"[0.3360183286667058,1.1276296136511879]",2
75,jerko,0.08333333333333333,0.9090909090909092,0.5,0.5,"[0.08333333333333333,0.9090909090909092,0.5,0.5]",0.05275332397229149,1.148976838802546,"[0.05275332397229149,1.148976838802546]",0
76,Jerko. Marinkovic,0.04166666666666666,0.9090909090909092,0.6666666666666666,0.3333333333333333,"[0.04166666666666666,0.9090909090909092,0.6666666666666666,0.3333333333333333]",0.2863082376052921,1.139310485795607,"[0.2863082376052921,1.139310485795607]",2
77,Josip Rabanasic,0.0625,0.8333333333333334,0.42857142857142855,0.42857142857142855,"[0.0625,0.8333333333333334,0.42857142857142855,0.42857142857142855]",0.051544867585843646,1.0269286919167904,"[0.051544867585843646,1.0269286919167904]",0
78,josko52@gmail.com,0.20833333333333331,0.8333333333333334,0.14285714285714285,0.7142857142857143,"[0.20833333333333331,0.8333333333333334,0.14285714285714285,0.7142857142857143]",-0.3765922481928245,1.0554655370592159,"[-0.3765922481928245,1.0554655370592159]",1
79,Jure Gros,0.0972222222222222,1.0,0.3076923076923077,0.3076923076923077,"[0.0972222222222222,1.0,0.3076923076923077,0.3076923076923077]",0.03972431272086702,1.0688301973125351,"[0.03972431272086702,1.0688301973125351]",0
80,jure111,0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,1.0,0.16666666666666666,0.8333333333333334]",-0.5025861831492482,1.2816410421010602,"[-0.5025861831492482,1.2816410421010602]",1
81,jurebizjak,0.027777777777777773,1.0,0.5,0.08333333333333333,"[0.027777777777777773,1.0,0.5,0.08333333333333333]",0.3370711178264398,1.0409963519555905,"[0.3370711178264398,1.0409963519555905]",2
82,kapitan72,0.06666666666666668,0.625,0.5555555555555556,0.4444444444444444,"[0.06666666666666668,0.625,0.5555555555555556,0.4444444444444444]",0.11590771229973612,0.916789583030101,"[0.11590771229973612,0.916789583030101]",0
83,Karla,0.08333333333333333,1.0,0.5,0.5,"[0.08333333333333333,1.0,0.5,0.5]",0.057788050606994545,1.2221027297286025,"[0.057788050606994545,1.2221027297286025]",0
84,Karmen Hrvatic,0.06944444444444442,1.0,0.5454545454545454,0.45454545454545453,"[0.06944444444444442,1.0,0.5454545454545454,0.45454545454545453]",0.12242690994619915,1.2190603343998554,"[0.12242690994619915,1.2190603343998554]",2
85,kec,0.2777777777777777,0.9166666666666666,0.07692307692307693,0.07692307692307693,"[0.2777777777777777,0.9166666666666666,0.07692307692307693,0.07692307692307693]",-0.04770733863456664,0.844228100343883,"[-0.04770733863456664,0.844228100343883]",0
86,kemi,0.05000000000000001,0.5714285714285714,0.5,0.25,"[0.05000000000000001,0.5714285714285714,0.5,0.25]",0.20162275108934719,0.7687025601276734,"[0.20162275108934719,0.7687025601276734]",2
87,Kreso,0.16666666666666666,1.0,0.16666666666666666,0.5,"[0.16666666666666666,1.0,0.16666666666666666,0.5]",-0.2024756618150489,1.1036979968767078,"[-0.2024756618150489,1.1036979968767078]",1
88,Kristijan Lopac,0.06944444444444442,0.7,0.2727272727272727,0.18181818181818182,"[0.06944444444444442,0.7,0.2727272727272727,0.18181818181818182]",0.08754275216694744,0.7572088612043475,"[0.08754275216694744,0.7572088612043475]",0
89,Kvasina,0.10000000000000002,1.0,0.4545454545454545,0.5454545454545454,"[0.10000000000000002,1.0,0.4545454545454545,0.5454545454545454]",-0.007887079915434969,1.2255918540168889,"[-0.007887079915434969,1.2255918540168889]",0
90,Labura,0.08333333333333333,1.0,0.25,0.5,"[0.08333333333333333,1.0,0.25,0.5]",-0.11409363208697762,1.1232477785000365,"[-0.11409363208697762,1.1232477785000365]",0
91,Lana,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",0.40552974309843315,1.208720022617043,"[0.40552974309843315,1.208720022617043]",2
92,Lea Svilicic,0.05952380952380953,0.9090909090909092,0.3333333333333333,0.08333333333333333,"[0.05952380952380953,0.9090909090909092,0.3333333333333333,0.08333333333333333]",0.20560550349223253,0.907072634033802,"[0.20560550349223253,0.907072634033802]",2
93,Leo Mihaljevic,0.027777777777777773,1.0,0.75,0.25,"[0.027777777777777773,1.0,0.75,0.25]",0.40552974309843315,1.208720022617043,"[0.40552974309843315,1.208720022617043]",2
94,Luc,0.018518518518518528,1.0,0.8181818181818182,0.18181818181818182,"[0.018518518518518528,1.0,0.8181818181818182,0.18181818181818182]",0.4981702355104696,1.2060178002886717,"[0.4981702355104696,1.2060178002886717]",2
95,lucijan,0.052083333333333336,0.6666666666666666,0.4615384615384616,0.07692307692307693,"[0.052083333333333336,0.6666666666666666,0.4615384615384616,0.07692307692307693]",0.28707755474775,0.7589197126862621,"[0.28707755474775,0.7589197126862621]",2
96,Luka Skocir,0.10416666666666667,1.0,0.4444444444444444,0.5555555555555556,"[0.10416666666666667,1.0,0.4444444444444444,0.5555555555555556]",-0.022654265228734594,1.2264416697964315,"[-0.022654265228734594,1.2264416697964315]",0
97,luka.voncina,0.016666666666666663,1.0,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,1.0,0.8333333333333334,0.16666666666666666]",0.5186802507736463,1.2054503974719624,"[0.5186802507736463,1.2054503974719624]",2
98,lukaaa11,0.04166666666666666,1.0,0.3333333333333333,0.3333333333333333,"[0.04166666666666666,1.0,0.3333333333333333,0.3333333333333333]",0.06216738731469887,1.0806297750835752,"[0.06216738731469887,1.0806297750835752]",0
99,Lupodimare,0.04166666666666666,0.4,0.3333333333333333,0.3333333333333333,"[0.04166666666666666,0.4,0.3333333333333333,0.3333333333333333]",0.028938191525658546,0.5979988949716046,"[0.028938191525658546,0.5979988949716046]",0
100,Maja Demaria,0.05555555555555556,1.0,0.6,0.4,"[0.05555555555555556,1.0,0.6,0.4]",0.19895726997001978,1.215856188964899,"[0.19895726997001978,1.215856188964899]",2
101,Maja Grinek,0.06666666666666668,0.875,0.3333333333333333,0.4444444444444444,"[0.06666666666666668,0.875,0.3333333333333333,0.4444444444444444]",-0.023030507405027933,1.0300147153180303,"[-0.023030507405027933,1.0300147153180303]",0
102,MajaM,0.13333333333333333,0.5833333333333334,0.38461538461538464,0.6153846153846154,"[0.13333333333333333,0.5833333333333334,0.38461538461538464,0.6153846153846154]",-0.13487124671254358,0.8970364997065032,"[-0.13487124671254358,0.8970364997065032]",0
103,Marijana,0.11111111111111112,1.0,0.42857142857142855,0.42857142857142855,"[0.11111111111111112,1.0,0.42857142857142855,0.42857142857142855]",0.04264045404303013,1.1688105820731727,"[0.04264045404303013,1.1688105820731727]",0
104,MARINO BRZAC,0.16666666666666666,0.9090909090909092,0.3333333333333333,0.6666666666666666,"[0.16666666666666666,0.9090909090909092,0.3333333333333333,0.6666666666666666]",-0.19634565740908266,1.1653441262025819,"[-0.19634565740908266,1.1653441262025819]",1
105,Mario Bursac,0.010416666666666666,1.0,0.7777777777777778,0.1111111111111111,"[0.010416666666666666,1.0,0.7777777777777778,0.1111111111111111]",0.5172902839223459,1.1595212505623544,"[0.5172902839223459,1.1595212505623544]",2
106,Mario91,0.2916666666666667,1.0,0.1111111111111111,0.5555555555555556,"[0.2916666666666667,1.0,0.1111111111111111,0.5555555555555556]",-0.321778147021712,1.1247892729272781,"[-0.321778147021712,1.1247892729272781]",1
107,Marjan Henigman,0.00833333333333334,1.0,0.9090909090909092,0.09090909090909091,"[0.00833333333333334,1.0,0.9090909090909092,0.09090909090909091]",0.6208849033617879,1.2027622930415964,"[0.6208849033617879,1.2027622930415964]",2
108,Markisha,0.08333333333333333,1.0,0.5,0.5,"[0.08333333333333333,1.0,0.5,0.5]",0.057788050606994545,1.2221027297286025,"[0.057788050606994545,1.2221027297286025]",0
109,Marko Dundovic,0.0972222222222222,0.9166666666666666,0.15384615384615385,0.07692307692307693,"[0.0972222222222222,0.9166666666666666,0.15384615384615385,0.07692307692307693]",0.07253695987319754,0.8456076260441259,"[0.07253695987319754,0.8456076260441259]",0
110,Marko Kralj,0.125,1.0,0.4,0.6,"[0.125,1.0,0.4,0.6]",-0.0885625246721552,1.2305829152900045,"[-0.0885625246721552,1.2305829152900045]",1
111,marko maticic,0.027777777777777773,0.6666666666666666,0.5,0.25,"[0.027777777777777773,0.6666666666666666,0.5,0.25]",0.21518739607721632,0.8417368046596044,"[0.21518739607721632,0.8417368046596044]",2
112,masa sarusic,0.027777777777777773,0.9090909090909092,0.75,0.25,"[0.027777777777777773,0.9090909090909092,0.75,0.25]",0.4004950164637301,1.1355941316909868,"[0.4004950164637301,1.1355941316909868]",2
113,Mate Vitaljic,0.02083333333333333,0.7777777777777778,0.8,0.2,"[0.02083333333333333,0.7777777777777778,0.8,0.2]",0.4612165652703871,1.0279613968147925,"[0.4612165652703871,1.0279613968147925]",2
114,Matija Osterc,0.1875,0.9166666666666666,0.2307692307692308,0.6923076923076923,"[0.1875,0.9166666666666666,0.2307692307692308,0.6923076923076923]",-0.29012493246461923,1.1448277278209238,"[-0.29012493246461923,1.1448277278209238]",1
115,Matjazzavrl,0.08333333333333333,0.8571428571428571,0.375,0.125,"[0.08333333333333333,0.8571428571428571,0.375,0.125]",0.19663737517635604,0.9028085210779505,"[0.19663737517635604,0.9028085210779505]",2
116,mihaelas,0.2916666666666667,1.0,0.1111111111111111,0.4444444444444444,"[0.2916666666666667,1.0,0.1111111111111111,0.4444444444444444]",-0.2528294420737261,1.0788767933053538,"[-0.2528294420737261,1.0788767933053538]",1
117,Miho,0.047619047619047616,0.8,0.3636363636363637,0.18181818181818182,"[0.047619047619047616,0.8,0.3636363636363637,0.18181818181818182]",0.16372551226099474,0.8700845829616883,"[0.16372551226099474,0.8700845829616883]",2
118,Mirela,0.13333333333333333,0.8333333333333334,0.2307692307692308,0.07692307692307693,"[0.13333333333333333,0.8333333333333334,0.2307692307692308,0.07692307692307693]",0.10733694000760789,0.8147999439062528,"[0.10733694000760789,0.8147999439062528]",0
119,Mirkomatic,0.0972222222222222,0.9166666666666666,0.2307692307692308,0.3076923076923077,"[0.0972222222222222,0.9166666666666666,0.2307692307692308,0.3076923076923077]",-0.017777524959089408,0.971381222559989,"[-0.017777524959089408,0.971381222559989]",0
120,miroc,0.4166666666666667,0.8,0.16666666666666666,0.8333333333333334,"[0.4166666666666667,0.8,0.16666666666666666,0.8333333333333334]",-0.513662581745595,1.1207640820637366,"[-0.513662581745595,1.1207640820637366]",1
121,MojcaDamijan,0.037037037037037035,1.0,0.6153846153846154,0.3076923076923077,"[0.037037037037037035,1.0,0.6153846153846154,0.3076923076923077]",0.2737235414166545,1.180818702137152,"[0.2737235414166545,1.180818702137152]",2
122,Nejc Kodric,0.1875,1.0,0.15384615384615385,0.6153846153846154,"[0.1875,1.0,0.15384615384615385,0.6153846153846154]",-0.2906627191708093,1.1496573236176355,"[-0.2906627191708093,1.1496573236176355]",1
123,NenadS,0.11666666666666665,1.0,0.25,0.5,"[0.11666666666666665,1.0,0.25,0.5]",-0.1265288862856765,1.1286085260145138,"[-0.1265288862856765,1.1286085260145138]",0
124,Neven,0.025000000000000005,0.9166666666666666,0.6923076923076923,0.23076923076923078,"[0.025000000000000005,0.9166666666666666,0.6923076923076923,0.23076923076923078]",0.37421927420377393,1.1104821552187445,"[0.37421927420377393,1.1104821552187445]",2
