,users,followingRatio,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0.11576765969846395,1.1776510733460523,"[0.11576765969846395,1.1776510733460523]","[0.00016472298670227575,0.9915016535865978,0.008333623426699884]",1
1,Albert,0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078]",0.2779049360532504,1.0778684305178219,"[0.2779049360532504,1.0778684305178219]","[1.2887207332793987e-05,0.9961347530359249,0.0038523597567422614]",1
2,Aleksander Valant,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.9882534173939501,1.1745229203681018,"[-0.9882534173939501,1.1745229203681018]","[8.5536783014562e-16,1.3336025478502723e-15,0.9999999999999978]",2
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0.25,"[0.125,0.7272727272727273,0.4166666666666667,0.25]",0.0505926120673896,0.751550489909416,"[0.0505926120673896,0.751550489909416]","[0.7945972179386078,1.1936077985693679e-05,0.2053908459834065]",0
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]",0.450724025320449,1.1584265360052857,"[0.450724025320449,1.1584265360052857]","[3.2243504619784894e-09,0.999776996749164,0.00022300002648557025]",1
5,alesj,0.33333333333333337,0.75,0.6,0.4,"[0.33333333333333337,0.75,0.6,0.4]",-0.06481945997474747,1.025722209457108,"[-0.06481945997474747,1.025722209457108]","[0.05344366753361295,0.7021854456732932,0.24437088679309388]",1
6,alja,0.14285714285714285,1.0,0.875,0.125,"[0.14285714285714285,1.0,0.875,0.125]",0.3724158372717395,1.1605462357688408,"[0.3724158372717395,1.1605462357688408]","[5.9529023657380034e-08,0.9996434294662668,0.00035651100470938637]",1
7,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693]",-0.0238582293870344,0.40300051791808983,"[-0.0238582293870344,0.40300051791808983]","[0.9989525700451042,3.8765387730088684e-15,0.0010474299548919978]",0
8,AnaPetar,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-0.8510851136699836,1.2165196433668957,"[-0.8510851136699836,1.2165196433668957]","[1.8637943374779286e-13,4.767678418983303e-14,0.999999999999766]",2
9,AnBn,0.14285714285714285,1.0,0.5,0.4166666666666667,"[0.14285714285714285,1.0,0.5,0.4166666666666667]",0.00775200978541099,0.9998800818404832,"[0.00775200978541099,0.9998800818404832]","[0.04731125974499583,0.7777723286536491,0.17491641160135502]",1
10,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667,"[0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667]",-0.00968634134671803,0.8891170313418741,"[-0.00968634134671803,0.8891170313418741]","[0.4968142036304324,0.05327248144574995,0.4499133149238177]",0
11,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273,"[0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273]",-0.41435992569300684,0.9766868306526828,"[-0.41435992569300684,0.9766868306526828]","[0.00361660549572543,0.0028567638426715445,0.9935266306616031]",2
12,Andro Zuanic,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]",-0.2844273776402165,1.009994431131947,"[-0.2844273776402165,1.009994431131947]","[0.03243680349586567,0.04856851438208371,0.9189946821220506]",2
13,andrzej,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]",-0.039359236965358535,0.854252610832014,"[-0.039359236965358535,0.854252610832014]","[0.650606184586938,0.008129199426754372,0.3412646159863077]",0
14,ane,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.9882534173939501,1.1745229203681018,"[-0.9882534173939501,1.1745229203681018]","[8.5536783014562e-16,1.3336025478502723e-15,0.9999999999999978]",2
15,Anela,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]",-0.4182407340314369,0.8219730303384312,"[-0.4182407340314369,0.8219730303384312]","[0.04814846236956128,0.0002960400112389341,0.9515554976191998]",2
16,Ankica,0.5,1.0,0.09090909090909093,0.45454545454545453,"[0.5,1.0,0.09090909090909093,0.45454545454545453]",-0.4565314658156636,0.8187859361365469,"[-0.4565314658156636,0.8187859361365469]","[0.019575039153123287,0.00016187554414842997,0.9802630853027282]",2
17,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666]",-0.06041351726799912,0.8296060870915494,"[-0.06041351726799912,0.8296060870915494]","[0.7321485210530716,0.0019001119349793642,0.265951367011949]",0
