,users,followingRatio,order,freq,catchingUpRatio,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]","[1.9631843033305965e-23,3.1643876700096633e-12,0.9999999994145051,5.823303873990252e-10]",2
1,Albert,0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078]","[1.2821598665727002e-17,0.9982710281837451,1.2821586079301666e-17,0.0017289718162548735]",1
2,Aleksander Valant,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]","[0.9999380826172685,2.6031013446135907e-19,4.3331479132880726e-05,1.858590359874869e-05]",0
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0.25,"[0.125,0.7272727272727273,0.4166666666666667,0.25]","[1.9168870440925956e-17,0.8282883470986171,1.9168870440925956e-17,0.17171165290138282]",1
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]","[1.1526213336231706e-23,6.079025684757074e-08,0.9999999391993357,1.0407421422452545e-11]",2
5,alesj,0.33333333333333337,0.75,0.6,0.4,"[0.33333333333333337,0.75,0.6,0.4]","[2.1127205624608592e-16,0.00590257104256647,2.1127205624608592e-16,0.994097428957433]",3
6,alja,0.14285714285714285,1.0,0.875,0.125,"[0.14285714285714285,1.0,0.875,0.125]","[8.686267047013315e-24,3.3935366846974644e-08,0.9999999660412133,2.3419741732493158e-11]",2
7,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693]","[3.5623421764012306e-15,1.6422242290398203e-09,3.5623421764012306e-15,0.9999999983577686]",3
8,AnaPetar,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]","[0.9998430010728251,9.754226335445782e-19,2.7420235354373297e-05,0.0001295786918204779]",0
9,AnBn,0.14285714285714285,1.0,0.5,0.4166666666666667,"[0.14285714285714285,1.0,0.5,0.4166666666666667]","[6.4356814777358156e-24,3.251721753319084e-08,0.9999999640023509,3.480431623039419e-09]",2
10,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667,"[0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667]","[2.4033638229761413e-17,0.8807158442522899,2.4033638229761413e-17,0.11928415574771009]",1
11,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273,"[0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273]","[0.9996583181859205,0.00011754798705044048,2.6903967746394194e-18,0.00022413382702906386]",0
12,Andro Zuanic,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]","[8.632817367753732e-17,5.117099083559682e-12,8.632817367753732e-17,0.9999999999948828]",3
13,andrzej,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]","[7.955808198310161e-17,0.0005295550966332141,7.955808198310161e-17,0.9994704449033667]",3
14,ane,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]","[0.9999380826172685,2.6031013446135907e-19,4.3331479132880726e-05,1.858590359874869e-05]",0
15,Anela,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]","[8.250710312562002e-17,3.0000853765668243e-09,8.250710312562002e-17,0.9999999969999145]",3
16,Ankica,0.5,1.0,0.09090909090909093,0.45454545454545453,"[0.5,1.0,0.09090909090909093,0.45454545454545453]","[2.868223588578722e-23,4.4597954255275204e-15,0.9999999987462616,1.2537339140057892e-09]",2
17,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666]","[1.1014611101285409e-23,6.169182885820456e-10,0.9999999964189398,2.9641419034043795e-09]",2
18,Anze-G,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]","[0.9998430010728251,9.754226335445782e-19,2.7420235354373297e-05,0.0001295786918204779]",0
19,Anzze99,0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333,"[0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333]","[9.137385407752796e-18,0.9919657202035295,8.37799624578625e-18,0.008034279796470532]",1
20,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]","[3.6117498652067424e-24,1.6507674580473406e-08,0.9999999829766207,5.157046979944067e-10]",2
21,benjamin,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]","[0.9999636732848168,1.7215229975248253e-19,1.7570874543613237e-05,1.875584063963795e-05]",0
22,blaz02,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]","[0.9999636732848168,1.7215229975248253e-19,1.7570874543613237e-05,1.875584063963795e-05]",0
23,Bojan1825,0.125,1.0,0.6666666666666666,0.3333333333333333,"[0.125,1.0,0.6666666666666666,0.3333333333333333]","[4.678389136801957e-24,5.630878984248745e-08,0.9999999425529791,1.1382310358279648e-09]",2
24,Branklo,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]","[1.9631843033305965e-23,3.1643876700096633e-12,0.9999999994145051,5.823303873990252e-10]",2
25,BrunoB,0.14285714285714288,0.875,0.6666666666666666,0.2222222222222222,"[0.14285714285714288,0.875,0.6666666666666666,0.2222222222222222]","[5.541486131960503e-18,0.993418693932166,5.541486131960503e-18,0.006581306067834069]",1
26,Buda,0.5,0.4,0.3333333333333333,0.6666666666666666,"[0.5,0.4,0.3333333333333333,0.6666666666666666]","[2.1513984696413293e-16,1.0068029206098356e-15,2.1513984696413293e-16,0.9999999999999984]",3
27,chibu79,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]","[1.1526213336231706e-23,6.079025684757074e-08,0.9999999391993357,1.0407421422452545e-11]",2
28,Cromiza,0.25,0.8,0.2727272727272727,0.2727272727272727,"[0.25,0.8,0.2727272727272727,0.2727272727272727]","[9.832793902660738e-18,0.973926274419491,9.832793902660738e-18,0.02607372558050908]",1
29,cvjetko,0.1111111111111111,1.0,0.6666666666666666,0.25,"[0.1111111111111111,1.0,0.6666666666666666,0.25]","[3.9259600555307974e-24,7.047983822348534e-08,0.9999999282467776,1.2733840714933395e-09]",2
30,Damir Mulalic,0.25,1.0,0.16666666666666666,0.25,"[0.25,1.0,0.16666666666666666,0.25]","[1.0127930575205565e-23,5.0182111218732664e-08,0.9999999494629677,3.549210503121708e-10]",2
31,Danilo4783,0.3333333333333333,1.0,0.09090909090909093,0.2727272727272727,"[0.3333333333333333,1.0,0.09090909090909093,0.2727272727272727]","[1.5190191232111645e-23,4.210158054190265e-09,0.9999999956657489,1.240930384814393e-10]",2
32,Dario,0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111,"[0.3333333333333333,1.0,0.2222222222222222,0.1111111111111111]","[3.388205543728653e-23,2.2601380669564455e-09,0.999999996935765,8.040968328928601e-10]",2
33,DarioR,0.3333333333333333,1.0,0.14285714285714285,0.14285714285714285,"[0.3333333333333333,1.0,0.14285714285714285,0.14285714285714285]","[3.7026426170161724e-23,4.640049968729828e-09,0.9999999951047148,2.552353052058715e-10]",2
34,Darko Babic,0.1,1.0,0.6923076923076923,0.15384615384615385,"[0.1,1.0,0.6923076923076923,0.15384615384615385]","[4.4313955246534364e-24,8.427721573597858e-08,0.9999999147842182,9.3856605066349e-10]",2
35,Dejan Adamic,0.1,0.5833333333333334,0.6153846153846154,0.15384615384615385,"[0.1,0.5833333333333334,0.6153846153846154,0.15384615384615385]","[1.6223462060766232e-16,0.018296879352995035,1.6223462060766232e-16,0.9817031206470046]",3
36,DejanJ,0.08333333333333333,0.9166666666666666,0.8461538461538461,0.07692307692307693,"[0.08333333333333333,0.9166666666666666,0.8461538461538461,0.07692307692307693]","[2.837241682164072e-17,0.999526100018746,2.8372416821639564e-17,0.00047389998125402667]",1
37,demirel,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]","[5.512875765306997e-16,5.512875765306997e-16,5.512875765306997e-16,0.9999999999999983]",3
38,Deni Oreb,1.0,1.0,0.09090909090909093,0.9090909090909091,"[1.0,1.0,0.09090909090909093,0.9090909090909091]","[0.999811923795182,6.889730557057421e-19,0.00015842261950846663,2.965358530941208e-05]",0
39,Dimen,0.33333333333333337,0.75,0.4,0.2,"[0.33333333333333337,0.75,0.4,0.2]","[1.4561851985039838e-16,0.02308237006844574,1.4561851985039838e-16,0.976917629931554]",3
40,dkervina,0.25,1.0,0.5,0.5,"[0.25,1.0,0.5,0.5]","[5.09724145616241e-24,4.665231129261082e-09,0.9999999923122899,3.022478916148301e-09]",2
41,dmeic,0.2,0.8333333333333334,0.3076923076923077,0.46153846153846156,"[0.2,0.8333333333333334,0.3076923076923077,0.46153846153846156]","[1.4146255269548168e-17,0.9805210922819327,1.4146255269548168e-17,0.019478907718067304]",1
42,Dorsi,0.25,1.0,0.4,0.6,"[0.25,1.0,0.4,0.6]","[1.3641858811721697e-23,3.5258097445513648e-09,0.999999994093926,2.3802642203065556e-09]",2
43,dragana,0.3333333333333333,0.5,0.42857142857142855,0.5714285714285714,"[0.3333333333333333,0.5,0.42857142857142855,0.5714285714285714]","[1.5875108642564924e-16,3.346806598097854e-06,1.5875108642564924e-16,0.9999966531934016]",3
44,drejc,0.125,0.7,0.18181818181818185,0.09090909090909091,"[0.125,0.7,0.18181818181818185,0.09090909090909091]","[4.667246744665462e-16,0.9393395809939675,4.667246744665462e-16,0.060660419006031564]",1
45,Edvard,0.125,1.0,0.7777777777777778,0.1111111111111111,"[0.125,1.0,0.7777777777777778,0.1111111111111111]","[5.640881619297734e-24,6.968992500151362e-08,0.9999999301184124,1.916625959656624e-10]",2
46,Efa i Neno,0.125,0.75,0.38461538461538464,0.38461538461538464,"[0.125,0.75,0.38461538461538464,0.38461538461538464]","[3.1179376267727964e-17,0.8792692707586618,3.1179376267727964e-17,0.12073072924133824]",1
47,Elena Nikolovska,0.5,1.0,0.125,0.5,"[0.5,1.0,0.125,0.5]","[2.395950025814157e-23,2.273105587736292e-15,0.9999999974741781,2.525819641589874e-09]",2
48,Ferijan Perkovic,0.16666666666666666,0.875,0.5555555555555556,0.3333333333333333,"[0.16666666666666666,0.875,0.5555555555555556,0.3333333333333333]","[5.317694839952536e-18,0.9827762415713847,5.317694839952536e-18,0.017223758428615368]",1
49,filip mestrovic,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]","[3.6117498652067424e-24,1.6507674580473406e-08,0.9999999829766207,5.157046979944067e-10]",2
50,Gasper,0.25,0.6666666666666666,0.42857142857142855,0.14285714285714285,"[0.25,0.6666666666666666,0.42857142857142855,0.14285714285714285]","[1.0912334220595058e-16,0.1251301314156204,1.0912334220595058e-16,0.8748698685843795]",3
51,gcampa,0.125,1.0,0.4166666666666667,0.25,"[0.125,1.0,0.4166666666666667,0.25]","[5.611880310307642e-24,5.810674575338233e-08,0.9999999373514753,4.541779003247602e-09]",2
52,GITA MARINKOVIC,1.0,0.6666666666666666,0.25,0.75,"[1.0,0.6666666666666666,0.25,0.75]","[5.512875765306997e-16,5.512875765306997e-16,5.512875765306997e-16,0.9999999999999983]",3
53,Goran Cacic,0.16666666666666666,1.0,0.08333333333333333,0.16666666666666666,"[0.16666666666666666,1.0,0.08333333333333333,0.16666666666666666]","[8.237719572664261e-23,9.933091111111177e-08,0.999999900582525,8.656400523884287e-11]",2
54,Gordana Genc,0.125,1.0,0.8888888888888888,0.1111111111111111,"[0.125,1.0,0.8888888888888888,0.1111111111111111]","[9.342685447740754e-24,4.539241163822965e-08,0.9999999545898278,1.7760472069521726e-11]",2
55,gpet,0.09999999999999999,0.9090909090909092,0.8333333333333334,0.16666666666666666,"[0.09999999999999999,0.9090909090909092,0.8333333333333334,0.16666666666666666]","[1.67291004390141e-17,0.9994685262505184,1.6729100250495306e-17,0.0005314737494815054]",1
56,Gregor Primc,0.09999999999999999,1.0,0.4166666666666667,0.08333333333333333,"[0.09999999999999999,1.0,0.4166666666666667,0.08333333333333333]","[1.3598279638772375e-23,8.634814071938758e-08,0.999999909040646,4.611213387980227e-09]",2
57,greta,0.25,0.6666666666666666,0.2857142857142857,0.42857142857142855,"[0.25,0.6666666666666666,0.2857142857142857,0.42857142857142855]","[7.513730558077408e-17,0.5807433672996002,7.513730558077408e-17,0.4192566327003997]",1
58,Hrvoje Juvancic,0.2,1.0,0.5555555555555556,0.4444444444444444,"[0.2,1.0,0.5555555555555556,0.4444444444444444]","[4.5442346033520065e-24,1.9625961505323446e-08,0.9999999780355546,2.338483859345012e-09]",2
