,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,features,prediction
52,cvjetko,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.0555055583179036,-0.8356565133230764,"[-1.0555055583179036,-0.8356565133230764]",0
53,Dalka,0.6153846153846154,0.0119047619047619,0.5714285714285714,"[0.6153846153846154,0.0119047619047619,0.5714285714285714]",-0.6898173012300002,-0.4635518208358584,"[-0.6898173012300002,-0.4635518208358584]",2
54,Damir Mulalic,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]",-1.0631767492202164,-0.863282463507391,"[-1.0631767492202164,-0.863282463507391]",0
55,damir.juretic,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",-0.9779421809475847,-0.8416610879617679,"[-0.9779421809475847,-0.8416610879617679]",0
56,Danilo4783,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",-0.9902160863912851,-0.8858626082566711,"[-0.9902160863912851,-0.8858626082566711]",0
57,Dario,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",-0.8350893316506476,-0.8978717575340538,"[-0.8350893316506476,-0.8978717575340538]",0
58,DarioR,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]",-0.6799625769100099,-0.9098809068114364,"[-0.6799625769100099,-0.9098809068114364]",2
59,Darko Babic,1.0,0.025000000000000005,1.0,"[1.0,0.025000000000000005,1.0]",-1.1313812736897135,-0.823574229643836,"[-1.1313812736897135,-0.823574229643836]",0
60,David Sirk,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",-0.9902160863912851,-0.8858626082566711,"[-0.9902160863912851,-0.8858626082566711]",0
61,Dejan Adamic,1.0,0.025000000000000005,0.5833333333333334,"[1.0,0.025000000000000005,0.5833333333333334]",-1.072372252915061,-0.42003735489680916,"[-1.072372252915061,-0.42003735489680916]",1
62,DejanJ,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]",-1.1185822147174822,-0.7392754811704697,"[-1.1185822147174822,-0.7392754811704697]",0
63,delimir,0.8461538461538461,0.2222222222222222,0.8,"[0.8461538461538461,0.2222222222222222,0.8]",-0.9618917564194519,-0.6921649083780982,"[-0.9618917564194519,-0.6921649083780982]",0
64,demirel,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.412339133623032,-0.6492666512247922,"[-0.412339133623032,-0.6492666512247922]",2
65,Deni Oreb,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]",-1.023969326361461,-1.007416789067655,"[-1.023969326361461,-1.007416789067655]",0
66,Dimen,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",-0.4894304097045809,-0.679767931240603,"[-0.4894304097045809,-0.679767931240603]",2
67,dkervina,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]",-0.7544574779194037,-0.8928259520990193,"[-0.7544574779194037,-0.8928259520990193]",2
68,dmeic,1.0,0.13333333333333333,0.8333333333333334,"[1.0,0.13333333333333333,0.8333333333333334]",-1.1137611942836565,-0.6837077208887905,"[-1.1137611942836565,-0.6837077208887905]",0
69,Domen S,0.9230769230769232,0.0,1.0,"[0.9230769230769232,0.0,1.0]",-1.053971320137441,-0.8301313232862135,"[-1.053971320137441,-0.8301313232862135]",0
70,Dorsi,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]",-0.9088171135698101,-0.8780542078032052,"[-0.9088171135698101,-0.8780542078032052]",0
71,dragana,0.5384615384615384,0.11111111111111112,0.5,"[0.5384615384615384,0.11111111111111112,0.5]",-0.6091517519804268,-0.4256366571150042,"[-0.6091517519804268,-0.4256366571150042]",2
72,Dra��en,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8104825536061703,-0.7519473399440626,"[-0.8104825536061703,-0.7519473399440626]",0
73,Dra��en Kralj,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",-1.0549047683198616,-0.7918136245822649,"[-1.0549047683198616,-0.7918136245822649]",0
74,drejc,0.8461538461538461,0.03125,0.7,"[0.8461538461538461,0.03125,0.7]",-0.9371817039428552,-0.5573303769353792,"[-0.9371817039428552,-0.5573303769353792]",1
75,Du��i,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]",-0.7575259542803288,-0.9038763321727451,"[-0.7575259542803288,-0.9038763321727451]",2
76,Edvard,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8264592418855458,-0.8667925635766999,"[-0.8264592418855458,-0.8667925635766999]",0
77,Efa i Neno,1.0,0.052083333333333336,0.75,"[1.0,0.052083333333333336,0.75]",-1.097471743450873,-0.5868391650815612,"[-1.097471743450873,-0.5868391650815612]",1
78,Elena Nikolovska,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",-0.763662907002179,-0.9259770923201968,"[-0.763662907002179,-0.9259770923201968]",2
79,Ferijan Perkovic,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8104825536061703,-0.7519473399440626,"[-0.8104825536061703,-0.7519473399440626]",0
80,filip mestrovic,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]",-0.6756667100047148,-0.8944103747082203,"[-0.6756667100047148,-0.8944103747082203]",2
81,Gaja,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.45954635024275403,-0.9720961510224138,"[-0.45954635024275403,-0.9720961510224138]",2
82,Gasper,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]",-0.6300704434744784,-0.5773823244493048,"[-0.6300704434744784,-0.5773823244493048]",2
83,gcampa,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",-1.0562726774081348,-0.8384191083415079,"[-1.0562726774081348,-0.8384191083415079]",0
84,GITA MARINKOVIC,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.412339133623032,-0.6492666512247922,"[-0.412339133623032,-0.6492666512247922]",2
85,Goran Cacic,0.9230769230769232,0.08333333333333333,1.0,"[0.9230769230769232,0.08333333333333333,1.0]",-1.0585740346788286,-0.8467068933968023,"[-1.0585740346788286,-0.8467068933968023]",0
86,Goran ��urica,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]",-1.1235684888039856,-0.7572323487902741,"[-1.1235684888039856,-0.7572323487902741]",0
87,Gordan,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",-1.1285547628904888,-0.7751892164100787,"[-1.1285547628904888,-0.7751892164100787]",0
88,Gordana Genc,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8264592418855458,-0.8667925635766999,"[-0.8264592418855458,-0.8667925635766999]",0
89,gpet,0.9230769230769232,0.016666666666666663,0.9090909090909092,"[0.9230769230769232,0.016666666666666663,0.9090909090909092]",-1.0420171676039762,-0.7454020282726164,"[-1.0420171676039762,-0.7454020282726164]",0
90,Gregor Primc,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]",-1.0548918630457185,-0.8334464373083312,"[-1.0548918630457185,-0.8334464373083312]",0
91,greta,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]",-0.6300704434744784,-0.5773823244493048,"[-0.6300704434744784,-0.5773823244493048]",2
92,Grozdana Sirotic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.4472724447990536,-0.9278946307275104,"[-0.4472724447990536,-0.9278946307275104]",2
93,Grup amor,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8104825536061703,-0.7519473399440626,"[-0.8104825536061703,-0.7519473399440626]",0
94,HanaP,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]",-0.5248358221693724,-0.9218900560888191,"[-0.5248358221693724,-0.9218900560888191]",2
95,Hrvoje Juvancic,0.6923076923076923,0.06666666666666668,1.0,"[0.6923076923076923,0.06666666666666668,1.0]",-0.8295660742009824,-0.8779810734013473,"[-0.8295660742009824,-0.8779810734013473]",0
96,Hrvoje Petek,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",-1.0549047683198616,-0.7918136245822649,"[-1.0549047683198616,-0.7918136245822649]",0
97,Igor ��utic,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",-1.1303840188724128,-0.8199828561198751,"[-1.1303840188724128,-0.8199828561198751]",0
98,Igor ��afran,1.0,0.006944444444444438,0.75,"[1.0,0.006944444444444438,0.75]",-1.0949786064076212,-0.5778607312716589,"[-1.0949786064076212,-0.5778607312716589]",1
99,Igor29,0.4615384615384616,0.16666666666666666,1.0,"[0.4615384615384616,0.16666666666666666,1.0]",-0.6070019140810788,-0.9324610515607165,"[-0.6070019140810788,-0.9324610515607165]",2
100,IgorGancevic,0.6153846153846154,0.13888888888888887,0.8571428571428571,"[0.6153846153846154,0.13888888888888887,0.8571428571428571]",-0.7372942900147336,-0.7655208322594786,"[-0.7372942900147336,-0.7655208322594786]",2
101,igorr,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",-0.8350893316506476,-0.8978717575340538,"[-0.8350893316506476,-0.8978717575340538]",0
102,iivana,0.5384615384615384,0.0625,0.8333333333333334,"[0.5384615384615384,0.0625,0.8333333333333334]",-0.6536740517843393,-0.7387970743481156,"[-0.6536740517843393,-0.7387970743481156]",2
103,Ina,0.7692307692307693,0.0,1.0,"[0.7692307692307693,0.0,1.0]",-0.9019130417577286,-0.8531908526373221,"[-0.9019130417577286,-0.8531908526373221]",0
104,Ines,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.7820737651677296,-0.9922793727625516,"[-0.7820737651677296,-0.9922793727625516]",2
105,Ivan Odrljin,1.0,0.015151515151515155,0.9166666666666666,"[1.0,0.015151515151515155,0.9166666666666666]",-1.11903551236171,-0.7409079236813609,"[-1.11903551236171,-0.7409079236813609]",0
106,Ivana Kozina,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]",-1.1335410369769923,-0.7931460840298831,"[-1.1335410369769923,-0.7931460840298831]",0
107,Ivana PR,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]",-0.5217673458084473,-0.9108396760150933,"[-0.5217673458084473,-0.9108396760150933]",2
108,IvanV,0.4615384615384616,0.16666666666666666,0.8,"[0.4615384615384616,0.16666666666666666,0.8]",-0.5786775841092456,-0.7387633516821436,"[-0.5786775841092456,-0.7387633516821436]",2
109,Ivica Komljenovic,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]",-1.143513585149999,-0.829059819269492,"[-1.143513585149999,-0.829059819269492]",0
110,Iztok3,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]",-0.9088171135698101,-0.8780542078032052,"[-0.9088171135698101,-0.8780542078032052]",0
111,jadralec Jaro,0.6153846153846154,0.0119047619047619,0.7142857142857143,"[0.6153846153846154,0.0119047619047619,0.7142857142857143]",-0.7100489654955953,-0.6019073207491248,"[-0.7100489654955953,-0.6019073207491248]",2
112,Jadran,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]",-1.0548918630457185,-0.8334464373083312,"[-1.0548918630457185,-0.8334464373083312]",0
113,Janez  stupica,0.6153846153846154,0.027777777777777773,0.8571428571428571,"[0.6153846153846154,0.027777777777777773,0.8571428571428571]",-0.7311573372928833,-0.743420072112027,"[-0.7311573372928833,-0.743420072112027]",2
114,Jani Pristavec,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",-1.1303840188724128,-0.8199828561198751,"[-1.1303840188724128,-0.8199828561198751]",0
115,Jaro��,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]",-0.5703926979347479,-0.7089273254830839,"[-0.5703926979347479,-0.7089273254830839]",2
116,Jasminka,0.5384615384615384,0.033333333333333326,0.8333333333333334,"[0.5384615384615384,0.033333333333333326,0.8333333333333334]",-0.6520631016948537,-0.7329956248094095,"[-0.6520631016948537,-0.7329956248094095]",2
117,jelena,0.8461538461538461,0.00833333333333334,1.0,"[0.8461538461538461,0.00833333333333334,1.0]",-0.9784024524017234,-0.8433186449728267,"[-0.9784024524017234,-0.8433186449728267]",0
118,Jelena-Marija,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]",-0.9576726014231799,-0.6769706357767252,"[-0.9576726014231799,-0.6769706357767252]",1
119,Jelena Cutura,0.38461538461538464,0.02083333333333333,1.0,"[0.38461538461538464,0.02083333333333333,1.0]",-0.5229180244437942,-0.9149835685427404,"[-0.5229180244437942,-0.9149835685427404]",2
120,Jelenaa,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]",-1.064110197402637,-0.8249647648034424,"[-1.064110197402637,-0.8249647648034424]",0
121,jerko,0.9230769230769232,0.08333333333333333,0.9090909090909092,"[0.9230769230769232,0.08333333333333333,0.9090909090909092]",-1.0456993392370864,-0.7586624843610874,"[-1.0456993392370864,-0.7586624843610874]",0
122,Jerko. Marinkovic,0.9230769230769232,0.04166666666666666,0.9090909090909092,"[0.9230769230769232,0.04166666666666666,0.9090909090909092]",-1.0433979819663926,-0.750374699305793,"[-1.0433979819663926,-0.750374699305793]",0
123,Jolanda,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]",-0.8627056188989735,-0.9973251781975861,"[-0.8627056188989735,-0.9973251781975861]",0
124,Josip Rabanasic,0.5384615384615384,0.0625,0.8333333333333334,"[0.5384615384615384,0.0625,0.8333333333333334]",-0.6536740517843393,-0.7387970743481156,"[-0.6536740517843393,-0.7387970743481156]",2
125,josko52@gmail.com,0.5384615384615384,0.20833333333333331,0.8333333333333334,"[0.5384615384615384,0.20833333333333331,0.8333333333333334]",-0.6617288022317678,-0.7678043220416458,"[-0.6617288022317678,-0.7678043220416458]",2
126,JOZE,0.38461538461538464,0.125,0.5,"[0.38461538461538464,0.125,0.5]",-0.45786059269094576,-0.4514587814845441,"[-0.45786059269094576,-0.4514587814845441]",2
127,Jo��ko,0.7692307692307693,0.02083333333333333,0.8888888888888888,"[0.7692307692307693,0.02083333333333333,0.8888888888888888]",-0.8873279815198347,-0.7497249118990953,"[-0.8873279815198347,-0.7497249118990953]",0
128,Jure Gros,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",-1.135370292958916,-0.8379397237396795,"[-1.135370292958916,-0.8379397237396795]",0
129,jure111,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-0.6208100577052419,-0.9821877618924827,"[-0.6208100577052419,-0.9821877618924827]",2
130,jurebizjak,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.0555055583179036,-0.8356565133230764,"[-1.0555055583179036,-0.8356565133230764]",0
131,kapitan72,0.6923076923076923,0.06666666666666668,0.625,"[0.6923076923076923,0.06666666666666668,0.625]",-0.776457955503795,-0.5147978861290231,"[-0.776457955503795,-0.5147978861290231]",2
132,Karla,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.4503409211599787,-0.9389450108012363,"[-0.4503409211599787,-0.9389450108012363]",2
133,Karmen Hrvatic,0.8461538461538461,0.06944444444444442,1.0,"[0.8461538461538461,0.06944444444444442,1.0]",-0.9817777763987411,-0.8554740630539251,"[-0.9817777763987411,-0.8554740630539251]",0
134,Katarina ��edlbauer,0.5384615384615384,0.20833333333333331,1.0,"[0.5384615384615384,0.20833333333333331,1.0]",-0.6853324105416289,-0.9292190719404566,"[-0.6853324105416289,-0.9292190719404566]",2
135,Katja De Faveri,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]",-0.45954635024275403,-0.9720961510224138,"[-0.45954635024275403,-0.9720961510224138]",2
136,kec,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]",-1.1335410369769923,-0.7931460840298831,"[-1.1335410369769923,-0.7931460840298831]",0
137,kemi,0.6153846153846154,0.05000000000000001,0.5714285714285714,"[0.6153846153846154,0.05000000000000001,0.5714285714285714]",-0.6919213993060631,-0.47112922431498466,"[-0.6919213993060631,-0.47112922431498466]",2
138,Kiklop,0.8461538461538461,0.10000000000000002,0.4,"[0.8461538461538461,0.10000000000000002,0.4]",-0.8984924484817501,-0.2804586724587556,"[-0.8984924484817501,-0.2804586724587556]",1
