,users,intensityNormalized,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
41,chibu79,0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333,"[0.007575757575757569,1.0,0.9166666666666666,0.08333333333333333]",0.8764486634549419,0.6645925805118911,"[0.8764486634549419,0.6645925805118911]","[0.0007642864995012935,0.8238848994782766,0.17535081402222205]",1
42,Cromiza,0.14583333333333334,0.8,0.2727272727272727,0.2727272727272727,"[0.14583333333333334,0.8,0.2727272727272727,0.2727272727272727]",0.18445748295573694,0.5334689603290163,"[0.18445748295573694,0.5334689603290163]","[0.9999766833749166,1.4714760357065215e-16,2.3316625083176384e-05]",0
43,cvjetko,0.027777777777777773,1.0,0.6666666666666666,0.25,"[0.027777777777777773,1.0,0.6666666666666666,0.25]",0.5927613224428627,0.7100994124427396,"[0.5927613224428627,0.7100994124427396]","[0.06863975454742836,0.9313064661484344,5.377930413722178e-05]",1
44,Dalka,0.0119047619047619,0.5714285714285714,0.5,0.0,"[0.0119047619047619,0.5714285714285714,0.5,0.0]",0.4973169057011101,0.3284232558026122,"[0.4973169057011101,0.3284232558026122]","[0.1399043185386962,1.9270903635840443e-16,0.8600956814613036]",2
45,Damir Mulalic,0.16666666666666666,1.0,0.16666666666666666,0.25,"[0.16666666666666666,1.0,0.16666666666666666,0.25]",0.12568417829215522,0.5136071533848674,"[0.12568417829215522,0.5136071533848674]","[0.9999855159685603,2.0183150320071536e-16,1.4484031439392131e-05]",0
46,damir.juretic,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]",0.9824086807543534,0.6248332038464881,"[0.9824086807543534,0.6248332038464881]","[0.00011881544729071648,0.7226656692474486,0.27721551530526073]",1
47,Danilo4783,0.2222222222222222,1.0,0.09090909090909093,0.2727272727272727,"[0.2222222222222222,1.0,0.09090909090909093,0.2727272727272727]",0.034228670038454076,0.5063158874954801,"[0.034228670038454076,0.5063158874954801]","[0.9999992524580145,3.6969484803018204e-16,7.475419852430285e-07]",0
48,Dario,0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111,"[0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111]",0.2279722514783794,0.41385839044239237,"[0.2279722514783794,0.41385839044239237]","[0.7430967877768612,2.454845869265585e-16,0.2569032122231386]",0
49,DarioR,0.11111111111111112,1.0,0.14285714285714285,0.14285714285714285,"[0.11111111111111112,1.0,0.14285714285714285,0.14285714285714285]",0.16719618263237687,0.4052887855322771,"[0.16719618263237687,0.4052887855322771]","[0.8515834597916165,3.7670452711849914e-16,0.14841654020838307]",0
50,Darko Babic,0.025000000000000005,1.0,0.6923076923076923,0.15384615384615385,"[0.025000000000000005,1.0,0.6923076923076923,0.15384615384615385]",0.6537290459944033,0.6355618504962451,"[0.6537290459944033,0.6355618504962451]","[0.45214633822341693,0.25682674254387305,0.29102691923271007]",0
51,Dejan Adamic,0.025000000000000005,0.5833333333333334,0.6153846153846154,0.15384615384615385,"[0.025000000000000005,0.5833333333333334,0.6153846153846154,0.15384615384615385]",0.5300656572447876,0.5153158833373246,"[0.5300656572447876,0.5153158833373246]","[0.35127137708205386,2.8694161247557493e-14,0.6487286229179174]",2
52,DejanJ,0.006944444444444438,0.9166666666666666,0.8461538461538461,0.07692307692307693,"[0.006944444444444438,0.9166666666666666,0.8461538461538461,0.07692307692307693]",0.808138423006963,0.6121047625019063,"[0.808138423006963,0.6121047625019063]","[0.007534445820043794,0.3492714933362096,0.6431940608437465]",2
53,delimir,0.2222222222222222,0.8,0.0,0.0,"[0.2222222222222222,0.8,0.0,0.0]",0.038603513962350816,0.18547894858459518,"[0.038603513962350816,0.18547894858459518]","[0.0022814699361189037,1.3203534185590754e-16,0.9977185300638809]",2
54,demirel,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]",-0.07948912241537548,0.9245385110368842,"[-0.07948912241537548,0.9245385110368842]","[0.293129794555136,0.7068702054448633,7.420955863728737e-16]",1
55,Deni Oreb,0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091,"[0.8333333333333334,1.0,0.09090909090909093,0.9090909090909091]",-0.42567038649658506,1.11096976693613,"[-0.42567038649658506,1.11096976693613]","[0.00025682886089541915,0.9997431711391039,7.520642015554428e-16]",1
56,Dimen,0.05555555555555556,0.75,0.4,0.2,"[0.05555555555555556,0.75,0.4,0.2]",0.3438212937005928,0.504800083632351,"[0.3438212937005928,0.504800083632351]","[0.96463313317075,1.6176140192364524e-16,0.03536686682924994]",0
57,dkervina,0.08333333333333333,1.0,0.5,0.5,"[0.08333333333333333,1.0,0.5,0.5]",0.33392533079352194,0.866033395004675,"[0.33392533079352194,0.866033395004675]","[0.0769436921413023,0.9230563078586976,6.568104671943898e-17]",1
58,dmeic,0.13333333333333333,0.8333333333333334,0.3076923076923077,0.46153846153846156,"[0.13333333333333333,0.8333333333333334,0.3076923076923077,0.46153846153846156]",0.14722536361436334,0.7208439015936328,"[0.14722536361436334,0.7208439015936328]","[0.9999999297025384,7.02974606001711e-08,1.0452864894575015e-15]",0
59,Domen S,0.0,1.0,0.9166666666666666,0.0,"[0.0,1.0,0.9166666666666666,0.0]",0.9123378071630123,0.5904687582910949,"[0.9123378071630123,0.5904687582910949]","[0.0009117344868395439,0.4922078623360227,0.5068804031771378]",2
60,Dorsi,0.125,1.0,0.4,0.6,"[0.125,1.0,0.4,0.6]",0.19583131833287676,0.9160184278057202,"[0.19583131833287676,0.9160184278057202]","[0.07489123309604272,0.9251087669039572,7.950473645658472e-17]",1
61,dragana,0.11111111111111112,0.5,0.42857142857142855,0.5714285714285714,"[0.11111111111111112,0.5,0.42857142857142855,0.5714285714285714]",0.16517410738682592,0.7953685696391872,"[0.16517410738682592,0.7953685696391872]","[0.9859428666658882,0.014057133334111557,2.4654066169208015e-16]",0
62,Dra��en,0.04166666666666666,0.875,0.5555555555555556,0.0,"[0.04166666666666666,0.875,0.5555555555555556,0.0]",0.5770070094457869,0.41790700301901584,"[0.5770070094457869,0.41790700301901584]","[0.08248813234921254,8.693461233978162e-17,0.9175118676507874]",2
63,Dra��en Kralj,0.25,0.9090909090909092,0.0,0.0,"[0.25,0.9090909090909092,0.0,0.0]",0.04471584591362884,0.21059527040477655,"[0.04471584591362884,0.21059527040477655]","[0.004184791130687362,1.2614124664532528e-16,0.9958152088693125]",2
64,drejc,0.03125,0.7,0.18181818181818185,0.09090909090909091,"[0.03125,0.7,0.18181818181818185,0.09090909090909091]",0.20510015413789356,0.30616560916455676,"[0.20510015413789356,0.30616560916455676]","[0.057598063284371816,8.62830538305442e-17,0.9424019367156281]",2
65,Du��i,0.13888888888888887,1.0,0.125,0.0,"[0.13888888888888887,1.0,0.125,0.0]",0.20001260544261112,0.27370093978934634,"[0.20001260544261112,0.27370093978934634]","[0.029457850603944773,7.863194828847639e-17,0.9705421493960552]",2
66,Edvard,0.010416666666666666,1.0,0.7777777777777778,0.1111111111111111,"[0.010416666666666666,1.0,0.7777777777777778,0.1111111111111111]",0.7475947991819802,0.6320484780862158,"[0.7475947991819802,0.6320484780862158]","[0.030723250420251078,0.5758608136650328,0.39341593591471596]",1
67,Efa i Neno,0.052083333333333336,0.75,0.38461538461538464,0.38461538461538464,"[0.052083333333333336,0.75,0.38461538461538464,0.38461538461538464]",0.2581805499191268,0.6612548284378854,"[0.2581805499191268,0.6612548284378854]","[0.9999999965613023,1.3785515531782436e-09,2.0601460754601144e-09]",0
68,Elena Nikolovska,0.25,1.0,0.125,0.5,"[0.25,1.0,0.125,0.5]",-0.03737588349070606,0.7230266871347903,"[-0.03737588349070606,0.7230266871347903]","[0.9999999999998938,1.0592783695188508e-13,3.814601899035093e-16]",0
69,Ferijan Perkovic,0.04166666666666666,0.875,0.5555555555555556,0.3333333333333333,"[0.04166666666666666,0.875,0.5555555555555556,0.3333333333333333]",0.4436290315449946,0.7122871469695852,"[0.4436290315449946,0.7122871469695852]","[0.884462983130896,0.11553674791102857,2.6895807540620714e-07]",0
70,filip mestrovic,0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857,"[0.033333333333333326,1.0,0.7142857142857143,0.2857142857142857]",0.6166452479015806,0.7616647447543621,"[0.6166452479015806,0.7616647447543621]","[0.01953501999062885,0.9804639835135632,9.964958079209002e-07]",1
71,Gasper,0.0625,0.6666666666666666,0.42857142857142855,0.14285714285714285,"[0.0625,0.6666666666666666,0.42857142857142855,0.14285714285714285]",0.3765812778275336,0.4488967443322033,"[0.3765812778275336,0.4488967443322033]","[0.4992889160078208,1.27276608613288e-16,0.500711083992179]",2
72,gcampa,0.04166666666666666,1.0,0.4166666666666667,0.25,"[0.04166666666666666,1.0,0.4166666666666667,0.25]",0.3778835114085734,0.6079755172040086,"[0.3778835114085734,0.6079755172040086]","[0.9998877444081625,2.1787789661406335e-10,0.00011225537395952321]",0
73,GITA MARINKOVIC,0.25,0.6666666666666666,0.25,0.75,"[0.25,0.6666666666666666,0.25,0.75]",-0.07948912241537548,0.9245385110368842,"[-0.07948912241537548,0.9245385110368842]","[0.293129794555136,0.7068702054448633,7.420955863728737e-16]",1
74,Goran Cacic,0.08333333333333333,1.0,0.08333333333333333,0.16666666666666666,"[0.08333333333333333,1.0,0.08333333333333333,0.16666666666666666]",0.11694894073760886,0.39983102327713943,"[0.11694894073760886,0.39983102327713943]","[0.9198259302504124,5.614286876207366e-16,0.08017406974958703]",0
75,Goran ��urica,0.0972222222222222,0.9166666666666666,0.3076923076923077,0.0,"[0.0972222222222222,0.9166666666666666,0.3076923076923077,0.0]",0.35582857493290465,0.3284250657414969,"[0.35582857493290465,0.3284250657414969]","[0.0766971373574894,6.585236794191066e-17,0.9233028626425105]",2
76,Gordan,0.1875,0.9166666666666666,0.07692307692307693,0.0,"[0.1875,0.9166666666666666,0.07692307692307693,0.0]",0.1314624190651536,0.2395633550203632,"[0.1314624190651536,0.2395633550203632]","[0.012324550089026838,9.42209940788199e-17,0.9876754499109731]",2
77,Gordana Genc,0.010416666666666666,1.0,0.8888888888888888,0.1111111111111111,"[0.010416666666666666,1.0,0.8888888888888888,0.1111111111111111]",0.8410226306371016,0.67786773882674,"[0.8410226306371016,0.67786773882674]","[0.0014133006944057089,0.9088373281644535,0.08974937114114083]",1
78,gpet,0.016666666666666663,0.9090909090909092,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,0.9090909090909092,0.8333333333333334,0.16666666666666666]",0.757110789249114,0.685143181952855,"[0.757110789249114,0.685143181952855]","[0.004845790870761818,0.9803898633508868,0.014764345778351323]",1
79,Gregor Primc,0.016666666666666663,1.0,0.4166666666666667,0.08333333333333333,"[0.016666666666666663,1.0,0.4166666666666667,0.08333333333333333]",0.45296984282744857,0.45904045065931615,"[0.45296984282744857,0.45904045065931615]","[0.29363679894947564,9.647885343144069e-17,0.7063632010505242]",2
80,greta,0.0625,0.6666666666666666,0.2857142857142857,0.42857142857142855,"[0.0625,0.6666666666666666,0.2857142857142857,0.42857142857142855]",0.1421357991845556,0.6423121039091599,"[0.1421357991845556,0.6423121039091599]","[0.999999999974287,9.95282983210694e-16,2.5711915377580686e-11]",0
81,Grozdana Sirotic,0.027777777777777773,1.0,0.5,0.0,"[0.027777777777777773,1.0,0.5,0.0]",0.5526530586857747,0.42058541336902605,"[0.5526530586857747,0.42058541336902605]","[0.08804801495944804,7.370793220105608e-17,0.9119519850405519]",2
82,Grup amor,0.04166666666666666,0.875,0.1111111111111111,0.0,"[0.04166666666666666,0.875,0.1111111111111111,0.0]",0.2032956836253011,0.23462996005691844,"[0.2032956836253011,0.23462996005691844]","[0.01889200796542286,1.0424971780785235e-16,0.981107992034577]",2
83,HanaP,0.05555555555555556,1.0,0.0,0.0,"[0.05555555555555556,1.0,0.0,0.0]",0.12289743661719613,0.216337622891564,"[0.12289743661719613,0.216337622891564]","[0.007903673500384494,1.0492313645172246e-16,0.9920963264996154]",2
84,Hrvoje Juvancic,0.06666666666666668,1.0,0.5555555555555556,0.4444444444444444,"[0.06666666666666668,1.0,0.5555555555555556,0.4444444444444444]",0.4084671378168674,0.8387163383369038,"[0.4084671378168674,0.8387163383369038]","[0.06488057129304871,0.9351194287069504,9.447925276703457e-16]",1
85,Igor ��utic,0.006944444444444438,1.0,0.8461538461538461,0.0,"[0.006944444444444438,1.0,0.8461538461538461,0.0]",0.8507144728402061,0.5618758712271787,"[0.8507144728402061,0.5618758712271787]","[0.005078966574564554,0.026072026139598848,0.9688490072858364]",2
86,Igor ��afran,0.006944444444444438,0.75,0.7692307692307693,0.0,"[0.006944444444444438,0.75,0.7692307692307693,0.0]",0.7506441170336339,0.4770398802652197,"[0.7506441170336339,0.4770398802652197]","[0.030373853757308306,3.3441399539066613e-10,0.9696261459082778]",2
87,Igor29,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,"[0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666]",0.09910345309884705,0.9503112244338656,"[0.09910345309884705,0.9503112244338656]","[0.05617957276252889,0.943820427237471,9.874298818770661e-17]",1
88,IgorGancevic,0.13888888888888887,0.8571428571428571,0.125,0.25,"[0.13888888888888887,0.8571428571428571,0.125,0.25]",0.07975652235155113,0.4641346395834492,"[0.07975652235155113,0.4641346395834492]","[0.9997578572645245,3.836078345288051e-16,0.00024214273547512166]",0
89,igorr,0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111,"[0.16666666666666666,1.0,0.2222222222222222,0.1111111111111111]",0.2279722514783794,0.41385839044239237,"[0.2279722514783794,0.41385839044239237]","[0.7430967877768612,2.454845869265585e-16,0.2569032122231386]",0
90,iivana,0.0625,0.8333333333333334,0.2857142857142857,0.14285714285714285,"[0.0625,0.8333333333333334,0.2857142857142857,0.14285714285714285]",0.2800528131854209,0.42539624243420493,"[0.2800528131854209,0.42539624243420493]","[0.6651958517520806,1.8283124851649853e-16,0.3348041482479192]",0
91,Ina,0.0,1.0,0.9,0.0,"[0.0,1.0,0.9,0.0]",0.8983236324447441,0.5835958691800163,"[0.8983236324447441,0.5835958691800163]","[0.0015280299545207237,0.344169850866938,0.6543021191785412]",2
92,Ines,0.5833333333333334,1.0,0.125,0.875,"[0.5833333333333334,1.0,0.125,0.875]",-0.2993906748754838,1.0774709433379508,"[-0.2993906748754838,1.0774709433379508]","[0.0015320415609514394,0.9984679584390482,3.786428234670902e-16]",1
93,Ivan Odrljin,0.015151515151515155,0.9166666666666666,0.6923076923076923,0.07692307692307693,"[0.015151515151515155,0.9166666666666666,0.6923076923076923,0.07692307692307693]",0.676020106887337,0.549235560921456,"[0.676020106887337,0.549235560921456]","[0.06692734528904484,1.5811906539621313e-06,0.9330710735203012]",2
94,Ivana PR,0.0,1.0,1.0,0.0,"[0.0,1.0,1.0,0.0]",0.9824086807543534,0.6248332038464881,"[0.9824086807543534,0.6248332038464881]","[0.00011881544729071648,0.7226656692474486,0.27721551530526073]",1
95,IvanV,0.16666666666666666,0.8,0.3333333333333333,0.3333333333333333,"[0.16666666666666666,0.8,0.3333333333333333,0.3333333333333333]",0.20416979146798725,0.6134391090469425,"[0.20416979146798725,0.6134391090469425]","[0.9999999782554747,2.604760315208485e-16,2.174452503329644e-08]",0
96,Ivica Komljenovic,0.4583333333333333,0.9166666666666666,0.15384615384615385,0.8461538461538461,"[0.4583333333333333,0.9166666666666666,0.15384615384615385,0.8461538461538461]",-0.23340285159696245,1.037461162627422,"[-0.23340285159696245,1.037461162627422]","[0.004760220060855482,0.9952397799391443,2.635985555557781e-16]",1
97,Iztok3,0.125,1.0,0.2,0.4,"[0.125,1.0,0.2,0.4]",0.10768800845413345,0.6569156721024347,"[0.10768800845413345,0.6569156721024347]","[0.9999999999995127,1.794514569333617e-15,4.855847208845153e-13]",0
98,jadralec Jaro,0.0119047619047619,0.7142857142857143,0.625,0.125,"[0.0119047619047619,0.7142857142857143,0.625,0.125]",0.5726290740407903,0.5207138862859898,"[0.5726290740407903,0.5207138862859898]","[0.2159163679754664,3.659582365997673e-12,0.7840836320208739]",2
99,Jadran,0.016666666666666663,1.0,0.8333333333333334,0.16666666666666666,"[0.016666666666666663,1.0,0.8333333333333334,0.16666666666666666]",0.7699797163089559,0.7044577144239248,"[0.7699797163089559,0.7044577144239248]","[0.003939688346978032,0.9872211545701574,0.008839157082864537]",1
100,Janez  stupica,0.027777777777777773,0.8571428571428571,0.625,0.0,"[0.027777777777777773,0.8571428571428571,0.625,0.0]",0.6375367694073206,0.4417806735332918,"[0.6375367694073206,0.4417806735332918]","[0.06302490433788054,1.0807021868283278e-16,0.9369750956621193]",2
