,users,followingRatio,order,freq,catchingUpRatio,pcaInput,_1,_2,features,probability,prediction
0,AB,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0.35670653470147184,0.8842434735245928,"[0.35670653470147184,0.8842434735245928]","[0.00209864911740899,0.9777339945552178,3.244235071065092e-05,0.020134913741990005,2.0323705914904205e-17,1.4948670873396636e-17,2.346725016968207e-10]",1
1,Albert,0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078,"[0.1,0.9166666666666666,0.7692307692307693,0.23076923076923078]",0.5015906429168736,0.8239172865214592,"[0.5015906429168736,0.8239172865214592]","[0.0014062540085997522,1.1157006478536796e-07,0.00043201959336212274,0.9936474041785022,2.4334974343504785e-09,3.696479321439705e-16,0.004514208215973362]",3
2,Aleksander Valant,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.717014898146286,1.1428584094476175,"[-0.717014898146286,1.1428584094476175]","[9.463971915257001e-17,0.9976875854470663,6.239649434397452e-05,0.002250018058589527,9.463971915257001e-17,9.463971915257001e-17,9.463971915257001e-17]",1
3,alenka dornik,0.125,0.7272727272727273,0.4166666666666667,0.25,"[0.125,0.7272727272727273,0.4166666666666667,0.25]",0.20884323006213112,0.608038363492133,"[0.20884323006213112,0.608038363492133]","[0.6282428690363508,1.8069897619627243e-16,0.3463682062278784,2.0755809100372894e-06,5.076144958888482e-05,1.8069897619627243e-16,0.025336087705271668]",0
4,Alenka Neudauer,0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333,"[0.0909090909090909,1.0,0.9166666666666666,0.08333333333333333]",0.6801154244034308,0.8050340371077197,"[0.6801154244034308,0.8050340371077197]","[3.291606412985965e-09,0.9604866012064888,5.821792889005029e-07,0.01246705483254159,3.236029670578583e-08,1.9061357617611695e-17,0.027045726129777545]",1
5,alesj,0.33333333333333337,0.75,0.6,0.4,"[0.33333333333333337,0.75,0.6,0.4]",0.1600929070522144,0.8650333152451661,"[0.1600929070522144,0.8650333152451661]","[0.016314739430262234,1.1633987231826216e-16,0.013541901109579327,0.9701433594601548,1.1633991296745797e-16,1.1633987231826216e-16,3.1604939414525342e-15]",3
6,alexhana,0.25,0.75,0.4,0.0,"[0.25,0.75,0.4,0.0]",0.2293491406430637,0.42600218348422614,"[0.2293491406430637,0.42600218348422614]","[0.019680987552174806,1.5258294417535429e-16,0.008089620060454323,1.5286871720447066e-16,0.7260172975917133,1.5258294417535429e-16,0.24621209479565703]",4
7,alja,0.14285714285714285,1.0,0.875,0.125,"[0.14285714285714285,1.0,0.875,0.125]",0.6042296985327478,0.8234642372605006,"[0.6042296985327478,0.8234642372605006]","[4.893539477489542e-07,0.9816448744685655,1.7265006875900355e-06,0.014413176945001705,2.4449467281627256e-09,1.7002764870310097e-17,0.003939730286850732]",1
8,Alja��,0.1,0.8,0.2727272727272727,0.0,"[0.1,0.8,0.2727272727272727,0.0]",0.23223537244887618,0.34385255596060704,"[0.23223537244887618,0.34385255596060704]","[0.002711794865349129,2.998128664501342e-16,0.0006320038798629632,2.9981286645306065e-16,0.9806020368575307,2.998128664501342e-16,0.01605416439725627]",4
9,amanita.amanita,0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693,"[0.2,0.3333333333333333,0.2307692307692308,0.07692307692307693]",0.05701252407455083,0.2932523904613993,"[0.05701252407455083,0.2932523904613993]","[0.05257608408788132,7.536425493200181e-17,1.6986902022070531e-06,7.536425493200181e-17,0.9456904830038075,7.536425493200181e-17,0.0017317342181086331]",4
10,Ana Horvath,0.2,0.75,0.6,0.0,"[0.2,0.75,0.6,0.0]",0.3983570124306908,0.5273881442028271,"[0.3983570124306908,0.5273881442028271]","[0.00014910247193037225,1.1074682751305411e-16,0.04096888384590171,9.583833301648318e-09,0.047494801073595744,1.1074682751305411e-16,0.9113872030247386]",6
11,Ana Stadler,0.5,1.0,0.25,0.0,"[0.5,1.0,0.25,0.0]",0.011398127083929482,0.4395608846880069,"[0.011398127083929482,0.4395608846880069]","[0.9861045379519545,9.978425297633594e-17,0.00212468000468303,9.978429422239859e-17,0.0068505276393373525,9.978425297633594e-17,0.004920254404024789]",0
12,AnaPetar,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-0.5787546585207581,1.1122666701151496,"[-0.5787546585207581,1.1122666701151496]","[1.2875690219165953e-16,0.9916713984130372,0.0003412353786762135,0.007987366208286087,1.2875690219165953e-16,1.2875690219165953e-16,1.2875690219165953e-16]",1
13,AnBn,0.14285714285714285,1.0,0.5,0.4166666666666667,"[0.14285714285714285,1.0,0.5,0.4166666666666667]",0.22315315849667505,0.8492990545932787,"[0.22315315849667505,0.8492990545932787]","[0.045106015883328146,1.115381620455973e-16,0.008914471318260406,0.9459795127910573,1.1188497814683577e-16,1.115381620455973e-16,7.353854767138983e-12]",3
14,Ando Saina,0.09090909090909091,1.0,1.0,0.0,"[0.09090909090909091,1.0,1.0,0.0]",0.772288917487116,0.7846395442194078,"[0.772288917487116,0.7846395442194078]","[2.4748291308538713e-12,0.933119256465253,1.7907771546147886e-07,0.013277059091807953,1.0682350321830908e-07,3.23622893293247e-17,0.053603398539245554]",1
15,Andra�� ��unkar,0.11111111111111112,0.9,0.8181818181818182,0.0,"[0.11111111111111112,0.9,0.8181818181818182,0.0]",0.6208504765922525,0.6661002605542985,"[0.6208504765922525,0.6661002605542985]","[1.5084328644405262e-08,1.1112257703124702e-16,0.0011683562083790232,0.11479041582489745,0.00017988167983403174,1.1112257703124702e-16,0.8838613312025606]",6
16,andrea vlastelica,0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667,"[0.14285714285714285,0.7272727272727273,0.5,0.4166666666666667]",0.18966078747999449,0.7882951504350372,"[0.18966078747999449,0.7882951504350372]","[0.18111797710216698,1.5910297246395793e-16,0.0950114994605949,0.7238705214709455,1.4108008438745355e-15,1.5910297246395793e-16,1.9662907423946298e-09]",3
17,andrea zavorovic,0.3333333333333333,0.2857142857142857,0.125,0.0,"[0.3333333333333333,0.2857142857142857,0.125,0.0]",-0.06841890016829907,0.18505583327011366,"[-0.06841890016829907,0.18505583327011366]","[0.0837097765089179,1.7594977947378404e-16,1.6065364843538703e-10,1.7594977947378404e-16,0.9162666049371242,1.7594977947378404e-16,2.361839330372637e-05]",4
18,Andrej_A,0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273,"[0.3333333333333333,0.9,0.2727272727272727,0.7272727272727273]",-0.18347673445362972,0.9786801982390239,"[-0.18347673445362972,0.9786801982390239]","[1.3218781475997204e-11,4.574145612834217e-16,0.036209249470255785,0.9637907505165236,4.132879604519872e-16,4.132879604519872e-16,4.132879604519872e-16]",3
19,Andro Zuanic,0.5,0.6666666666666666,0.5,0.5,"[0.5,0.6666666666666666,0.5,0.5]",-0.05635412336111212,0.8972806847001824,"[-0.05635412336111212,0.8972806847001824]","[3.268205052387274e-06,1.3827521082000708e-16,0.05841287124975423,0.9415838605451928,1.3827521082000708e-16,1.3827521082000708e-16,1.3827521082025846e-16]",3
20,andrzej,0.3333333333333333,0.6666666666666666,0.5,0.25,"[0.3333333333333333,0.6666666666666666,0.5,0.25]",0.14036347184045045,0.6730454228911349,"[0.14036347184045045,0.6730454228911349]","[0.6173585111448069,1.2732902605429398e-16,0.38236397090448476,0.00026915410102805036,7.49945162662808e-10,1.2732902605429398e-16,8.3630997348435e-06]",0
21,ane,1.0,1.0,0.125,0.875,"[1.0,1.0,0.125,0.875]",-0.717014898146286,1.1428584094476175,"[-0.717014898146286,1.1428584094476175]","[9.463971915257001e-17,0.9976875854470663,6.239649434397452e-05,0.002250018058589527,9.463971915257001e-17,9.463971915257001e-17,9.463971915257001e-17]",1
22,Anela,0.5,0.6666666666666666,0.25,0.5,"[0.5,0.6666666666666666,0.25,0.5]",-0.23176206609063493,0.7606429613712419,"[-0.23176206609063493,0.7606429613712419]","[3.748721766592919e-07,3.0298026835380264e-16,0.9996874878326059,0.0003121372952163702,3.0298026835380264e-16,3.0298026835380264e-16,3.0298026839539213e-16]",2
23,Ankica,0.5,1.0,0.09090909090909093,0.45454545454545453,"[0.5,1.0,0.09090909090909093,0.45454545454545453]",-0.2840660846921904,0.7122845189220923,"[-0.2840660846921904,0.7122845189220923]","[2.826696518820621e-07,5.547926687588131e-16,0.9999990893186794,6.280116664170136e-07,5.547926687588132e-16,5.547926687588131e-16,5.547926694750843e-16]",2
24,Annie,0.07692307692307693,1.0,1.0,0.0,"[0.07692307692307693,1.0,1.0,0.0]",0.7803117196141115,0.7824229797593935,"[0.7803117196141115,0.7824229797593935]","[1.1013840640503132e-12,0.9402908771116382,1.4995239940600625e-07,0.012432554269304773,9.891674785387431e-08,3.1089023833020603e-17,0.04727631974880839]",1
25,ante vrataric,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,"[0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666]",0.09806414232611138,0.5905735339783997,"[0.09806414232611138,0.5905735339783997]","[0.8166144044071524,9.464619721223545e-17,0.18310144862902836,3.6131742442135668e-09,8.009856939498641e-07,9.464619721223545e-17,0.00028334236495083443]",0
26,anton jane��,0.2,1.0,0.3636363636363637,0.0,"[0.2,1.0,0.3636363636363637,0.0]",0.2632181157668568,0.4541236330793078,"[0.2632181157668568,0.4541236330793078]","[0.012375423348040588,1.6255040393447027e-16,0.021717411231073593,6.143366748605483e-16,0.4783773042470294,1.6255040393447027e-16,0.48752986117385544]",6
27,Anze-G,1.0,1.0,0.25,0.75,"[1.0,1.0,0.25,0.75]",-0.5787546585207581,1.1122666701151496,"[-0.5787546585207581,1.1122666701151496]","[1.2875690219165953e-16,0.9916713984130372,0.0003412353786762135,0.007987366208286087,1.2875690219165953e-16,1.2875690219165953e-16,1.2875690219165953e-16]",1
28,Anzze99,0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333,"[0.16666666666666666,0.875,0.6666666666666666,0.3333333333333333]",0.34478743024850417,0.8502637838585393,"[0.34478743024850417,0.8502637838585393]","[0.04748111463239208,2.004517799813306e-16,0.002084683875950765,0.9504341201664321,8.165760978788887e-15,1.9888584984184117e-16,8.132521662302778e-08]",3
29,Apsirtgirl,0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857,"[0.19999999999999998,1.0,0.7142857142857143,0.2857142857142857]",0.3936876560382018,0.8718527226245893,"[0.3936876560382018,0.8718527226245893]","[0.0010456593147538892,0.9815368983950614,1.9889155821034697e-05,0.017397544393880877,4.349318041881003e-16,1.1613924395556656e-17,8.740482475181224e-09]",1
30,benjamin,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",-0.6709281516044435,1.1326611630034615,"[-0.6709281516044435,1.1326611630034615]","[9.767692653778893e-17,0.9966352273861113,0.00010706206766349567,0.003257710546225096,9.767692653778893e-17,9.767692653778893e-17,9.767692653778893e-17]",1
31,blaz02,1.0,1.0,0.16666666666666666,0.8333333333333334,"[1.0,1.0,0.16666666666666666,0.8333333333333334]",-0.6709281516044435,1.1326611630034615,"[-0.6709281516044435,1.1326611630034615]","[9.767692653778893e-17,0.9966352273861113,0.00010706206766349567,0.003257710546225096,9.767692653778893e-17,9.767692653778893e-17,9.767692653778893e-17]",1
32,Bojan1825,0.125,1.0,0.6666666666666666,0.3333333333333333,"[0.125,1.0,0.6666666666666666,0.3333333333333333]",0.3840393649678235,0.8716203916439405,"[0.3840393649678235,0.8716203916439405]","[0.0017778758691572693,0.9702949129023768,3.497689346198582e-05,0.02789222727889628,3.455868509428478e-16,1.6558775843858984e-17,7.056107232189763e-09]",1
33,BORIS MREVLJE,0.5,1.0,0.0,0.0,"[0.5,1.0,0.0,0.0]",-0.16400981564559333,0.3029231613590664,"[-0.16400981564559333,0.3029231613590664]","[0.9121453774825868,3.5135680767672677e-16,2.91874996073108e-07,3.5135680767672677e-16,0.08753820357429688,3.5135680767672677e-16,0.0003161270681192333]",0
34,Bo��tjan M.,0.16666666666666669,1.0,0.7142857142857143,0.0,"[0.16666666666666669,1.0,0.7142857142857143,0.0]",0.5283658523702454,0.6404885369542681,"[0.5283658523702454,0.6404885369542681]","[1.9557531652733183e-06,6.972919363046424e-17,0.005596350763232399,0.008787865572795579,0.0006349608322260558,6.972919363046424e-17,0.9849788670785805]",6
35,BostjanH,0.25,0.9166666666666666,0.0,0.0,"[0.25,0.9166666666666666,0.0,0.0]",-0.030836007658423564,0.24466198981017995,"[-0.030836007658423564,0.24466198981017995]","[0.0971519048101606,8.63517635795833e-17,1.756618208384515e-08,8.63517635795833e-17,0.9026071952103727,8.63517635795833e-17,0.00024088241328451665]",4
36,Bo��tjanK,0.08333333333333333,1.0,0.6153846153846154,0.0,"[0.08333333333333333,1.0,0.6153846153846154,0.0]",0.5067762285425369,0.5732270230923762,"[0.5067762285425369,0.5732270230923762]","[1.4754758690224099e-06,1.296372195535298e-16,0.02195763109750983,4.489072188448559e-05,0.0074065893791252155,1.296372195535298e-16,0.9705894133256112]",6
37,Branklo,0.3333333333333333,1.0,0.75,0.25,"[0.3333333333333333,1.0,0.75,0.25]",0.35670653470147184,0.8842434735245928,"[0.35670653470147184,0.8842434735245928]","[0.00209864911740899,0.9777339945552178,3.244235071065092e-05,0.020134913741990005,2.0323705914904205e-17,1.4948670873396636e-17,2.346725016968207e-10]",1
38,BrunoB,0.14285714285714288,0.875,0.6666666666666666,0.2222222222222222,"[0.14285714285714288,0.875,0.6666666666666666,0.2222222222222222]",0.4033842008949039,0.7585698125225857,"[0.4033842008949039,0.7585698125225857]","[0.012785352987700236,1.639408381393276e-16,0.010555031878357638,0.971216483259067,3.43796725979713e-08,1.639408381393276e-16,0.0054430974952021285]",3
