,users,totalVidsRatio,intensityNormalized,order,pcaInput,_1,_2,prediction
42,Cromiza,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]",-1.0028865071642161,0.5716568247943216,0
43,cvjetko,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.121201704245152,0.7631544239788971,0
44,Dalka,0.6153846153846154,0.0119047619047619,0.5714285714285714,"[0.6153846153846154,0.0119047619047619,0.5714285714285714]",-0.726399787162047,0.4174056097657908,2
45,Damir Mulalic,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]",-1.1222034312356315,0.7458782190419654,0
46,damir.juretic,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]",-1.045977354028079,0.7833888735340884,0
47,Danilo4783,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]",-1.047580117212846,0.7557469456349977,0
48,Dario,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",-0.8971314167787001,0.7962158447453802,0
49,DarioR,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]",-0.7466827163445542,0.8366847438557627,1
50,Darko Babic,1.0,0.025000000000000005,1.0,"[1.0,0.025000000000000005,1.0]",-1.1962056745243195,0.7467207395098309,0
51,Dejan Adamic,1.0,0.025000000000000005,0.5833333333333334,"[1.0,0.025000000000000005,0.5833333333333334]",-1.104241799099598,0.34340400293485485,0
52,DejanJ,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]",-1.1776826749306128,0.6683032988366366,0
53,delimir,0.8461538461538461,0.2222222222222222,0.8,"[0.8461538461538461,0.2222222222222222,0.8]",-1.00343745700898,0.5621549120790091,0
54,demirel,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.4490413285383254,0.547092775362265,1
55,Deni Oreb,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]",-1.0519877159709556,0.6797316439124981,0
56,Dimen,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]",-0.5410556906555756,0.6351636010211597,1
57,dkervina,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]",-0.8215063757654355,0.8233607762753442,1
58,dmeic,1.0,0.13333333333333333,0.8333333333333334,"[1.0,0.13333333333333333,0.8333333333333334]",-1.1602014714070048,0.5719186050290337,0
59,Domen S,0.9230769230769232,0.0,1.0,"[0.9230769230769232,0.0,1.0]",-1.1210013588470562,0.7666096649662835,0
60,Dorsi,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]",-0.9718549035005335,0.7846194976586548,0
61,dragana,0.5384615384615384,0.11111111111111112,0.5,"[0.5384615384615384,0.11111111111111112,0.5]",-0.6363260658348886,0.3527046599657914,2
62,Dra��en,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8686406998598523,0.690769408216126,0
63,drejc,0.8461538461538461,0.03125,0.7,"[0.8461538461538461,0.03125,0.7]",-0.9799887522951376,0.4891136770892959,0
64,Du��i,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]",-0.8219070665616273,0.8164502943005715,1
65,Edvard,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8960044739144108,0.8156515752994284,0
66,Efa i Neno,1.0,0.052083333333333336,0.75,"[1.0,0.052083333333333336,0.75]",-1.1412226860326302,0.5013618376021435,0
67,Elena Nikolovska,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]",-0.8227084481540109,0.8026293303510261,1
68,Ferijan Perkovic,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8686406998598523,0.690769408216126,0
69,filip mestrovic,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]",-0.7461217492298857,0.8463594186204445,1
70,Gasper,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]",-0.6727610115581093,0.5200780263237079,1
71,gcampa,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]",-1.1213018769442,0.7614268034852039,0
72,GITA MARINKOVIC,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.4490413285383254,0.547092775362265,1
73,Goran Cacic,0.9230769230769232,0.08333333333333333,1.0,"[0.9230769230769232,0.08333333333333333,1.0]",-1.1216023950413438,0.7562439420041245,0
74,Goran ��urica,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]",-1.1783337974744246,0.6570737656276311,0
75,Gordan,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",-1.178984920018236,0.6458442324186255,0
76,Gordana Genc,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8960044739144108,0.8156515752994284,0
77,gpet,0.9230769230769232,0.016666666666666663,0.9090909090909092,"[0.9230769230769232,0.016666666666666663,0.9090909090909092]",-1.1010567205387018,0.676540141484766,0
78,Gregor Primc,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]",-1.1211215660859137,0.7645365203738517,0
79,greta,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]",-0.6727610115581093,0.5200780263237079,1
80,Grozdana Sirotic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
81,Grup amor,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]",-0.8686406998598523,0.690769408216126,0
82,HanaP,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]",-0.5962340159104084,0.8771536429661453,1
83,Hrvoje Juvancic,0.6923076923076923,0.06666666666666668,1.0,"[0.6923076923076923,0.06666666666666668,1.0]",-0.896410173345555,0.808654712299971,0
84,Igor ��utic,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",-1.196075450015557,0.748966646151632,0
85,Igor ��afran,1.0,0.006944444444444438,0.75,"[1.0,0.006944444444444438,0.75]",-1.1408971247607242,0.5069766042066464,0
86,Igor29,0.4615384615384616,0.16666666666666666,1.0,"[0.4615384615384616,0.16666666666666666,1.0]",-0.6720594023217691,0.846553470448795,1
87,IgorGancevic,0.6153846153846154,0.13888888888888887,0.8571428571428571,"[0.6153846153846154,0.13888888888888887,0.8571428571428571]",-0.7903765949874371,0.6781702703320082,1
88,igorr,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]",-0.8971314167787001,0.7962158447453802,0
89,iivana,0.5384615384615384,0.0625,0.8333333333333334,"[0.5384615384615384,0.0625,0.8333333333333334]",-0.7095465617279979,0.6814047209536984,1
90,Ina,0.7692307692307693,0.0,1.0,"[0.7692307692307693,0.0,1.0]",-0.970953349209102,0.8001680821018933,0
91,Ines,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]",-0.8251125929311615,0.76116643850239,1
92,Ivan Odrljin,1.0,0.015151515151515155,0.9166666666666666,"[1.0,0.015151515151515155,0.9166666666666666]",-1.1777418678891411,0.6672824321812726,0
93,Ivana PR,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]",-0.5958333251142166,0.884064124940918,1
94,IvanV,0.4615384615384616,0.16666666666666666,0.8,"[0.4615384615384616,0.16666666666666666,0.8]",-0.6279167421179028,0.6529614368928065,1
95,Ivica Komljenovic,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]",-1.180938287649671,0.6121556327916087,0
96,Iztok3,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]",-0.9718549035005335,0.7846194976586548,0
97,jadralec Jaro,0.6153846153846154,0.0119047619047619,0.7142857142857143,"[0.6153846153846154,0.0119047619047619,0.7142857142857143]",-0.7579302587362371,0.5556856337343541,1
98,Jadran,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]",-1.1211215660859137,0.7645365203738517,0
99,Janez  stupica,0.6153846153846154,0.027777777777777773,0.8571428571428571,"[0.6153846153846154,0.027777777777777773,0.8571428571428571]",-0.7895752133950535,0.6919912342815535,1
100,Jani Pristavec,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]",-1.196075450015557,0.748966646151632,0
101,Jaro��,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]",-0.6268348769681851,0.6716197382246927,1
102,Jasminka,0.5384615384615384,0.033333333333333326,0.8333333333333334,"[0.5384615384615384,0.033333333333333326,0.8333333333333334]",-0.7093361990599971,0.6850327239904541,1
103,jelena,0.8461538461538461,0.00833333333333334,1.0,"[0.8461538461538461,0.00833333333333334,1.0]",-1.0460374576475078,0.7823523012378725,0
104,Jelena-Marija,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]",-1.0028865071642161,0.5716568247943216,0
105,Jelena Cutura,0.38461538461538464,0.02083333333333333,1.0,"[0.38461538461538464,0.02083333333333333,1.0]",-0.5959835841627885,0.8814726942003782,1
106,jerko,0.9230769230769232,0.08333333333333333,0.9090909090909092,"[0.9230769230769232,0.08333333333333333,0.9090909090909092]",-1.101537549494132,0.6682475631150389,0
107,Jerko. Marinkovic,0.9230769230769232,0.04166666666666666,0.9090909090909092,"[0.9230769230769232,0.04166666666666666,0.9090909090909092]",-1.1012370313969881,0.6734304245961182,0
108,Josip Rabanasic,0.5384615384615384,0.0625,0.8333333333333334,"[0.5384615384615384,0.0625,0.8333333333333334]",-0.7095465617279979,0.6814047209536984,1
109,josko52@gmail.com,0.5384615384615384,0.20833333333333331,0.8333333333333334,"[0.5384615384615384,0.20833333333333331,0.8333333333333334]",-0.7105983750680012,0.6632647057699201,1
110,JOZE,0.38461538461538464,0.125,0.5,"[0.38461538461538464,0.125,0.5]",-0.48637822889598253,0.38453545660770816,2
111,Jo��ko,0.7692307692307693,0.02083333333333333,0.8888888888888888,"[0.7692307692307693,0.02083333333333333,0.8888888888888888]",-0.9465799081444148,0.6900255216080265,0
112,Jure Gros,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]",-1.1967265725593688,0.7377371129426263,0
113,jure111,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]",-0.673862510904632,0.815456301562318,1
114,jurebizjak,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.121201704245152,0.7631544239788971,0
115,kapitan72,0.6923076923076923,0.06666666666666668,0.625,"[0.6923076923076923,0.06666666666666668,0.625]",-0.8136426854633058,0.4456696493824926,2
116,Karla,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.5214103564895272,0.8904776105465639,1
117,Karmen Hrvatic,0.8461538461538461,0.06944444444444442,1.0,"[0.8461538461538461,0.06944444444444442,1.0]",-1.0464782175233187,0.7747507710656225,0
118,Katarina ��edlbauer,0.5384615384615384,0.20833333333333331,1.0,"[0.5384615384615384,0.20833333333333331,1.0]",-0.7473839252378898,0.8245914003999105,1
119,kec,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]",-1.1796360425620478,0.6346146992096199,0
120,kemi,0.6153846153846154,0.05000000000000001,0.5714285714285714,"[0.6153846153846154,0.05000000000000001,0.5714285714285714]",-0.72667454656515,0.4126669935545181,2
121,Kiklop,0.8461538461538461,0.10000000000000002,0.4,"[0.8461538461538461,0.10000000000000002,0.4]",-0.9142706168496255,0.19017390531153197,2
122,KlaraM,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
123,Kreso,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]",-1.1222034312356315,0.7458782190419654,0
124,Kristijan Lopac,0.8461538461538461,0.06944444444444442,0.7,"[0.8461538461538461,0.06944444444444442,0.7]",-0.9802642272175193,0.48436272073163966,0
125,Ksenija Sekulic,0.9230769230769232,0.08333333333333333,0.4545454545454545,"[0.9230769230769232,0.08333333333333333,0.4545454545454545]",-1.0012133217580723,0.22826566866961018,2
126,Kskoric,0.7692307692307693,0.19444444444444445,0.8888888888888888,"[0.7692307692307693,0.19444444444444445,0.8888888888888888]",-0.9478320668825142,0.6684302654368619,0
127,Kvasina,0.8461538461538461,0.10000000000000002,1.0,"[0.8461538461538461,0.10000000000000002,1.0]",-1.0466985974612242,0.7709500059794976,0
128,Labura,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.5214103564895272,0.8904776105465639,1
129,Lana,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
130,Lea Svilicic,0.9230769230769232,0.05952380952380953,0.9090909090909092,"[0.9230769230769232,0.05952380952380953,0.9090909090909092]",-1.1013658248671927,0.6712091982470842,0
131,Leo Mihaljevic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
132,ljubica basic,1.0,0.0,1.0,"[1.0,0.0,1.0]",-1.1960253636660332,0.7498304563984786,0
133,Luc,0.8461538461538461,0.018518518518518528,1.0,"[0.8461538461538461,0.018518518518518528,1.0]",-1.0461109176268095,0.7810853795424975,0
134,lucijan,1.0,0.052083333333333336,0.6666666666666666,"[1.0,0.052083333333333336,0.6666666666666666]",-1.122829910947686,0.42069849028714823,0
135,ludmilla,0.38461538461538464,0.0,0.5,"[0.38461538461538464,0.0,0.5]",-0.485476674604551,0.40008404105094664,2
136,Luka Skocir,0.6923076923076923,0.10416666666666667,1.0,"[0.6923076923076923,0.10416666666666667,1.0]",-0.8966806396329844,0.8039901369669995,0
137,luka.voncina,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]",-1.1211215660859137,0.7645365203738517,0
138,lukaaa11,0.4615384615384616,0.04166666666666666,1.0,"[0.4615384615384616,0.04166666666666666,1.0]",-0.6711578480303375,0.8621020548920335,1
139,Lupodimare,0.4615384615384616,0.04166666666666666,0.4,"[0.4615384615384616,0.04166666666666666,0.4]",-0.5387298674187389,0.2813259542240679,2
140,Maja Demaria,0.7692307692307693,0.05555555555555556,1.0,"[0.7692307692307693,0.05555555555555556,1.0]",-0.9713540400052938,0.7932576001271207,0
141,Maja Grinek,0.6923076923076923,0.06666666666666668,0.875,"[0.6923076923076923,0.06666666666666668,0.875]",-0.8688210107181386,0.6876596913274782,0
142,maja laurence,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]",-0.4490413285383254,0.547092775362265,1
143,MajaM,1.0,0.13333333333333333,0.5833333333333334,"[1.0,0.13333333333333333,0.5833333333333334]",-1.105023146152172,0.32992856308404805,0
144,Mare_,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]",-0.5958333251142166,0.884064124940918,1
145,mare10,0.5384615384615384,0.20833333333333331,0.8333333333333334,"[0.5384615384615384,0.20833333333333331,0.8333333333333334]",-0.7105983750680012,0.6632647057699201,1
146,Maria,0.6153846153846154,0.0119047619047619,0.8571428571428571,"[0.6153846153846154,0.0119047619047619,0.8571428571428571]",-0.7894607303104273,0.6939656577029172,1
147,Marijana,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]",-0.7466827163445542,0.8366847438557627,1
148,MARINO BRZAC,0.9230769230769232,0.16666666666666666,0.9090909090909092,"[0.9230769230769232,0.16666666666666666,0.9090909090909092]",-1.1021385856884196,0.6578818401528798,0
149,Mario Bursac,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]",-0.8960044739144108,0.8156515752994284,0
150,Mario91,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.8980329710701317,0.7806672603021416,0
151,Marjan Henigman,0.8461538461538461,0.00833333333333334,1.0,"[0.8461538461538461,0.00833333333333334,1.0]",-1.0460374576475078,0.7823523012378725,0
152,Markisha,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.5214103564895272,0.8904776105465639,1
153,Marko Dundovic,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]",-1.1783337974744246,0.6570737656276311,0
154,Marko Kralj,0.38461538461538464,0.125,1.0,"[0.38461538461538464,0.125,1.0]",-0.5967348794056481,0.8685155404976794,1
155,Marko L,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]",-1.1027396218827075,0.6475161171907208,0
156,marko maticic,0.3076923076923077,0.027777777777777773,0.6666666666666666,"[0.3076923076923077,0.027777777777777773,0.6666666666666666]",-0.4474385653535583,0.5747347032613557,1
157,Ma��a,0.7692307692307693,0.02083333333333333,1.0,"[0.7692307692307693,0.02083333333333333,1.0]",-0.971103608257674,0.7975766513613536,0
158,masa sarusic,0.9230769230769232,0.027777777777777773,0.9090909090909092,"[0.9230769230769232,0.027777777777777773,0.9090909090909092]",-1.1011368586979402,0.6751580450898115,0
159,Mate Vitaljic,0.7692307692307693,0.02083333333333333,0.7777777777777778,"[0.7692307692307693,0.02083333333333333,0.7777777777777778]",-0.9220562080311558,0.5824743918546996,0
160,Matija Osterc,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]",-1.178984920018236,0.6458442324186255,0
161,Matija Turkalj,0.8461538461538461,0.10000000000000002,0.9,"[0.8461538461538461,0.10000000000000002,0.9]",-1.024627267359291,0.6741539892015034,0
162,Matjazzavrl,0.6153846153846154,0.08333333333333333,0.8571428571428571,"[0.6153846153846154,0.08333333333333333,0.8571428571428571]",-0.7899759041912453,0.6850807523067809,1
163,Mauro,0.6923076923076923,0.10416666666666667,0.75,"[0.6923076923076923,0.10416666666666667,0.75]",-0.8415023143781516,0.5620000950220139,0
164,MedoPiki,1.0,0.13333333333333333,1.0,"[1.0,0.13333333333333333,1.0]",-1.1969870215768934,0.7332452996590241,0
165,melina lako��,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]",-0.9007376339444261,0.7340215069724261,0
166,mihaelas,0.6923076923076923,0.2916666666666667,1.0,"[0.6923076923076923,0.2916666666666667,1.0]",-0.8980329710701317,0.7806672603021416,0
167,Miho,0.8461538461538461,0.047619047619047616,0.8,"[0.8461538461538461,0.047619047619047616,0.8]",-1.0021781430780914,0.5838735697140089,0
168,Milan Kura��,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]",-1.1796360425620478,0.6346146992096199,0
169,Mirela,1.0,0.13333333333333333,0.8333333333333334,"[1.0,0.13333333333333333,0.8333333333333334]",-1.1602014714070048,0.5719186050290337,0
170,Mirjana Pu��karski,0.6153846153846154,0.0119047619047619,1.0,"[0.6153846153846154,0.0119047619047619,1.0]",-0.8209912018846175,0.8322456816714805,1
171,Mirkomatic,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]",-1.1783337974744246,0.6570737656276311,0
172,miroc,0.4615384615384616,0.4166666666666667,0.8,"[0.4615384615384616,0.4166666666666667,0.8]",-0.6297198507007657,0.6218642680063293,1
173,Mi��o,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]",-0.5210096656933354,0.8973880925213366,1
174,MojcaDamijan,1.0,0.037037037037037035,1.0,"[1.0,0.037037037037037035,1.0]",-1.1962924908634942,0.7452234684152967,0
175,Nata��a,0.5384615384615384,0.013888888888888895,1.0,"[0.5384615384615384,0.013888888888888895,1.0]",-0.7459815074512186,0.848778087311615,1
176,Nejc Kodric,1.0,0.1875,1.0,"[1.0,0.1875,1.0]",-1.1973776951031803,0.7265075797336207,0
177,Nejc Likar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]",-0.5214103564895272,0.8904776105465639,1
178,nenad,0.5384615384615384,0.0,1.0,"[0.5384615384615384,0.0,1.0]",-0.7458813347521707,0.8505057078053081,1
179,NenadS,0.9230769230769232,0.11666666666666665,1.0,"[0.9230769230769232,0.11666666666666665,1.0]",-1.121842809519059,0.7520976528192608,0
180,Neven,1.0,0.025000000000000005,0.9166666666666666,"[1.0,0.025000000000000005,0.9166666666666666]",-1.1778128994393753,0.6660573921948356,0
181,Niko Vukusic,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]",-1.121201704245152,0.7631544239788971,0
182,niko.mihovilovic,0.9230769230769232,0.007575757575757569,0.9090909090909092,"[0.9230769230769232,0.007575757575757569,0.9090909090909092]",-1.1009911529538705,0.6776709476260925,0
