,users,totalVidsRatio,intensityNormalized,order,features,probability,prediction
31,ante vrataric,0.4615384615384616,0.08333333333333333,1.0,"[0.4615384615384616,0.08333333333333333,1.0]","[4.2906445929109175e-13,5.620905215583569e-10,6.716105428702176e-10,0.9999999987658699]",3
32,anton jane��,0.8461538461538461,0.10000000000000002,1.0,"[0.8461538461538461,0.10000000000000002,1.0]","[5.281283701078254e-09,9.79328495382631e-10,1.6114910987461924e-08,0.9999999776244768]",3
33,Anze-G,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
34,Anzze99,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]","[0.9838493522420046,0.0011544977639360821,0.014996149994059333,1.0546350408122738e-17]",0
35,Apsirtgirl,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]","[9.376360882441856e-12,6.094468710712877e-10,2.5671138590576986e-10,0.9999999991244654]",3
36,babao,1.0,0.0972222222222222,0.5833333333333334,"[1.0,0.0972222222222222,0.5833333333333334]","[4.348702329733498e-13,0.0037810848391551613,0.9962189151604098,1.6844020231791988e-16]",2
37,benjamin,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[3.0280873117849243e-23,1.0001259284420074e-09,1.426333933321936e-09,0.9999999975735402]",3
38,blaz02,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[3.0280873117849243e-23,1.0001259284420074e-09,1.426333933321936e-09,0.9999999975735402]",3
39,Bojan1825,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]","[1.1136360929291298e-07,5.716395509099944e-10,7.194260399650442e-09,0.9999998808704907]",3
40,Bor,0.6153846153846154,0.5833333333333334,0.8571428571428571,"[0.6153846153846154,0.5833333333333334,0.8571428571428571]","[1.0131226227344191e-14,0.9999538378942455,4.616210573423603e-05,1.0131226227344191e-14]",1
41,BORIS MREVLJE,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]","[1.084559011269058e-19,1.5226251521667267e-09,1.844322725758825e-08,0.9999999800341476]",3
42,BorutKolar,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]","[1.0515241562991604e-15,2.9296457746865054e-10,1.798681713092685e-10,0.9999999995271661]",3
43,Bo��tjan M.,0.5384615384615384,0.013888888888888895,1.0,"[0.5384615384615384,0.013888888888888895,1.0]","[5.74191537769571e-12,5.759640777945253e-10,1.2443212743014816e-10,0.999999999293862]",3
44,BostjanH,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]","[8.826841468504394e-05,0.010901322451535658,0.9890104091337791,1.1600012465934197e-16]",2
45,Bo��tjanK,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]","[1.9811980396723955e-07,3.409352894580719e-10,4.667736343105331e-09,0.9999997968715243]",3
46,Branklo,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
47,BrunoB,0.6923076923076923,0.02380952380952382,0.875,"[0.6923076923076923,0.02380952380952382,0.875]","[0.98771289785511,0.0012319416479046699,0.011055160496985433,1.3056179327758691e-17]",0
48,Buda,0.4615384615384616,0.16666666666666666,0.4,"[0.4615384615384616,0.16666666666666666,0.4]","[5.144535653795655e-16,0.12454545426661491,0.8754545457333841,4.840598724931408e-16]",2
49,Buki,0.7692307692307693,0.0,1.0,"[0.7692307692307693,0.0,1.0]","[2.4077832553761627e-09,5.714700096890243e-10,5.818664806383552e-10,0.9999999964388803]",3
50,chibu79,0.9230769230769232,0.007575757575757569,1.0,"[0.9230769230769232,0.007575757575757569,1.0]","[6.695283161877078e-08,4.4124297014989367e-10,2.652294360391568e-09,0.9999999299536311]",3
51,Cromiza,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]","[0.004595864818606745,0.009394561145606538,0.9860095740357868,5.523710515632974e-17]",2
52,cvjetko,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]","[1.0424744900425528e-07,5.144888807370293e-10,4.900789804104222e-09,0.9999998903372723]",3
53,Dalka,0.6153846153846154,0.0119047619047619,0.5714285714285714,"[0.6153846153846154,0.0119047619047619,0.5714285714285714]","[1.3681204596092431e-05,0.017916053957551546,0.9820702648378522,1.5833903417065424e-16]",2
54,Damir Mulalic,0.9230769230769232,0.16666666666666666,1.0,"[0.9230769230769232,0.16666666666666666,1.0]","[3.227687506384855e-11,1.461677952364842e-09,5.6088828963397505e-08,0.9999999424172162]",3
55,damir.juretic,0.8461538461538461,0.0,1.0,"[0.8461538461538461,0.0,1.0]","[1.2698617645317671e-08,5.046520179333659e-10,1.1120221011119287e-09,0.9999999856847082]",3
56,Danilo4783,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]","[2.0820689059950716e-15,2.1707658960843676e-09,4.723476389954913e-08,0.9999999505944681]",3
57,Dario,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]","[5.564481937113285e-13,1.3279461575446225e-09,1.754750440253252e-08,0.999999981123993]",3
58,DarioR,0.5384615384615384,0.11111111111111112,1.0,"[0.5384615384615384,0.11111111111111112,1.0]","[1.4811401720784237e-12,7.609586406890201e-10,2.525925630072339e-09,0.9999999967116346]",3
59,Darko Babic,1.0,0.025000000000000005,1.0,"[1.0,0.025000000000000005,1.0]","[2.9356227011338655e-07,3.977887762498084e-10,7.894564714003598e-09,0.9999996981453765]",3
60,David Sirk,0.8461538461538461,0.2222222222222222,1.0,"[0.8461538461538461,0.2222222222222222,1.0]","[2.0820689059950716e-15,2.1707658960843676e-09,4.723476389954913e-08,0.9999999505944681]",3
61,Dejan Adamic,1.0,0.025000000000000005,0.5833333333333334,"[1.0,0.025000000000000005,0.5833333333333334]","[5.6070597143441895e-12,0.0017675253800098355,0.9982324746143829,1.9777792769839313e-16]",2
62,DejanJ,1.0,0.006944444444444438,0.9166666666666666,"[1.0,0.006944444444444438,0.9166666666666666]","[0.9823431255714854,0.0003144175987893858,0.01734245682972509,2.22950936942022e-17]",0
63,delimir,0.8461538461538461,0.2222222222222222,0.8,"[0.8461538461538461,0.2222222222222222,0.8]","[7.608080288842966e-08,0.024799975345183037,0.975199948574014,8.857989532123754e-17]",2
64,demirel,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[4.748508207374016e-09,0.027676842299475958,0.9723231529520153,4.563076242109587e-16]",2
65,Deni Oreb,0.8461538461538461,0.8333333333333334,1.0,"[0.8461538461538461,0.8333333333333334,1.0]","[3.848872049703953e-21,9.164633172212638e-08,5.842667047763042e-21,0.9999999083536683]",3
66,Dimen,0.38461538461538464,0.05555555555555556,0.75,"[0.38461538461538464,0.05555555555555556,0.75]","[0.9801094097329934,0.001233515401713518,0.018657074865293,1.7372598063553125e-17]",0
67,dkervina,0.6153846153846154,0.08333333333333333,1.0,"[0.6153846153846154,0.08333333333333333,1.0]","[5.891538969808736e-11,8.228216615975493e-10,2.2629746395096267e-09,0.9999999968552883]",3
68,dmeic,1.0,0.13333333333333333,0.8333333333333334,"[1.0,0.13333333333333333,0.8333333333333334]","[0.006714085097803816,0.004562516655421584,0.9887233982467747,8.174484171709692e-17]",2
69,Domen S,0.9230769230769232,0.0,1.0,"[0.9230769230769232,0.0,1.0]","[5.1008930783130076e-08,4.1650253457250063e-10,2.0713487890124184e-09,0.9999999465032179]",3
70,Dorsi,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]","[2.1028695558971612e-10,1.1621905808810383e-09,1.5540767447664038e-08,0.999999983086755]",3
71,dragana,0.5384615384615384,0.11111111111111112,0.5,"[0.5384615384615384,0.11111111111111112,0.5]","[1.0277460290367877e-09,0.024752283729273683,0.9752477152429802,1.0462792029712461e-16]",2
72,Dra��en,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]","[0.9838493522420046,0.0011544977639360821,0.014996149994059333,1.0546350408122738e-17]",0
73,Dra��en Kralj,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]","[2.0301634587881168e-09,0.03580131090744678,0.9641986870623896,1.596655128223995e-16]",2
74,drejc,0.8461538461538461,0.03125,0.7,"[0.8461538461538461,0.03125,0.7]","[0.006469948307397987,0.00618245953103134,0.9873475921615706,1.1177606160336335e-16]",2
75,Du��i,0.6153846153846154,0.13888888888888887,1.0,"[0.6153846153846154,0.13888888888888887,1.0]","[1.6152145810244975e-12,1.0134891912271035e-09,7.495256705009743e-09,0.9999999914896389]",3
76,Edvard,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]","[5.276693248314039e-10,6.358331211691792e-10,4.366946703973355e-10,0.9999999983998029]",3
77,Efa i Neno,1.0,0.052083333333333336,0.75,"[1.0,0.052083333333333336,0.75]","[0.004936740579315775,0.002401793595609394,0.9926614658250748,1.1951091919666986e-16]",2
78,Elena Nikolovska,0.6153846153846154,0.25,1.0,"[0.6153846153846154,0.25,1.0]","[1.084559011269058e-19,1.5226251521667267e-09,1.844322725758825e-08,0.9999999800341476]",3
79,Ferijan Perkovic,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]","[0.9838493522420046,0.0011544977639360821,0.014996149994059333,1.0546350408122738e-17]",0
80,filip mestrovic,0.5384615384615384,0.033333333333333326,1.0,"[0.5384615384615384,0.033333333333333326,1.0]","[9.376360882441856e-12,6.094468710712877e-10,2.5671138590576986e-10,0.9999999991244654]",3
81,Gaja,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
82,Gasper,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]","[0.2622254440605804,0.01498115634304495,0.7227933995963747,9.167154168104049e-17]",2
83,gcampa,0.9230769230769232,0.04166666666666666,1.0,"[0.9230769230769232,0.04166666666666666,1.0]","[1.1136360929291298e-07,5.716395509099944e-10,7.194260399650442e-09,0.9999998808704907]",3
84,GITA MARINKOVIC,0.3076923076923077,0.25,0.6666666666666666,"[0.3076923076923077,0.25,0.6666666666666666]","[4.748508207374016e-09,0.027676842299475958,0.9723231529520153,4.563076242109587e-16]",2
85,Goran Cacic,0.9230769230769232,0.08333333333333333,1.0,"[0.9230769230769232,0.08333333333333333,1.0]","[4.2330159216968505e-08,7.831221698531917e-10,1.8879957704491553e-08,0.9999999380067608]",3
86,Goran ��urica,1.0,0.0972222222222222,0.9166666666666666,"[1.0,0.0972222222222222,0.9166666666666666]","[0.6887666294940217,0.0022720281197961072,0.3089613423861822,5.583999614384731e-17]",0
87,Gordan,1.0,0.1875,0.9166666666666666,"[1.0,0.1875,0.9166666666666666]","[8.826841468504394e-05,0.010901322451535658,0.9890104091337791,1.1600012465934197e-16]",2
88,Gordana Genc,0.6923076923076923,0.010416666666666666,1.0,"[0.6923076923076923,0.010416666666666666,1.0]","[5.276693248314039e-10,6.358331211691792e-10,4.366946703973355e-10,0.9999999983998029]",3
89,gpet,0.9230769230769232,0.016666666666666663,0.9090909090909092,"[0.9230769230769232,0.016666666666666663,0.9090909090909092]","[0.9862241189193623,0.0003962295355886046,0.013379651545049047,1.2906861691933918e-17]",0
90,Gregor Primc,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]","[8.597811317721768e-08,4.728410612681751e-10,3.5249468313823144e-09,0.9999999100240989]",3
91,greta,0.5384615384615384,0.0625,0.6666666666666666,"[0.5384615384615384,0.0625,0.6666666666666666]","[0.2622254440605804,0.01498115634304495,0.7227933995963747,9.167154168104049e-17]",2
92,Grozdana Sirotic,0.3076923076923077,0.027777777777777773,1.0,"[0.3076923076923077,0.027777777777777773,1.0]","[1.1351588909649685e-15,2.920159112292617e-10,2.3318472097986875e-11,0.9999999996846645]",3
93,Grup amor,0.6923076923076923,0.04166666666666666,0.875,"[0.6923076923076923,0.04166666666666666,0.875]","[0.9838493522420046,0.0011544977639360821,0.014996149994059333,1.0546350408122738e-17]",0
94,HanaP,0.38461538461538464,0.05555555555555556,1.0,"[0.38461538461538464,0.05555555555555556,1.0]","[3.9265340694145783e-14,4.0846490613705476e-10,1.4088908497989256e-10,0.9999999994506068]",3
95,Hrvoje Juvancic,0.6923076923076923,0.06666666666666668,1.0,"[0.6923076923076923,0.06666666666666668,1.0]","[7.595443602662179e-10,8.31335663120354e-10,2.599050493162927e-09,0.9999999958100695]",3
96,Hrvoje Petek,0.9230769230769232,0.25,0.9090909090909092,"[0.9230769230769232,0.25,0.9090909090909092]","[2.0301634587881168e-09,0.03580131090744678,0.9641986870623896,1.596655128223995e-16]",2
97,Igor ��utic,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]","[1.9811980396723955e-07,3.409352894580719e-10,4.667736343105331e-09,0.9999997968715243]",3
98,Igor ��afran,1.0,0.006944444444444438,0.75,"[1.0,0.006944444444444438,0.75]","[0.0087236623264308,0.002872839580735932,0.988403498092833,2.5686998752615875e-16]",2
99,Igor29,0.4615384615384616,0.16666666666666666,1.0,"[0.4615384615384616,0.16666666666666666,1.0]","[8.27398153522645e-16,6.563763345003631e-10,4.357145663626016e-09,0.9999999949864772]",3
100,IgorGancevic,0.6153846153846154,0.13888888888888887,0.8571428571428571,"[0.6153846153846154,0.13888888888888887,0.8571428571428571]","[0.10297919654818143,0.02476228287442879,0.8722585205773896,1.2305744887146995e-16]",2
101,igorr,0.6923076923076923,0.16666666666666666,1.0,"[0.6923076923076923,0.16666666666666666,1.0]","[5.564481937113285e-13,1.3279461575446225e-09,1.754750440253252e-08,0.999999981123993]",3
102,iivana,0.5384615384615384,0.0625,0.8333333333333334,"[0.5384615384615384,0.0625,0.8333333333333334]","[0.9712499166847683,0.0020113205987202197,0.0267387627165114,1.6829593797512562e-17]",0
103,Ina,0.7692307692307693,0.0,1.0,"[0.7692307692307693,0.0,1.0]","[2.4077832553761627e-09,5.714700096890243e-10,5.818664806383552e-10,0.9999999964388803]",3
104,Ines,0.6153846153846154,0.5833333333333334,1.0,"[0.6153846153846154,0.5833333333333334,1.0]","[9.590429475469496e-23,4.774096635499699e-09,1.7606872314700927e-12,0.9999999952241426]",3
105,Ivan Odrljin,1.0,0.015151515151515155,0.9166666666666666,"[1.0,0.015151515151515155,0.9166666666666666]","[0.9822196604422735,0.00027697141850229124,0.01750336813922426,1.7673037895039608e-17]",0
106,Ivana Kozina,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]","[3.4258416075222848e-12,0.057539449071332655,0.9424605509252412,3.3113945685075913e-16]",2
107,Ivana PR,0.38461538461538464,0.0,1.0,"[0.38461538461538464,0.0,1.0]","[9.935346470013568e-15,3.8583952748858935e-10,1.5528130049322534e-11,0.9999999995986225]",3
108,IvanV,0.4615384615384616,0.16666666666666666,0.8,"[0.4615384615384616,0.16666666666666666,0.8]","[0.006472111983081383,0.022872649839791495,0.970655238177127,1.6734873257500998e-16]",2
109,Ivica Komljenovic,1.0,0.4583333333333333,0.9166666666666666,"[1.0,0.4583333333333333,0.9166666666666666]","[3.2468453243626796e-15,0.9895308329224309,0.010469167077562538,3.2468453243626796e-15]",1
110,Iztok3,0.7692307692307693,0.125,1.0,"[0.7692307692307693,0.125,1.0]","[2.1028695558971612e-10,1.1621905808810383e-09,1.5540767447664038e-08,0.999999983086755]",3
111,jadralec Jaro,0.6153846153846154,0.0119047619047619,0.7142857142857143,"[0.6153846153846154,0.0119047619047619,0.7142857142857143]","[0.7724930886788866,0.008274451539785763,0.21923245978132772,7.427737758401699e-17]",0
112,Jadran,0.9230769230769232,0.016666666666666663,1.0,"[0.9230769230769232,0.016666666666666663,1.0]","[8.597811317721768e-08,4.728410612681751e-10,3.5249468313823144e-09,0.9999999100240989]",3
113,Janez  stupica,0.6153846153846154,0.027777777777777773,0.8571428571428571,"[0.6153846153846154,0.027777777777777773,0.8571428571428571]","[0.9870039812350677,0.0015516731439184804,0.011444345621013874,1.4985399124809455e-17]",0
114,Jani Pristavec,1.0,0.006944444444444438,1.0,"[1.0,0.006944444444444438,1.0]","[1.9811980396723955e-07,3.409352894580719e-10,4.667736343105331e-09,0.9999997968715243]",3
115,Jaro��,0.4615384615384616,0.016666666666666663,0.8,"[0.4615384615384616,0.016666666666666663,0.8]","[0.9886188498110573,0.0019456704630814354,0.009435479725861352,2.561702117937125e-17]",0
116,Jasminka,0.5384615384615384,0.033333333333333326,0.8333333333333334,"[0.5384615384615384,0.033333333333333326,0.8333333333333334]","[0.9865466702196531,0.0016348788051672477,0.011818450975179638,1.6301032107473525e-17]",0
117,jelena,0.8461538461538461,0.00833333333333334,1.0,"[0.8461538461538461,0.00833333333333334,1.0]","[1.733911585462792e-08,5.335340531946647e-10,1.4779200524561774e-09,0.9999999806494301]",3
118,Jelena-Marija,0.8461538461538461,0.14583333333333334,0.8,"[0.8461538461538461,0.14583333333333334,0.8]","[0.004595864818606745,0.009394561145606538,0.9860095740357868,5.523710515632974e-17]",2
119,Jelena Cutura,0.38461538461538464,0.02083333333333333,1.0,"[0.38461538461538464,0.02083333333333333,1.0]","[2.3941843742805075e-14,3.943241350234285e-10,3.7638856408887355e-11,0.9999999995680131]",3
120,Jelenaa,0.9230769230769232,0.4166666666666667,0.9090909090909092,"[0.9230769230769232,0.4166666666666667,0.9090909090909092]","[2.4133260389566124e-15,0.9015091086661161,0.0984908913338791,2.4133260389566084e-15]",1
121,jerko,0.9230769230769232,0.08333333333333333,0.9090909090909092,"[0.9230769230769232,0.08333333333333333,0.9090909090909092]","[0.8856978246308445,0.0014624588551764475,0.11283971651397916,2.3193431424770777e-17]",0
122,Jerko. Marinkovic,0.9230769230769232,0.04166666666666666,0.9090909090909092,"[0.9230769230769232,0.04166666666666666,0.9090909090909092]","[0.9797830686100241,0.00039606666841837305,0.019820864721557523,9.710587475620062e-18]",0
123,Jolanda,0.6923076923076923,0.6666666666666666,1.0,"[0.6923076923076923,0.6666666666666666,1.0]","[2.5273830981415636e-22,1.1784286437764632e-08,7.495042358060056e-15,0.9999999882157061]",3
124,Josip Rabanasic,0.5384615384615384,0.0625,0.8333333333333334,"[0.5384615384615384,0.0625,0.8333333333333334]","[0.9712499166847683,0.0020113205987202197,0.0267387627165114,1.6829593797512562e-17]",0
125,josko52@gmail.com,0.5384615384615384,0.20833333333333331,0.8333333333333334,"[0.5384615384615384,0.20833333333333331,0.8333333333333334]","[1.137803289146788e-05,0.026935105832156244,0.9730535161349521,1.3289189077761807e-16]",2
126,JOZE,0.38461538461538464,0.125,0.5,"[0.38461538461538464,0.125,0.5]","[1.353053667407134e-07,0.025893767839849115,0.974106096854784,1.6623347159259594e-16]",2
127,Jo��ko,0.7692307692307693,0.02083333333333333,0.8888888888888888,"[0.7692307692307693,0.02083333333333333,0.8888888888888888]","[0.988173236776625,0.0008735955429334394,0.010953167680441401,1.1643607772715734e-17]",0
128,Jure Gros,1.0,0.0972222222222222,1.0,"[1.0,0.0972222222222222,1.0]","[5.31127502868483e-08,7.346452529970453e-10,3.816421923525658e-08,0.9999999079883852]",3
129,jure111,0.4615384615384616,0.4166666666666667,1.0,"[0.4615384615384616,0.4166666666666667,1.0]","[3.0280873117849243e-23,1.0001259284420074e-09,1.426333933321936e-09,0.9999999975735402]",3
130,jurebizjak,0.9230769230769232,0.027777777777777773,1.0,"[0.9230769230769232,0.027777777777777773,1.0]","[1.0424744900425528e-07,5.144888807370293e-10,4.900789804104222e-09,0.9999998903372723]",3
131,kapitan72,0.6923076923076923,0.06666666666666668,0.625,"[0.6923076923076923,0.06666666666666668,0.625]","[0.00017011363042388617,0.010388304271594997,0.989441582097981,6.683386091527444e-17]",2
132,Karla,0.3076923076923077,0.08333333333333333,1.0,"[0.3076923076923077,0.08333333333333333,1.0]","[1.0515241562991604e-15,2.9296457746865054e-10,1.798681713092685e-10,0.9999999995271661]",3
133,Karmen Hrvatic,0.8461538461538461,0.06944444444444442,1.0,"[0.8461538461538461,0.06944444444444442,1.0]","[2.0096068649913096e-08,8.006360527907681e-10,8.44940663487713e-09,0.9999999706538887]",3
134,Katarina ��edlbauer,0.5384615384615384,0.20833333333333331,1.0,"[0.5384615384615384,0.20833333333333331,1.0]","[2.810379895824974e-17,9.95371429903094e-10,1.1148620007395581e-08,0.9999999878560085]",3
135,Katja De Faveri,0.3076923076923077,0.25,1.0,"[0.3076923076923077,0.25,1.0]","[3.390629727390302e-23,2.9009152395110856e-10,4.153273375133578e-09,0.9999999955566351]",3
136,kec,1.0,0.2777777777777777,0.9166666666666666,"[1.0,0.2777777777777777,0.9166666666666666]","[3.4258416075222848e-12,0.057539449071332655,0.9424605509252412,3.3113945685075913e-16]",2
137,kemi,0.6153846153846154,0.05000000000000001,0.5714285714285714,"[0.6153846153846154,0.05000000000000001,0.5714285714285714]","[1.0077501369911246e-05,0.01425522933041803,0.9857346931682122,9.116731205229065e-17]",2
