,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,featuresForScaler,features,prediction
31,blaz02,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
32,Bojan1825,Ordinary - Registered,0.5,0.5,0.0,12.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
33,BORIS MREVLJE,Ordinary - Registered,0.0,0.0,1.0,8.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
34,Boštjan M.,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.14285714285714285,7.0,Follower,0,"[0.5714285714285714,0.2857142857142857,0.14285714285714285]","[0.8944202448513909,-0.3024422253738678,-0.4857749385572765]",0
35,BostjanH,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
36,BoštjanK,Ordinary - Registered,0.8461538461538461,0.15384615384615385,0.0,13.0,Follower,0,"[0.8461538461538461,0.15384615384615385,0.0]","[1.749342825799241,-0.6710540012145998,-0.8729859492405728]",0
37,Branklo,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
38,BrunoB,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.1111111111111111,9.0,Mixed - No predominent behavior,3,"[0.4444444444444444,0.4444444444444444,0.1111111111111111]","[0.4992560296577181,0.14125713443442084,-0.5718218298202312]",0
39,Buda,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
40,Buki,Ordinary - Registered,1.0,0.0,0.0,10.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
41,chibu79,Ordinary - Registered,0.8333333333333334,0.16666666666666666,0.0,12.0,Follower,0,"[0.8333333333333334,0.16666666666666666,0.0]","[1.7094464386883415,-0.6352167452300842,-0.8729859492405728]",0
42,Cromiza,Ordinary - Registered,0.09090909090909091,0.45454545454545453,0.45454545454545453,11.0,Mixed - No predominent behavior,3,"[0.09090909090909091,0.45454545454545453,0.45454545454545453]","[-0.6009170694610302,0.16949254824040286,0.3590490847517337]",0
43,cvjetko,Ordinary - Registered,0.4166666666666667,0.5,0.08333333333333333,12.0,Catch-upper,2,"[0.4166666666666667,0.5,0.08333333333333333]","[0.4128138575841023,0.2965519103673219,-0.6471128596753167]",0
44,Dalka,Ordinary - Registered,0.5,0.0,0.5,8.0,Follower,0,"[0.5,0.0,0.5]","[0.6721403738049501,-1.1011010730287871,0.4822525881509644]",0
45,Damir Mulalic,Ordinary - Registered,0.0,0.4166666666666667,0.5833333333333334,12.0,Independant,1,"[0.0,0.4166666666666667,0.5833333333333334]","[-0.8838187235201369,0.06360974646797045,0.7081256777162207]",0
46,damir.juretic,Ordinary - Registered,1.0,0.0,0.0,11.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
47,Danilo4783,Ordinary - Registered,0.0,0.36363636363636365,0.6363636363636364,11.0,Independant,1,"[0.0,0.36363636363636365,0.6363636363636364]","[-0.8838187235201369,-0.0846261760134351,0.8518630983486564]",0
48,Dario,Ordinary - Registered,0.1111111111111111,0.2222222222222222,0.6666666666666666,9.0,Independant,1,"[0.1111111111111111,0.2222222222222222,0.6666666666666666]","[-0.5380500352256732,-0.47992196929718317,0.9339987672814767]",0
49,DarioR,Ordinary - Registered,0.0,0.2857142857142857,0.7142857142857143,7.0,Independant,1,"[0.0,0.2857142857142857,0.7142857142857143]","[-0.8838187235201369,-0.3024422253738678,1.063069104175909]",0
50,Darko Babic,Ordinary - Registered,0.5384615384615384,0.3076923076923077,0.15384615384615385,13.0,Follower,0,"[0.5384615384615384,0.3076923076923077,0.15384615384615385]","[0.791829535137649,-0.24100692940041232,-0.4559894761970229]",0
51,Dejan Adamic,Ordinary - Registered,0.5384615384615384,0.23076923076923078,0.23076923076923078,13.0,Follower,0,"[0.5384615384615384,0.23076923076923078,0.23076923076923078]","[0.791829535137649,-0.456030465307506,-0.24749123967524794]",0
52,DejanJ,Ordinary - Registered,0.7692307692307693,0.15384615384615385,0.07692307692307693,13.0,Follower,0,"[0.7692307692307693,0.15384615384615385,0.07692307692307693]","[1.5099645031338431,-0.6710540012145998,-0.6644877127187979]",0
53,delimir,Ordinary - Registered,0.0,0.0,1.0,11.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
54,demirel,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
55,Deni Oreb,Ordinary - Registered,0.0,1.0,0.0,11.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
56,Dimen,Ordinary - Registered,0.2,0.4,0.4,5.0,Mixed - No predominent behavior,3,"[0.2,0.4,0.4]","[-0.2614350845901021,0.01702131368810015,0.211204880672657]",0
57,dkervina,Ordinary - Registered,0.25,0.75,0.0,8.0,Catch-upper,2,"[0.25,0.75,0.0]","[-0.10583917485759342,0.9953784020653764,-0.8729859492405728]",0
58,dmeic,Ordinary - Registered,0.07692307692307693,0.6923076923076923,0.23076923076923078,13.0,Catch-upper,2,"[0.07692307692307693,0.6923076923076923,0.23076923076923078]","[-0.6444404008547389,0.8341107501350561,-0.24749123967524794]",0
59,Domen S,Ordinary - Registered,1.0,0.0,0.0,12.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
60,Dorsi,Ordinary - Registered,0.2,0.8,0.0,10.0,Catch-upper,2,"[0.2,0.8,0.0]","[-0.2614350845901021,1.1351437004049876,-0.8729859492405728]",0
61,dragana,Ordinary - Registered,0.14285714285714285,0.8571428571428571,0.0,7.0,Catch-upper,2,"[0.14285714285714285,0.8571428571428571,0.0]","[-0.43925898142725495,1.2948754699359712,-0.8729859492405728]",0
62,Dražen,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.1111111111111111,9.0,Mixed - No predominent behavior,3,"[0.4444444444444444,0.4444444444444444,0.1111111111111111]","[0.4992560296577181,0.14125713443442084,-0.5718218298202312]",0
63,drejc,Ordinary - Registered,0.09090909090909091,0.18181818181818182,0.7272727272727273,11.0,Independant,1,"[0.09090909090909091,0.18181818181818182,0.7272727272727273]","[-0.6009170694610302,-0.5928636245211112,1.0982701051471178]",0
64,Duši,Ordinary - Registered,0.0,0.5,0.5,8.0,Catch-upper,2,"[0.0,0.5,0.5]","[-0.8838187235201369,0.2965519103673219,0.4822525881509644]",0
65,Edvard,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.1111111111111111,9.0,Follower,0,"[0.6666666666666666,0.2222222222222222,0.1111111111111111]","[1.1907934062466456,-0.47992196929718317,-0.5718218298202312]",0
66,Efa i Neno,Ordinary - Registered,0.23076923076923078,0.5384615384615384,0.23076923076923078,13.0,Catch-upper,2,"[0.23076923076923078,0.5384615384615384,0.23076923076923078]","[-0.16568375552394288,0.4040636783208687,-0.24749123967524794]",0
67,Elena Nikolovska,Ordinary - Registered,0.0,0.625,0.375,8.0,Catch-upper,2,"[0.0,0.625,0.375]","[-0.8838187235201369,0.6459651562163492,0.1434429538030801]",0
68,Ferijan Perkovic,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.1111111111111111,9.0,Mixed - No predominent behavior,3,"[0.4444444444444444,0.4444444444444444,0.1111111111111111]","[0.4992560296577181,0.14125713443442084,-0.5718218298202312]",0
69,filip mestrovic,Ordinary - Registered,0.5714285714285714,0.42857142857142855,0.0,7.0,Follower,0,"[0.5714285714285714,0.42857142857142855,0.0]","[0.8944202448513909,0.09688719845359196,-0.8729859492405728]",0
70,Gasper,Ordinary - Registered,0.2857142857142857,0.2857142857142857,0.42857142857142855,7.0,Mixed - No predominent behavior,3,"[0.2857142857142857,0.2857142857142857,0.42857142857142855]","[0.00530076066562702,-0.3024422253738678,0.28864708280931617]",0
71,gcampa,Ordinary - Registered,0.25,0.4166666666666667,0.3333333333333333,12.0,Mixed - No predominent behavior,3,"[0.25,0.4166666666666667,0.3333333333333333]","[-0.10583917485759342,0.06360974646797045,0.030506409020451927]",0
72,GITA MARINKOVIC,Ordinary - Registered,0.0,1.0,0.0,4.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
73,Goran Cacic,Ordinary - Registered,0.0,0.25,0.75,12.0,Independant,1,"[0.0,0.25,0.75]","[-0.8838187235201369,-0.40227458133073263,1.159871856846733]",0
74,Goran Ðurica,Ordinary - Registered,0.23076923076923078,0.5384615384615384,0.23076923076923078,13.0,Catch-upper,2,"[0.23076923076923078,0.5384615384615384,0.23076923076923078]","[-0.16568375552394288,0.4040636783208687,-0.24749123967524794]",0
75,Gordan,Ordinary - Registered,0.07692307692307693,0.0,0.9230769230769231,13.0,Independant,1,"[0.07692307692307693,0.0,0.9230769230769231]","[-0.6444404008547389,-1.1011010730287871,1.6289928890207266]",0
76,Gordana Genc,Ordinary - Registered,0.7777777777777778,0.2222222222222222,0.0,9.0,Follower,0,"[0.7777777777777778,0.2222222222222222,0.0]","[1.5365620945411096,-0.47992196929718317,-0.8729859492405728]",0
77,gpet,Ordinary - Registered,0.75,0.25,0.0,12.0,Follower,0,"[0.75,0.25,0.0]","[1.4501199224674934,-0.40227458133073263,-0.8729859492405728]",0
78,Gregor Primc,Ordinary - Registered,0.3333333333333333,0.16666666666666666,0.5,12.0,Independant,1,"[0.3333333333333333,0.16666666666666666,0.5]","[0.15348734136325434,-0.6352167452300842,0.4822525881509644]",0
79,greta,Ordinary - Registered,0.14285714285714285,0.5714285714285714,0.2857142857142857,7.0,Catch-upper,2,"[0.14285714285714285,0.5714285714285714,0.2857142857142857]","[-0.43925898142725495,0.4962166222810517,-0.09856392787398018]",0
80,Grozdana Sirotic,Ordinary - Registered,0.5,0.0,0.5,4.0,Follower,0,"[0.5,0.0,0.5]","[0.6721403738049501,-1.1011010730287871,0.4822525881509644]",0
81,Grup amor,Ordinary - Registered,0.1111111111111111,0.0,0.8888888888888888,9.0,Independant,1,"[0.1111111111111111,0.0,0.8888888888888888]","[-0.5380500352256732,-1.1011010730287871,1.5363270061221597]",0
82,HanaP,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
83,Hrvoje Juvancic,Ordinary - Registered,0.2222222222222222,0.7777777777777778,0.0,9.0,Catch-upper,2,"[0.2222222222222222,0.7777777777777778,0.0]","[-0.1922813469312094,1.073025790031827,-0.8729859492405728]",0
84,Igor Šutic,Ordinary - Registered,0.7692307692307693,0.15384615384615385,0.07692307692307693,13.0,Follower,0,"[0.7692307692307693,0.15384615384615385,0.07692307692307693]","[1.5099645031338431,-0.6710540012145998,-0.6644877127187979]",0
85,Igor Žafran,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.15384615384615385,13.0,Follower,0,"[0.6923076923076923,0.15384615384615385,0.15384615384615385]","[1.270586180468445,-0.6710540012145998,-0.4559894761970229]",0
86,Igor29,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.16666666666666666,0.8333333333333334,0.0]","[-0.36516569107844127,1.228320565964728,-0.8729859492405728]",0
87,IgorGancevic,Ordinary - Registered,0.0,0.375,0.625,8.0,Independant,1,"[0.0,0.375,0.625]","[-0.8838187235201369,-0.052861335481705365,0.8210622224988486]",0
88,igorr,Ordinary - Registered,0.1111111111111111,0.2222222222222222,0.6666666666666666,9.0,Independant,1,"[0.1111111111111111,0.2222222222222222,0.6666666666666666]","[-0.5380500352256732,-0.47992196929718317,0.9339987672814767]",0
89,iivana,Ordinary - Registered,0.14285714285714285,0.2857142857142857,0.5714285714285714,7.0,Independant,1,"[0.14285714285714285,0.2857142857142857,0.5714285714285714]","[-0.43925898142725495,-0.3024422253738678,0.6758580934926125]",0
90,Ina,Ordinary - Registered,0.9,0.0,0.1,10.0,Follower,0,"[0.9,0.0,0.1]","[1.9169076516650196,-1.1011010730287871,-0.6019382417622654]",0
91,Ines,Ordinary - Registered,0.0,1.0,0.0,8.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
92,Ivan Odrljin,Ordinary - Registered,0.6153846153846154,0.15384615384615385,0.23076923076923078,13.0,Follower,0,"[0.6153846153846154,0.15384615384615385,0.23076923076923078]","[1.0312078578030472,-0.6710540012145998,-0.24749123967524794]",0
93,Ivana PR,Ordinary - Registered,1.0,0.0,0.0,5.0,Follower,0,"[1.0,0.0,0.0]","[2.228099471130037,-1.1011010730287871,-0.8729859492405728]",0
94,IvanV,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
95,Ivica Komljenovic,Ordinary - Registered,0.07692307692307693,0.9230769230769231,0.0,13.0,Catch-upper,2,"[0.07692307692307693,0.9230769230769231,0.0]","[-0.6444404008547389,1.4791813578563375,-0.8729859492405728]",0
96,Iztok3,Ordinary - Registered,0.1,0.5,0.4,10.0,Mixed - No predominent behavior,3,"[0.1,0.5,0.4]","[-0.5726269040551195,0.2965519103673219,0.211204880672657]",0
97,jadralec Jaro,Ordinary - Registered,0.5,0.25,0.25,8.0,Follower,0,"[0.5,0.25,0.25]","[0.6721403738049501,-0.40227458133073263,-0.19536668054480422]",0
98,Jadran,Ordinary - Registered,0.6666666666666666,0.3333333333333333,0.0,12.0,Follower,0,"[0.6666666666666666,0.3333333333333333,0.0]","[1.1907934062466456,-0.16933241743138117,-0.8729859492405728]",0
99,Janez  stupica,Ordinary - Registered,0.625,0.0,0.375,8.0,Follower,0,"[0.625,0.0,0.375]","[1.0611301481362219,-1.1011010730287871,0.1434429538030801]",0
100,Jani Pristavec,Ordinary - Registered,0.8461538461538461,0.15384615384615385,0.0,13.0,Follower,0,"[0.8461538461538461,0.15384615384615385,0.0]","[1.749342825799241,-0.6710540012145998,-0.8729859492405728]",0
101,Jaroš,Ordinary - Registered,0.5,0.3333333333333333,0.16666666666666666,6.0,Mixed - No predominent behavior,3,"[0.5,0.3333333333333333,0.16666666666666666]","[0.6721403738049501,-0.16933241743138117,-0.4212397701100605]",0
102,Jasminka,Ordinary - Registered,0.5714285714285714,0.42857142857142855,0.0,7.0,Follower,0,"[0.5714285714285714,0.42857142857142855,0.0]","[0.8944202448513909,0.09688719845359196,-0.8729859492405728]",0
103,jelena,Ordinary - Registered,0.8181818181818182,0.18181818181818182,0.0,11.0,Follower,0,"[0.8181818181818182,0.18181818181818182,0.0]","[1.6622961630118238,-0.5928636245211112,-0.8729859492405728]",0
104,Jelena-Marija,Ordinary - Registered,0.09090909090909091,0.8181818181818182,0.09090909090909091,11.0,Catch-upper,2,"[0.09090909090909091,0.8181818181818182,0.09090909090909091]","[-0.6009170694610302,1.1859674452557551,-0.6265789424421115]",0
105,Jelena Cutura,Ordinary - Registered,0.4,0.4,0.2,5.0,Mixed - No predominent behavior,3,"[0.4,0.4,0.2]","[0.3609485543399327,0.01702131368810015,-0.3308905342839579]",0
106,jerko,Ordinary - Registered,0.16666666666666666,0.8333333333333334,0.0,12.0,Catch-upper,2,"[0.16666666666666666,0.8333333333333334,0.0]","[-0.36516569107844127,1.228320565964728,-0.8729859492405728]",0
107,Jerko. Marinkovic,Ordinary - Registered,0.5833333333333334,0.4166666666666667,0.0,12.0,Follower,0,"[0.5833333333333334,0.4166666666666667,0.0]","[0.931466890025798,0.06360974646797045,-0.8729859492405728]",0
108,Josip Rabanasic,Ordinary - Registered,0.14285714285714285,0.7142857142857143,0.14285714285714285,7.0,Catch-upper,2,"[0.14285714285714285,0.7142857142857143,0.14285714285714285]","[-0.43925898142725495,0.8955460461085115,-0.4857749385572765]",0
109,josko52@gmail.com,Ordinary - Registered,0.0,0.8571428571428571,0.14285714285714285,7.0,Catch-upper,2,"[0.0,0.8571428571428571,0.14285714285714285]","[-0.8838187235201369,1.2948754699359712,-0.4857749385572765]",0
110,JOZE,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
111,Jožko,Ordinary - Registered,0.5,0.2,0.3,10.0,Mixed - No predominent behavior,3,"[0.5,0.2,0.3]","[0.6721403738049501,-0.5420398796703435,-0.059842826805650534]",0
112,Jure Gros,Ordinary - Registered,0.15384615384615385,0.46153846153846156,0.38461538461538464,13.0,Mixed - No predominent behavior,3,"[0.15384615384615385,0.46153846153846156,0.38461538461538464]","[-0.40506207818934087,0.18904014241377512,0.169505233368302]",0
113,jure111,Ordinary - Registered,0.0,1.0,0.0,6.0,Catch-upper,2,"[0.0,1.0,0.0]","[-0.8838187235201369,1.694204893763431,-0.8729859492405728]",0
114,jurebizjak,Ordinary - Registered,0.4166666666666667,0.16666666666666666,0.4166666666666667,12.0,Mixed - No predominent behavior,3,"[0.4166666666666667,0.16666666666666666,0.4166666666666667]","[0.4128138575841023,-0.6352167452300842,0.25637949858570824]",0
115,kapitan72,Ordinary - Registered,0.2222222222222222,0.7777777777777778,0.0,9.0,Catch-upper,2,"[0.2222222222222222,0.7777777777777778,0.0]","[-0.1922813469312094,1.073025790031827,-0.8729859492405728]",0
116,Karla,Ordinary - Registered,0.25,0.75,0.0,4.0,Catch-upper,2,"[0.25,0.75,0.0]","[-0.10583917485759342,0.9953784020653764,-0.8729859492405728]",0
117,Karmen Hrvatic,Ordinary - Registered,0.45454545454545453,0.5454545454545454,0.0,11.0,Catch-upper,2,"[0.45454545454545453,0.5454545454545454,0.0]","[0.5306895467753967,0.4236112724942408,-0.8729859492405728]",0
118,Katarina Šedlbauer,Ordinary - Registered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
119,kec,Ordinary - Registered,0.0,0.15384615384615385,0.8461538461538461,13.0,Independant,1,"[0.0,0.15384615384615385,0.8461538461538461]","[-0.8838187235201369,-0.6710540012145998,1.420494652498952]",0
120,kemi,Ordinary - Registered,0.25,0.5,0.25,8.0,Catch-upper,2,"[0.25,0.5,0.25]","[-0.10583917485759342,0.2965519103673219,-0.19536668054480422]",0
121,Kiklop,Ordinary - Registered,0.18181818181818182,0.0,0.8181818181818182,11.0,Independant,1,"[0.18181818181818182,0.0,0.8181818181818182]","[-0.31801541540192346,-1.1011010730287871,1.3446771119455792]",0
122,KlaraM,Ordinary - Registered,0.25,0.0,0.75,4.0,Independant,1,"[0.25,0.0,0.75]","[-0.10583917485759342,-1.1011010730287871,1.159871856846733]",0
123,Kreso,Ordinary - Registered,0.08333333333333333,0.5833333333333334,0.3333333333333333,12.0,Catch-upper,2,"[0.08333333333333333,0.5833333333333334,0.3333333333333333]","[-0.6244922072992891,0.5294940742666735,0.030506409020451927]",0
124,Kristijan Lopac,Ordinary - Registered,0.18181818181818182,0.2727272727272727,0.5454545454545454,11.0,Independant,1,"[0.18181818181818182,0.2727272727272727,0.5454545454545454]","[-0.31801541540192346,-0.3387449002672732,0.605456091550195]",0
125,Ksenija Sekulic,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
126,Kskoric,Ordinary - Registered,0.0,0.0,1.0,10.0,Independant,1,"[0.0,0.0,1.0]","[-0.8838187235201369,-1.1011010730287871,1.8374911255425015]",0
127,Kvasina,Ordinary - Registered,0.2727272727272727,0.7272727272727273,0.0,11.0,Catch-upper,2,"[0.2727272727272727,0.7272727272727273,0.0]","[-0.03511376134281681,0.931848721001917,-0.8729859492405728]",0
128,Labura,Ordinary - Registered,0.0,0.75,0.25,4.0,Catch-upper,2,"[0.0,0.75,0.25]","[-0.8838187235201369,0.9953784020653764,-0.19536668054480422]",0
129,Lana,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
130,Lea Svilicic,Ordinary - Registered,0.16666666666666666,0.3333333333333333,0.5,12.0,Independant,1,"[0.16666666666666666,0.3333333333333333,0.5]","[-0.36516569107844127,-0.16933241743138117,0.4822525881509644]",0
131,Leo Mihaljevic,Ordinary - Registered,0.5,0.5,0.0,4.0,Follower,0,"[0.5,0.5,0.0]","[0.6721403738049501,0.2965519103673219,-0.8729859492405728]",0
132,ljubica basic,Ordinary - Registered,0.9230769230769231,0.0,0.07692307692307693,13.0,Follower,0,"[0.9230769230769231,0.0,0.07692307692307693]","[1.9887211484646392,-1.1011010730287871,-0.6644877127187979]",0
133,Luc,Ordinary - Registered,0.6363636363636364,0.36363636363636365,0.0,11.0,Follower,0,"[0.6363636363636364,0.36363636363636365,0.0]","[1.0964928548936101,-0.0846261760134351,-0.8729859492405728]",0
