,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,regularitybehavior,regularityClasses,features,probability,prediction
0,AB,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[4.5694707029938897e-07,3.04461400560508e-08,5.71215463928456e-19,0.9999995126067897]",3
1,Albert,Ordinary - Registered,10.0,3.0,0.0,Follower,0,"[10.0,3.0,0.0]","[7.697165512110714e-08,1.1635488638385693e-10,1.9500864071685914e-18,0.99999992291199]",3
2,Aleksander Valant,Ordinary - Registered,1.0,7.0,0.0,Catch-upper,2,"[1.0,7.0,0.0]","[6.696349984269451e-19,4.590777841009684e-07,6.585845632681009e-19,0.9999995409222159]",3
3,alenka dornik,Ordinary - Registered,5.0,3.0,4.0,Mixed - No predominent behavior,3,"[5.0,3.0,4.0]","[0.002020380020273458,0.9979796199790141,3.56230611973376e-13,3.56230611973376e-13]",1
4,Alenka Neudauer,Ordinary - Registered,11.0,1.0,0.0,Follower,0,"[11.0,1.0,0.0]","[5.649493573540346e-07,1.845436858697888e-12,2.687640727547991e-18,0.9999994350487973]",3
5,alesj,Ordinary - Registered,3.0,2.0,0.0,Follower,0,"[3.0,2.0,0.0]","[5.829268468825434e-07,7.756557773151971e-08,3.876269043370432e-19,0.9999993395075754]",3
6,alexhana,Ordinary - Registered,2.0,0.0,3.0,Independant,1,"[2.0,0.0,3.0]","[3.423011255682906e-07,4.905887464261753e-07,0.999999167110128,1.1408719204625332e-18]",2
7,alja,Ordinary - Registered,7.0,1.0,0.0,Follower,0,"[7.0,1.0,0.0]","[3.942513782428041e-07,2.325909425001751e-09,4.3260707627731385e-19,0.9999996034227122]",3
8,Aljaž,Ordinary - Registered,3.0,0.0,8.0,Independant,1,"[3.0,0.0,8.0]","[2.3430530051309444e-18,4.99234236457006e-06,0.9999950076576355,2.211744742277114e-18]",2
9,amanita.amanita,Ordinary - Registered,3.0,1.0,9.0,Independant,1,"[3.0,1.0,9.0]","[7.213889727039042e-13,0.9999999999978358,7.213876950665765e-13,7.213876950665765e-13]",1
10,Ana Horvath,Ordinary - Registered,3.0,0.0,2.0,Follower,0,"[3.0,0.0,2.0]","[1.3867938992483407e-06,2.81762288679935e-07,0.9999983314438121,1.4106354963686156e-18]",2
11,Ana Stadler,Ordinary - Registered,1.0,0.0,3.0,Independant,1,"[1.0,0.0,3.0]","[2.9478378346225707e-07,3.0123447564622186e-07,0.9999994039817409,1.4460315332993411e-18]",2
12,AnaPetar,Ordinary - Registered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[1.0996174245358661e-07,1.0416968656747418e-07,5.932962734909455e-19,0.999999785868571]",3
13,AnBn,Ordinary - Registered,6.0,5.0,1.0,Follower,0,"[6.0,5.0,1.0]","[1.8214212394736807e-05,0.9999817857835381,2.033558974383882e-12,2.033558974383882e-12]",1
14,Ando Saina,Ordinary - Registered,11.0,0.0,0.0,Follower,0,"[11.0,0.0,0.0]","[5.206238451047203e-08,5.4918087698342e-13,0.0025196563022963606,0.99748029163477]",3
15,Andraž Šunkar,Ordinary - Registered,9.0,2.0,0.0,Follower,0,"[9.0,2.0,0.0]","[5.344107450506846e-07,3.236712472865215e-10,8.456738909442361e-19,0.9999994652655837]",3
16,andrea vlastelica,Ordinary - Registered,6.0,5.0,1.0,Follower,0,"[6.0,5.0,1.0]","[1.8214212394736807e-05,0.9999817857835381,2.033558974383882e-12,2.033558974383882e-12]",1
17,andrea zavorovic,Ordinary - Registered,1.0,0.0,7.0,Independant,1,"[1.0,0.0,7.0]","[3.7280352795529425e-16,1.8115453953090044e-06,0.9999981884546043,9.759866905499459e-19]",2
18,Andrej_A,Ordinary - Registered,3.0,8.0,0.0,Catch-upper,2,"[3.0,8.0,0.0]","[1.024785303105854e-18,8.614716909354881e-07,1.0247852864956774e-18,0.999999138528309]",3
19,Andro Zuanic,Ordinary - Registered,2.0,2.0,0.0,Follower,0,"[2.0,2.0,0.0]","[6.608468680138701e-07,7.118042456204074e-08,5.393653781022578e-19,0.9999992679727073]",3
20,andrzej,Ordinary - Registered,2.0,1.0,1.0,Follower,0,"[2.0,1.0,1.0]","[0.9727047093265351,0.027295290673101772,1.8154430728176056e-13,1.8154430728176056e-13]",0
21,ane,Ordinary - Registered,1.0,7.0,0.0,Catch-upper,2,"[1.0,7.0,0.0]","[6.696349984269451e-19,4.590777841009684e-07,6.585845632681009e-19,0.9999995409222159]",3
22,Anela,Ordinary - Registered,1.0,2.0,1.0,Catch-upper,2,"[1.0,2.0,1.0]","[0.9639253897100021,0.03607461028968802,1.5491053029115572e-13,1.5491053029115572e-13]",0
23,Ankica,Ordinary - Registered,1.0,5.0,5.0,Mixed - No predominent behavior,3,"[1.0,5.0,5.0]","[2.4790058676790644e-11,0.9999999999746373,2.863779017933678e-13,2.863779017933678e-13]",1
24,Annie,Ordinary - Registered,13.0,0.0,0.0,Follower,0,"[13.0,0.0,0.0]","[7.696668184421549e-08,2.725386354940842e-15,0.0003060814678959385,0.9996938415654194]",3
25,ante vrataric,Ordinary - Registered,2.0,1.0,3.0,Mixed - No predominent behavior,3,"[2.0,1.0,3.0]","[0.6739879582127839,0.32601204178673926,2.384529367042989e-13,2.384529367042989e-13]",0
26,anton janeš,Ordinary - Registered,4.0,3.0,4.0,Mixed - No predominent behavior,3,"[4.0,3.0,4.0]","[0.0011246301255104128,0.9988753698741547,1.6745424316628628e-13,1.6745424316628628e-13]",1
27,Anze-G,Ordinary - Registered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[1.0996174245358661e-07,1.0416968656747418e-07,5.932962734909455e-19,0.999999785868571]",3
28,Anzze99,Ordinary - Registered,6.0,3.0,0.0,Follower,0,"[6.0,3.0,0.0]","[6.568623920728286e-08,4.1446425719575664e-08,3.084131220737316e-19,0.999999892867335]",3
29,Apsirtgirl,Ordinary - Registered,5.0,2.0,0.0,Follower,0,"[5.0,2.0,0.0]","[4.98829575802363e-07,3.91173507499114e-08,2.970623461439526e-19,0.9999994620530734]",3
30,benjamin,Ordinary - Registered,1.0,5.0,0.0,Catch-upper,2,"[1.0,5.0,0.0]","[2.9119877714707106e-12,2.966974074585406e-07,4.565724573702348e-19,0.9999997032996805]",3
31,blaz02,Ordinary - Registered,1.0,5.0,0.0,Catch-upper,2,"[1.0,5.0,0.0]","[2.9119877714707106e-12,2.966974074585406e-07,4.565724573702348e-19,0.9999997032996805]",3
32,Bojan1825,Ordinary - Registered,8.0,4.0,0.0,Follower,0,"[8.0,4.0,0.0]","[9.728474153135018e-10,7.875562069705934e-09,7.779978411268945e-19,0.9999999911515906]",3
33,BORIS MREVLJE,Ordinary - Registered,0.0,0.0,8.0,Independant,1,"[0.0,0.0,8.0]","[1.261144405162384e-18,9.188305834782564e-07,0.9999990811694166,1.2282365554041179e-18]",2
34,Boštjan M.,Ordinary - Registered,5.0,1.0,1.0,Follower,0,"[5.0,1.0,1.0]","[0.9837861915730413,0.016213808426730248,1.1427496350587146e-13,1.1427496350587146e-13]",0
35,BostjanH,Ordinary - Registered,0.0,0.0,13.0,Independant,1,"[0.0,0.0,13.0]","[1.3479489859077612e-17,1.390496057947097e-07,0.9999998609503943,1.3479489859077612e-17]",2
36,BoštjanK,Ordinary - Registered,12.0,1.0,0.0,Follower,0,"[12.0,1.0,0.0]","[6.691060961847308e-07,1.5172649515396402e-13,5.895227809490772e-18,0.9999993308937521]",3
37,Branklo,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[4.5694707029938897e-07,3.04461400560508e-08,5.71215463928456e-19,0.9999995126067897]",3
38,BrunoB,Ordinary - Registered,6.0,2.0,1.0,Follower,0,"[6.0,2.0,1.0]","[0.9828721940748477,0.017127805924941307,1.0545219622406925e-13,1.0545219622406925e-13]",0
39,Buda,Ordinary - Registered,2.0,4.0,0.0,Catch-upper,2,"[2.0,4.0,0.0]","[1.4350052014862425e-09,2.835690771332398e-07,3.473156291203219e-19,0.9999997149959177]",3
40,Buki,Ordinary - Registered,10.0,0.0,0.0,Follower,0,"[10.0,0.0,0.0]","[4.4784395707340653e-08,5.078820932509772e-12,0.006291140281987301,0.9937088149285382]",3
41,chibu79,Ordinary - Registered,11.0,1.0,0.0,Follower,0,"[11.0,1.0,0.0]","[5.649493573540346e-07,1.845436858697888e-12,2.687640727547991e-18,0.9999994350487973]",3
42,Cromiza,Ordinary - Registered,3.0,3.0,5.0,Mixed - No predominent behavior,3,"[3.0,3.0,5.0]","[5.330030491257121e-06,0.9999946699692721,1.1831762504405616e-13,1.1831762504405616e-13]",1
43,cvjetko,Ordinary - Registered,8.0,3.0,1.0,Follower,0,"[8.0,3.0,1.0]","[0.9733779223792229,0.02662207761682463,1.976236793624375e-12,1.976236793624375e-12]",0
44,Dalka,Ordinary - Registered,4.0,0.0,4.0,Follower,0,"[4.0,0.0,4.0]","[4.887539367327995e-08,1.484508813900594e-06,0.9999984666157924,1.3572207939666004e-18]",2
45,Damir Mulalic,Ordinary - Registered,2.0,3.0,7.0,Independant,1,"[2.0,3.0,7.0]","[3.015050504473306e-12,0.999999999996532,2.2649844859175299e-13,2.2649844859175299e-13]",1
46,damir.juretic,Ordinary - Registered,11.0,0.0,0.0,Follower,0,"[11.0,0.0,0.0]","[5.206238451047203e-08,5.4918087698342e-13,0.0025196563022963606,0.99748029163477]",3
47,Danilo4783,Ordinary - Registered,1.0,3.0,7.0,Independant,1,"[1.0,3.0,7.0]","[3.787153965375416e-12,0.9999999999956127,3.0005436584541174e-13,3.0005436584541174e-13]",1
48,Dario,Ordinary - Registered,2.0,1.0,6.0,Independant,1,"[2.0,1.0,6.0]","[7.896717708287685e-07,0.9999992103278306,1.9931498348659094e-13,1.9931498348659094e-13]",1
49,DarioR,Ordinary - Registered,1.0,1.0,5.0,Independant,1,"[1.0,1.0,5.0]","[0.0005775987450625301,0.9994224012541395,3.9896438381891284e-13,3.9896438381891284e-13]",1
50,Darko Babic,Ordinary - Registered,9.0,2.0,2.0,Follower,0,"[9.0,2.0,2.0]","[0.9995979588822517,0.00040204111722661276,2.6086656643538185e-13,2.6086656643538185e-13]",0
51,Dejan Adamic,Ordinary - Registered,8.0,2.0,3.0,Follower,0,"[8.0,2.0,3.0]","[0.9835191833551247,0.016480816643277125,7.991251033280438e-13,7.991251033280438e-13]",0
52,DejanJ,Ordinary - Registered,11.0,1.0,1.0,Follower,0,"[11.0,1.0,1.0]","[0.9999989143596051,1.085639062164756e-06,6.663311856099333e-13,6.663311856099333e-13]",0
53,delimir,Ordinary - Registered,0.0,0.0,11.0,Independant,1,"[0.0,0.0,11.0]","[3.5993052624474046e-18,4.605553841284555e-07,0.9999995394446158,3.5993052624474046e-18]",2
54,demirel,Ordinary - Registered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[1.0996174245358661e-07,1.0416968656747418e-07,5.932962734909455e-19,0.999999785868571]",3
55,Deni Oreb,Ordinary - Registered,1.0,10.0,0.0,Catch-upper,2,"[1.0,10.0,0.0]","[3.705817952609225e-18,2.8143010871877566e-07,3.705817952609225e-18,0.9999997185698912]",3
56,Dimen,Ordinary - Registered,2.0,1.0,2.0,Mixed - No predominent behavior,3,"[2.0,1.0,2.0]","[0.945334620049814,0.05466537994997512,1.0544200901479538e-13,1.0544200901479538e-13]",0
57,dkervina,Ordinary - Registered,4.0,4.0,0.0,Follower,0,"[4.0,4.0,0.0]","[1.1104565948240789e-09,2.690017284933465e-07,2.6852185413864825e-19,0.9999997298878148]",3
58,dmeic,Ordinary - Registered,4.0,6.0,3.0,Mixed - No predominent behavior,3,"[4.0,6.0,3.0]","[1.7953849107798716e-11,0.9999999999813233,3.61444526738233e-13,3.61444526738233e-13]",1
59,Domen S,Ordinary - Registered,12.0,0.0,0.0,Follower,0,"[12.0,0.0,0.0]","[6.233657316157315e-08,4.4544726936527096e-14,0.0009194696103501385,0.9990804680530322]",3
60,Dorsi,Ordinary - Registered,4.0,6.0,0.0,Catch-upper,2,"[4.0,6.0,0.0]","[3.333508946933457e-16,6.187350177297483e-07,4.2535741264248625e-19,0.999999381264982]",3
61,dragana,Ordinary - Registered,3.0,4.0,0.0,Catch-upper,2,"[3.0,4.0,0.0]","[1.2424880746898475e-09,3.1856131525953954e-07,2.8594990880608864e-19,0.9999996801961967]",3
62,Dražen,Ordinary - Registered,5.0,3.0,1.0,Follower,0,"[5.0,3.0,1.0]","[0.5889217311229483,0.4110782688760674,4.921048409247639e-13,4.921048409247639e-13]",0
63,drejc,Ordinary - Registered,2.0,1.0,8.0,Independant,1,"[2.0,1.0,8.0]","[3.579295331187567e-13,0.9999999999990017,3.2020480541231503e-13,3.2020480541231503e-13]",1
64,Duši,Ordinary - Registered,1.0,3.0,4.0,Independant,1,"[1.0,3.0,4.0]","[0.0012970365344973998,0.9987029634650791,2.1170156951164184e-13,2.1170156951164184e-13]",1
65,Edvard,Ordinary - Registered,7.0,1.0,1.0,Follower,0,"[7.0,1.0,1.0]","[0.9976386394495136,0.002361360550208077,1.3915216636407417e-13,1.3915216636407417e-13]",0
66,Efa i Neno,Ordinary - Registered,5.0,5.0,3.0,Mixed - No predominent behavior,3,"[5.0,5.0,3.0]","[3.0298101136954665e-07,0.9999996970180196,4.845187928650174e-13,4.845187928650174e-13]",1
67,Elena Nikolovska,Ordinary - Registered,1.0,4.0,3.0,Catch-upper,2,"[1.0,4.0,3.0]","[0.00035630207889392077,0.9996436979206186,2.4372186087596497e-13,2.4372186087596497e-13]",1
68,Ferijan Perkovic,Ordinary - Registered,5.0,3.0,1.0,Follower,0,"[5.0,3.0,1.0]","[0.5889217311229483,0.4110782688760674,4.921048409247639e-13,4.921048409247639e-13]",0
69,filip mestrovic,Ordinary - Registered,5.0,2.0,0.0,Follower,0,"[5.0,2.0,0.0]","[4.98829575802363e-07,3.91173507499114e-08,2.970623461439526e-19,0.9999994620530734]",3
70,Gasper,Ordinary - Registered,3.0,1.0,3.0,Mixed - No predominent behavior,3,"[3.0,1.0,3.0]","[0.6638839790817963,0.33611602091782256,1.9050447335632293e-13,1.9050447335632293e-13]",0
71,gcampa,Ordinary - Registered,5.0,3.0,4.0,Mixed - No predominent behavior,3,"[5.0,3.0,4.0]","[0.002020380020273458,0.9979796199790141,3.56230611973376e-13,3.56230611973376e-13]",1
72,GITA MARINKOVIC,Ordinary - Registered,1.0,3.0,0.0,Catch-upper,2,"[1.0,3.0,0.0]","[1.0996174245358661e-07,1.0416968656747418e-07,5.932962734909455e-19,0.999999785868571]",3
73,Goran Cacic,Ordinary - Registered,1.0,2.0,9.0,Independant,1,"[1.0,2.0,9.0]","[9.064668334316178e-13,0.9999999999972806,9.06466604500562e-13,9.06466604500562e-13]",1
74,Goran Ðurica,Ordinary - Registered,4.0,6.0,3.0,Mixed - No predominent behavior,3,"[4.0,6.0,3.0]","[1.7953849107798716e-11,0.9999999999813233,3.61444526738233e-13,3.61444526738233e-13]",1
75,Gordan,Ordinary - Registered,1.0,0.0,12.0,Independant,1,"[1.0,0.0,12.0]","[9.03158984342468e-18,6.184966180961353e-07,0.9999993815033819,9.03158984342468e-18]",2
76,Gordana Genc,Ordinary - Registered,8.0,1.0,0.0,Follower,0,"[8.0,1.0,0.0]","[4.1131680580100646e-07,5.990009375264438e-10,5.606954413612324e-19,0.9999995880841932]",3
77,gpet,Ordinary - Registered,10.0,2.0,0.0,Follower,0,"[10.0,2.0,0.0]","[5.885485913373616e-07,4.781975671438478e-11,1.5261658614330405e-18,0.999999411403589]",3
78,Gregor Primc,Ordinary - Registered,5.0,1.0,6.0,Independant,1,"[5.0,1.0,6.0]","[2.724057618907666e-06,0.9999972759411498,6.156808638761748e-13,6.156808638761748e-13]",1
79,greta,Ordinary - Registered,2.0,3.0,2.0,Mixed - No predominent behavior,3,"[2.0,3.0,2.0]","[0.27826259082210425,0.7217374091774055,2.451032165767282e-13,2.451032165767282e-13]",1
80,Grozdana Sirotic,Ordinary - Registered,2.0,0.0,2.0,Follower,0,"[2.0,0.0,2.0]","[1.124488849141494e-06,2.1341132146834358e-07,0.9999986620998293,1.5609297791359801e-18]",2
81,Grup amor,Ordinary - Registered,1.0,0.0,8.0,Independant,1,"[1.0,0.0,8.0]","[1.2424796526424448e-18,1.962293189170504e-06,0.9999980377068107,1.196306120155814e-18]",2
82,HanaP,Ordinary - Registered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[1.990724701905048e-10,4.863309469293737e-07,0.9999995134699806,1.2423396057374423e-18]",2
83,Hrvoje Juvancic,Ordinary - Registered,5.0,4.0,0.0,Follower,0,"[5.0,4.0,0.0]","[1.0244282243824807e-09,1.7074380631299235e-07,2.876029498508682e-19,0.9999998282317655]",3
84,Igor Šutic,Ordinary - Registered,11.0,1.0,1.0,Follower,0,"[11.0,1.0,1.0]","[0.9999989143596051,1.085639062164756e-06,6.663311856099333e-13,6.663311856099333e-13]",0
85,Igor Žafran,Ordinary - Registered,10.0,1.0,2.0,Follower,0,"[10.0,1.0,2.0]","[0.999983119211293,1.688078814389875e-05,2.8154729186055454e-13,2.8154729186055454e-13]",0
86,Igor29,Ordinary - Registered,2.0,4.0,0.0,Catch-upper,2,"[2.0,4.0,0.0]","[1.4350052014862425e-09,2.835690771332398e-07,3.473156291203219e-19,0.9999997149959177]",3
