,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,nbVideos,regularitybehavior,regularityClasses,features,prediction
43,cvjetko,Ordinary - Registered,0.05555555555555555,0.25,0.08333333333333333,12.0,Follower,0,"[0.05555555555555555,0.25,0.08333333333333333]",2
44,Dalka,Ordinary - Registered,0.0625,0.0,0.5,8.0,Follower,0,"[0.0625,0.0,0.5]",0
45,Damir Mulalic,Ordinary - Registered,0.013888888888888888,0.25,0.5833333333333334,12.0,Independant,1,"[0.013888888888888888,0.25,0.5833333333333334]",0
46,damir.juretic,Ordinary - Registered,0.09090909090909091,0.0,0.0,11.0,Follower,0,"[0.09090909090909091,0.0,0.0]",2
47,Danilo4783,Ordinary - Registered,0.008264462809917356,0.2727272727272727,0.6363636363636364,11.0,Independant,1,"[0.008264462809917356,0.2727272727272727,0.6363636363636364]",0
48,Dario,Ordinary - Registered,0.024691358024691357,0.1111111111111111,0.6666666666666666,9.0,Independant,1,"[0.024691358024691357,0.1111111111111111,0.6666666666666666]",0
49,DarioR,Ordinary - Registered,0.02040816326530612,0.14285714285714285,0.7142857142857143,7.0,Independant,1,"[0.02040816326530612,0.14285714285714285,0.7142857142857143]",0
50,Darko Babic,Ordinary - Registered,0.05325443786982249,0.15384615384615385,0.15384615384615385,13.0,Follower,0,"[0.05325443786982249,0.15384615384615385,0.15384615384615385]",2
51,Dejan Adamic,Ordinary - Registered,0.04733727810650888,0.15384615384615385,0.23076923076923078,13.0,Follower,0,"[0.04733727810650888,0.15384615384615385,0.23076923076923078]",2
52,DejanJ,Ordinary - Registered,0.0650887573964497,0.07692307692307693,0.07692307692307693,13.0,Follower,0,"[0.0650887573964497,0.07692307692307693,0.07692307692307693]",2
53,delimir,Ordinary - Registered,0.0,0.0,1.0,11.0,Independant,1,"[0.0,0.0,1.0]",0
54,demirel,Ordinary - Registered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
55,Deni Oreb,Ordinary - Registered,0.008264462809917356,0.9090909090909091,0.0,11.0,Catch-upper,2,"[0.008264462809917356,0.9090909090909091,0.0]",1
56,Dimen,Ordinary - Registered,0.08,0.2,0.4,5.0,Mixed - No predominent behavior,3,"[0.08,0.2,0.4]",2
57,dkervina,Ordinary - Registered,0.0625,0.5,0.0,8.0,Follower,0,"[0.0625,0.5,0.0]",1
58,dmeic,Ordinary - Registered,0.02366863905325444,0.46153846153846156,0.23076923076923078,13.0,Mixed - No predominent behavior,3,"[0.02366863905325444,0.46153846153846156,0.23076923076923078]",1
59,Domen S,Ordinary - Registered,0.08333333333333333,0.0,0.0,12.0,Follower,0,"[0.08333333333333333,0.0,0.0]",2
60,Dorsi,Ordinary - Registered,0.04,0.6,0.0,10.0,Catch-upper,2,"[0.04,0.6,0.0]",1
61,dragana,Ordinary - Registered,0.061224489795918366,0.5714285714285714,0.0,7.0,Catch-upper,2,"[0.061224489795918366,0.5714285714285714,0.0]",1
62,Dražen,Ordinary - Registered,0.0617283950617284,0.3333333333333333,0.1111111111111111,9.0,Follower,0,"[0.0617283950617284,0.3333333333333333,0.1111111111111111]",2
63,drejc,Ordinary - Registered,0.01652892561983471,0.09090909090909091,0.7272727272727273,11.0,Independant,1,"[0.01652892561983471,0.09090909090909091,0.7272727272727273]",0
64,Duši,Ordinary - Registered,0.015625,0.375,0.5,8.0,Independant,1,"[0.015625,0.375,0.5]",2
65,Edvard,Ordinary - Registered,0.08641975308641975,0.1111111111111111,0.1111111111111111,9.0,Follower,0,"[0.08641975308641975,0.1111111111111111,0.1111111111111111]",2
66,Efa i Neno,Ordinary - Registered,0.02958579881656805,0.38461538461538464,0.23076923076923078,13.0,Mixed - No predominent behavior,3,"[0.02958579881656805,0.38461538461538464,0.23076923076923078]",2
67,Elena Nikolovska,Ordinary - Registered,0.015625,0.5,0.375,8.0,Catch-upper,2,"[0.015625,0.5,0.375]",1
68,Ferijan Perkovic,Ordinary - Registered,0.0617283950617284,0.3333333333333333,0.1111111111111111,9.0,Follower,0,"[0.0617283950617284,0.3333333333333333,0.1111111111111111]",2
69,filip mestrovic,Ordinary - Registered,0.10204081632653061,0.2857142857142857,0.0,7.0,Follower,0,"[0.10204081632653061,0.2857142857142857,0.0]",2
70,Gasper,Ordinary - Registered,0.061224489795918366,0.14285714285714285,0.42857142857142855,7.0,Mixed - No predominent behavior,3,"[0.061224489795918366,0.14285714285714285,0.42857142857142855]",2
71,gcampa,Ordinary - Registered,0.034722222222222224,0.25,0.3333333333333333,12.0,Mixed - No predominent behavior,3,"[0.034722222222222224,0.25,0.3333333333333333]",2
72,GITA MARINKOVIC,Ordinary - Registered,0.0625,0.75,0.0,4.0,Catch-upper,2,"[0.0625,0.75,0.0]",1
73,Goran Cacic,Ordinary - Registered,0.006944444444444444,0.16666666666666666,0.75,12.0,Independant,1,"[0.006944444444444444,0.16666666666666666,0.75]",0
74,Goran Ðurica,Ordinary - Registered,0.02366863905325444,0.46153846153846156,0.23076923076923078,13.0,Mixed - No predominent behavior,3,"[0.02366863905325444,0.46153846153846156,0.23076923076923078]",1
75,Gordan,Ordinary - Registered,0.00591715976331361,0.0,0.9230769230769231,13.0,Independant,1,"[0.00591715976331361,0.0,0.9230769230769231]",0
76,Gordana Genc,Ordinary - Registered,0.09876543209876543,0.1111111111111111,0.0,9.0,Follower,0,"[0.09876543209876543,0.1111111111111111,0.0]",2
77,gpet,Ordinary - Registered,0.06944444444444445,0.16666666666666666,0.0,12.0,Follower,0,"[0.06944444444444445,0.16666666666666666,0.0]",2
78,Gregor Primc,Ordinary - Registered,0.034722222222222224,0.08333333333333333,0.5,12.0,Independant,1,"[0.034722222222222224,0.08333333333333333,0.5]",0
79,greta,Ordinary - Registered,0.04081632653061224,0.42857142857142855,0.2857142857142857,7.0,Mixed - No predominent behavior,3,"[0.04081632653061224,0.42857142857142855,0.2857142857142857]",2
80,Grozdana Sirotic,Ordinary - Registered,0.125,0.0,0.5,4.0,Follower,0,"[0.125,0.0,0.5]",0
81,Grup amor,Ordinary - Registered,0.012345679012345678,0.0,0.8888888888888888,9.0,Independant,1,"[0.012345679012345678,0.0,0.8888888888888888]",0
82,HanaP,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
83,Hrvoje Juvancic,Ordinary - Registered,0.0617283950617284,0.4444444444444444,0.0,9.0,Follower,0,"[0.0617283950617284,0.4444444444444444,0.0]",1
84,Igor Šutic,Ordinary - Registered,0.0650887573964497,0.07692307692307693,0.07692307692307693,13.0,Follower,0,"[0.0650887573964497,0.07692307692307693,0.07692307692307693]",2
85,Igor Žafran,Ordinary - Registered,0.0591715976331361,0.07692307692307693,0.15384615384615385,13.0,Follower,0,"[0.0591715976331361,0.07692307692307693,0.15384615384615385]",2
86,Igor29,Ordinary - Registered,0.05555555555555555,0.6666666666666666,0.0,6.0,Catch-upper,2,"[0.05555555555555555,0.6666666666666666,0.0]",1
87,IgorGancevic,Ordinary - Registered,0.015625,0.25,0.625,8.0,Independant,1,"[0.015625,0.25,0.625]",0
88,igorr,Ordinary - Registered,0.024691358024691357,0.1111111111111111,0.6666666666666666,9.0,Independant,1,"[0.024691358024691357,0.1111111111111111,0.6666666666666666]",0
89,iivana,Ordinary - Registered,0.04081632653061224,0.14285714285714285,0.5714285714285714,7.0,Independant,1,"[0.04081632653061224,0.14285714285714285,0.5714285714285714]",0
90,Ina,Ordinary - Registered,0.09,0.0,0.1,10.0,Follower,0,"[0.09,0.0,0.1]",2
91,Ines,Ordinary - Registered,0.015625,0.875,0.0,8.0,Catch-upper,2,"[0.015625,0.875,0.0]",1
92,Ivan Odrljin,Ordinary - Registered,0.05325443786982249,0.07692307692307693,0.23076923076923078,13.0,Follower,0,"[0.05325443786982249,0.07692307692307693,0.23076923076923078]",2
93,Ivana PR,Ordinary - Registered,0.2,0.0,0.0,5.0,Follower,0,"[0.2,0.0,0.0]",2
94,IvanV,Ordinary - Registered,0.1111111111111111,0.3333333333333333,0.0,6.0,Follower,0,"[0.1111111111111111,0.3333333333333333,0.0]",2
95,Ivica Komljenovic,Ordinary - Registered,0.01183431952662722,0.8461538461538461,0.0,13.0,Catch-upper,2,"[0.01183431952662722,0.8461538461538461,0.0]",1
96,Iztok3,Ordinary - Registered,0.02,0.4,0.4,10.0,Mixed - No predominent behavior,3,"[0.02,0.4,0.4]",2
97,jadralec Jaro,Ordinary - Registered,0.078125,0.125,0.25,8.0,Follower,0,"[0.078125,0.125,0.25]",2
98,Jadran,Ordinary - Registered,0.06944444444444445,0.16666666666666666,0.0,12.0,Follower,0,"[0.06944444444444445,0.16666666666666666,0.0]",2
99,Janez  stupica,Ordinary - Registered,0.078125,0.0,0.375,8.0,Follower,0,"[0.078125,0.0,0.375]",2
100,Jani Pristavec,Ordinary - Registered,0.07100591715976332,0.07692307692307693,0.0,13.0,Follower,0,"[0.07100591715976332,0.07692307692307693,0.0]",2
101,Jaroš,Ordinary - Registered,0.1111111111111111,0.16666666666666666,0.16666666666666666,6.0,Follower,0,"[0.1111111111111111,0.16666666666666666,0.16666666666666666]",2
102,Jasminka,Ordinary - Registered,0.10204081632653061,0.2857142857142857,0.0,7.0,Follower,0,"[0.10204081632653061,0.2857142857142857,0.0]",2
103,jelena,Ordinary - Registered,0.08264462809917356,0.09090909090909091,0.0,11.0,Follower,0,"[0.08264462809917356,0.09090909090909091,0.0]",2
104,Jelena-Marija,Ordinary - Registered,0.024793388429752063,0.6363636363636364,0.09090909090909091,11.0,Catch-upper,2,"[0.024793388429752063,0.6363636363636364,0.09090909090909091]",1
105,Jelena Cutura,Ordinary - Registered,0.12,0.2,0.2,5.0,Follower,0,"[0.12,0.2,0.2]",2
106,jerko,Ordinary - Registered,0.041666666666666664,0.5,0.0,12.0,Follower,0,"[0.041666666666666664,0.5,0.0]",1
107,Jerko. Marinkovic,Ordinary - Registered,0.05555555555555555,0.3333333333333333,0.0,12.0,Follower,0,"[0.05555555555555555,0.3333333333333333,0.0]",2
108,Josip Rabanasic,Ordinary - Registered,0.061224489795918366,0.42857142857142855,0.14285714285714285,7.0,Mixed - No predominent behavior,3,"[0.061224489795918366,0.42857142857142855,0.14285714285714285]",2
109,josko52@gmail.com,Ordinary - Registered,0.02040816326530612,0.7142857142857143,0.14285714285714285,7.0,Catch-upper,2,"[0.02040816326530612,0.7142857142857143,0.14285714285714285]",1
110,JOZE,Ordinary - Registered,0.0,0.0,1.0,5.0,Independant,1,"[0.0,0.0,1.0]",0
111,Jožko,Ordinary - Registered,0.06,0.1,0.3,10.0,Follower,0,"[0.06,0.1,0.3]",2
112,Jure Gros,Ordinary - Registered,0.02366863905325444,0.3076923076923077,0.38461538461538464,13.0,Mixed - No predominent behavior,3,"[0.02366863905325444,0.3076923076923077,0.38461538461538464]",2
113,jure111,Ordinary - Registered,0.027777777777777776,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.027777777777777776,0.8333333333333334,0.0]",1
114,jurebizjak,Ordinary - Registered,0.041666666666666664,0.08333333333333333,0.4166666666666667,12.0,Follower,0,"[0.041666666666666664,0.08333333333333333,0.4166666666666667]",2
115,kapitan72,Ordinary - Registered,0.0617283950617284,0.4444444444444444,0.0,9.0,Follower,0,"[0.0617283950617284,0.4444444444444444,0.0]",1
116,Karla,Ordinary - Registered,0.125,0.5,0.0,4.0,Follower,0,"[0.125,0.5,0.0]",1
117,Karmen Hrvatic,Ordinary - Registered,0.04958677685950413,0.45454545454545453,0.0,11.0,Follower,0,"[0.04958677685950413,0.45454545454545453,0.0]",1
118,Katarina Šedlbauer,Ordinary - Registered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]",0
119,kec,Ordinary - Registered,0.00591715976331361,0.07692307692307693,0.8461538461538461,13.0,Independant,1,"[0.00591715976331361,0.07692307692307693,0.8461538461538461]",0
120,kemi,Ordinary - Registered,0.0625,0.25,0.25,8.0,Follower,0,"[0.0625,0.25,0.25]",2
121,Kiklop,Ordinary - Registered,0.01652892561983471,0.0,0.8181818181818182,11.0,Independant,1,"[0.01652892561983471,0.0,0.8181818181818182]",0
122,KlaraM,Ordinary - Registered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
123,Kreso,Ordinary - Registered,0.013888888888888888,0.5,0.3333333333333333,12.0,Catch-upper,2,"[0.013888888888888888,0.5,0.3333333333333333]",1
124,Kristijan Lopac,Ordinary - Registered,0.024793388429752063,0.18181818181818182,0.5454545454545454,11.0,Independant,1,"[0.024793388429752063,0.18181818181818182,0.5454545454545454]",0
125,Ksenija Sekulic,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,"[0.0,0.0,1.0]",0
126,Kskoric,Ordinary - Registered,0.0,0.0,1.0,10.0,Independant,1,"[0.0,0.0,1.0]",0
127,Kvasina,Ordinary - Registered,0.04132231404958678,0.5454545454545454,0.0,11.0,Catch-upper,2,"[0.04132231404958678,0.5454545454545454,0.0]",1
128,Labura,Ordinary - Registered,0.0625,0.5,0.25,4.0,Catch-upper,2,"[0.0625,0.5,0.25]",1
129,Lana,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
130,Lea Svilicic,Ordinary - Registered,0.034722222222222224,0.08333333333333333,0.5,12.0,Independant,1,"[0.034722222222222224,0.08333333333333333,0.5]",0
131,Leo Mihaljevic,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
132,ljubica basic,Ordinary - Registered,0.07100591715976332,0.0,0.07692307692307693,13.0,Follower,0,"[0.07100591715976332,0.0,0.07692307692307693]",2
133,Luc,Ordinary - Registered,0.0743801652892562,0.18181818181818182,0.0,11.0,Follower,0,"[0.0743801652892562,0.18181818181818182,0.0]",2
134,lucijan,Ordinary - Registered,0.03550295857988166,0.07692307692307693,0.46153846153846156,13.0,Mixed - No predominent behavior,3,"[0.03550295857988166,0.07692307692307693,0.46153846153846156]",2
135,ludmilla,Ordinary - Registered,0.08,0.0,0.6,5.0,Independant,1,"[0.08,0.0,0.6]",0
136,Luka Skocir,Ordinary - Registered,0.04938271604938271,0.5555555555555556,0.0,9.0,Catch-upper,2,"[0.04938271604938271,0.5555555555555556,0.0]",1
137,luka.voncina,Ordinary - Registered,0.06944444444444445,0.16666666666666666,0.0,12.0,Follower,0,"[0.06944444444444445,0.16666666666666666,0.0]",2
138,lukaaa11,Ordinary - Registered,0.08333333333333333,0.3333333333333333,0.16666666666666666,6.0,Mixed - No predominent behavior,3,"[0.08333333333333333,0.3333333333333333,0.16666666666666666]",2
139,Lupodimare,Ordinary - Registered,0.05555555555555555,0.3333333333333333,0.3333333333333333,6.0,Mixed - No predominent behavior,3,"[0.05555555555555555,0.3333333333333333,0.3333333333333333]",2
140,Maja Demaria,Ordinary - Registered,0.06,0.4,0.0,10.0,Follower,0,"[0.06,0.4,0.0]",2
141,Maja Grinek,Ordinary - Registered,0.04938271604938271,0.4444444444444444,0.1111111111111111,9.0,Mixed - No predominent behavior,3,"[0.04938271604938271,0.4444444444444444,0.1111111111111111]",1
142,maja laurence,Ordinary - Registered,0.0,0.0,1.0,4.0,Independant,1,"[0.0,0.0,1.0]",0
143,MajaM,Ordinary - Registered,0.02958579881656805,0.6153846153846154,0.0,13.0,Catch-upper,2,"[0.02958579881656805,0.6153846153846154,0.0]",1
144,Mare_,Ordinary - Registered,0.2,0.0,0.0,5.0,Follower,0,"[0.2,0.0,0.0]",2
145,mare10,Ordinary - Registered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]",0
146,Maria,Ordinary - Registered,0.078125,0.0,0.375,8.0,Follower,0,"[0.078125,0.0,0.375]",2
147,Marijana,Ordinary - Registered,0.08163265306122448,0.42857142857142855,0.0,7.0,Follower,0,"[0.08163265306122448,0.42857142857142855,0.0]",1
148,MARINO BRZAC,Ordinary - Registered,0.027777777777777776,0.6666666666666666,0.0,12.0,Catch-upper,2,"[0.027777777777777776,0.6666666666666666,0.0]",1
149,Mario Bursac,Ordinary - Registered,0.09876543209876543,0.1111111111111111,0.0,9.0,Follower,0,"[0.09876543209876543,0.1111111111111111,0.0]",2
150,Mario91,Ordinary - Registered,0.012345679012345678,0.5555555555555556,0.3333333333333333,9.0,Catch-upper,2,"[0.012345679012345678,0.5555555555555556,0.3333333333333333]",1
151,Marjan Henigman,Ordinary - Registered,0.08264462809917356,0.09090909090909091,0.0,11.0,Follower,0,"[0.08264462809917356,0.09090909090909091,0.0]",2
152,Markisha,Ordinary - Registered,0.125,0.5,0.0,4.0,Follower,0,"[0.125,0.5,0.0]",1
153,Marko Dundovic,Ordinary - Registered,0.01183431952662722,0.07692307692307693,0.7692307692307693,13.0,Independant,1,"[0.01183431952662722,0.07692307692307693,0.7692307692307693]",0
154,Marko Kralj,Ordinary - Registered,0.08,0.6,0.0,5.0,Catch-upper,2,"[0.08,0.6,0.0]",1
155,Marko L,Ordinary - Registered,0.0,0.0,1.0,12.0,Independant,1,"[0.0,0.0,1.0]",0
156,marko maticic,Ordinary - Registered,0.125,0.25,0.25,4.0,Follower,0,"[0.125,0.25,0.25]",2
157,Maša,Ordinary - Registered,0.08,0.2,0.0,10.0,Follower,0,"[0.08,0.2,0.0]",2
158,masa sarusic,Ordinary - Registered,0.0625,0.25,0.0,12.0,Follower,0,"[0.0625,0.25,0.0]",2
159,Mate Vitaljic,Ordinary - Registered,0.08,0.2,0.0,10.0,Follower,0,"[0.08,0.2,0.0]",2
160,Matija Osterc,Ordinary - Registered,0.01775147928994083,0.6923076923076923,0.07692307692307693,13.0,Catch-upper,2,"[0.01775147928994083,0.6923076923076923,0.07692307692307693]",1
161,Matija Turkalj,Ordinary - Registered,0.0,0.0,1.0,11.0,Independant,1,"[0.0,0.0,1.0]",0
162,Matjazzavrl,Ordinary - Registered,0.046875,0.125,0.5,8.0,Independant,1,"[0.046875,0.125,0.5]",0
163,Mauro,Ordinary - Registered,0.0,0.0,1.0,9.0,Independant,1,"[0.0,0.0,1.0]",0
164,MedoPiki,Ordinary - Registered,0.0,0.0,1.0,13.0,Independant,1,"[0.0,0.0,1.0]",0
165,melina lakoš,Ordinary - Registered,0.0,0.0,1.0,9.0,Independant,1,"[0.0,0.0,1.0]",0
166,mihaelas,Ordinary - Registered,0.012345679012345678,0.4444444444444444,0.4444444444444444,9.0,Mixed - No predominent behavior,3,"[0.012345679012345678,0.4444444444444444,0.4444444444444444]",2
167,Miho,Ordinary - Registered,0.03305785123966942,0.18181818181818182,0.45454545454545453,11.0,Mixed - No predominent behavior,3,"[0.03305785123966942,0.18181818181818182,0.45454545454545453]",2
168,Milan Kuraš,Ordinary - Registered,0.00591715976331361,0.07692307692307693,0.8461538461538461,13.0,Independant,1,"[0.00591715976331361,0.07692307692307693,0.8461538461538461]",0
169,Mirela,Ordinary - Registered,0.01775147928994083,0.07692307692307693,0.6923076923076923,13.0,Independant,1,"[0.01775147928994083,0.07692307692307693,0.6923076923076923]",0
170,Mirjana Puškarski,Ordinary - Registered,0.109375,0.125,0.0,8.0,Follower,0,"[0.109375,0.125,0.0]",2
171,Mirkomatic,Ordinary - Registered,0.01775147928994083,0.3076923076923077,0.46153846153846156,13.0,Mixed - No predominent behavior,3,"[0.01775147928994083,0.3076923076923077,0.46153846153846156]",2
172,miroc,Ordinary - Registered,0.027777777777777776,0.8333333333333334,0.0,6.0,Catch-upper,2,"[0.027777777777777776,0.8333333333333334,0.0]",1
173,Mišo,Ordinary - Registered,0.1875,0.25,0.0,4.0,Follower,0,"[0.1875,0.25,0.0]",2
174,MojcaDamijan,Ordinary - Registered,0.05325443786982249,0.3076923076923077,0.0,13.0,Follower,0,"[0.05325443786982249,0.3076923076923077,0.0]",2
175,Nataša,Ordinary - Registered,0.10204081632653061,0.14285714285714285,0.14285714285714285,7.0,Follower,0,"[0.10204081632653061,0.14285714285714285,0.14285714285714285]",2
176,Nejc Kodric,Ordinary - Registered,0.01183431952662722,0.6153846153846154,0.23076923076923078,13.0,Catch-upper,2,"[0.01183431952662722,0.6153846153846154,0.23076923076923078]",1
177,Nejc Likar,Ordinary - Registered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
178,nenad,Ordinary - Registered,0.14285714285714285,0.0,0.0,7.0,Follower,0,"[0.14285714285714285,0.0,0.0]",2
179,NenadS,Ordinary - Registered,0.020833333333333332,0.5,0.25,12.0,Catch-upper,2,"[0.020833333333333332,0.5,0.25]",1
180,Neven,Ordinary - Registered,0.0591715976331361,0.23076923076923078,0.0,13.0,Follower,0,"[0.0591715976331361,0.23076923076923078,0.0]",2
181,Niko Vukusic,Ordinary - Registered,0.0625,0.25,0.0,12.0,Follower,0,"[0.0625,0.25,0.0]",2
182,niko.mihovilovic,Ordinary - Registered,0.06944444444444445,0.08333333333333333,0.08333333333333333,12.0,Follower,0,"[0.06944444444444445,0.08333333333333333,0.08333333333333333]",2
183,Nikola Baržic,Ordinary - Registered,0.0,0.0,1.0,7.0,Independant,1,"[0.0,0.0,1.0]",0
184,Nikoleta,Ordinary - Registered,0.06999999999999999,0.3,0.0,10.0,Follower,0,"[0.06999999999999999,0.3,0.0]",2
185,nikonikokaoja,Ordinary - Registered,0.0625,0.0,0.75,4.0,Independant,1,"[0.0625,0.0,0.75]",0
186,Oaky,Ordinary - Registered,0.08641975308641975,0.2222222222222222,0.0,9.0,Follower,0,"[0.08641975308641975,0.2222222222222222,0.0]",2
