,user,regularitynbFollowing,nbVideos,regularitynbCatchup,regularitynbIndependant,intensitybinge,intensityregular,orderseq,orderjump,orderoutOfOrder,pcaInput,_1,_2,_3,features,probability,prediction
116,Karla,0.5,4.0,0.5,0.0,0.75,0.25,0.75,0.0,0.0,"[0.5,0.5,0.0,0.75,0.25,0.75,0.0,0.0]",0.15985639523159173,-0.5952863153211075,-0.5952863153211075,"[0.15985639523159173,-0.5952863153211075,-0.5952863153211075]","[0.9804623975600175,1.000839618011617e-15,0.019537602439981542]",0
117,Karmen Hrvatic,0.5454545454545454,11.0,0.45454545454545453,0.0,0.5454545454545454,0.45454545454545453,0.7272727272727273,0.18181818181818182,0.0,"[0.5454545454545454,0.45454545454545453,0.0,0.5454545454545454,0.45454545454545453,0.7272727272727273,0.18181818181818182,0.0]",-0.11818488762584095,-0.4993032084933557,-0.4993032084933557,"[-0.11818488762584095,-0.4993032084933557,-0.4993032084933557]","[0.9590044614100071,1.0252622098016054e-15,0.04099553858999189]",0
118,Katarina Šedlbauer,0.0,7.0,0.0,1.0,0.8571428571428571,0.14285714285714285,0.8571428571428571,0.0,0.0,"(8,[2,3,4,5],[1.0,0.8571428571428571,0.14285714285714285,0.8571428571428571])",0.6478471336311511,0.4824264943066884,0.4824264943066884,"[0.6478471336311511,0.4824264943066884,0.4824264943066884]","[2.248529004783698e-15,2.248529004743542e-15,0.9999999999999954]",2
119,kec,0.07692307692307693,13.0,0.07692307692307693,0.8461538461538461,0.7692307692307693,0.23076923076923078,0.6923076923076923,0.15384615384615385,0.07692307692307693,"[0.07692307692307693,0.07692307692307693,0.8461538461538461,0.7692307692307693,0.23076923076923078,0.6923076923076923,0.15384615384615385,0.07692307692307693]",0.4901770462889611,0.38645520522637206,0.38645520522637206,"[0.4901770462889611,0.38645520522637206,0.38645520522637206]","[1.6562316897006785e-15,1.6561992388662039e-15,0.9999999999999967]",2
120,kemi,0.5,8.0,0.25,0.25,0.0,1.0,0.0,0.5,0.375,"[0.5,0.25,0.25,0.0,1.0,0.0,0.5,0.375]",-0.6982240516009441,0.171697676059769,0.171697676059769,"[-0.6982240516009441,0.171697676059769,0.171697676059769]","[3.392960130805167e-05,0.9939183568113248,0.006047713587367137]",1
121,Kiklop,0.18181818181818182,11.0,0.0,0.8181818181818182,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.5454545454545454,"[0.18181818181818182,0.0,0.8181818181818182,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.5454545454545454]",0.197617493703039,0.5667416561471811,0.5667416561471811,"[0.197617493703039,0.5667416561471811,0.5667416561471811]","[3.1894057556316333e-15,3.1894057614209833e-15,0.9999999999999937]",2
122,KlaraM,0.25,4.0,0.0,0.75,0.0,1.0,0.25,0.5,0.0,"[0.25,0.0,0.75,0.0,1.0,0.25,0.5,0.0]",-0.5457257287516661,0.6563555196113484,0.6563555196113484,"[-0.5457257287516661,0.6563555196113484,0.6563555196113484]","[4.980535124513178e-15,0.9850799272804445,0.014920072719550587]",1
123,Kreso,0.16666666666666666,12.0,0.5,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.08333333333333333,0.0,"[0.16666666666666666,0.5,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.08333333333333333,0.0]",0.48083657411025255,-0.30576717312058577,-0.30576717312058577,"[0.48083657411025255,-0.30576717312058577,-0.30576717312058577]","[0.12084608670829912,1.0078041318536856e-14,0.8791539132916909]",2
124,Kristijan Lopac,0.2727272727272727,11.0,0.18181818181818182,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.2727272727272727,"[0.2727272727272727,0.18181818181818182,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.2727272727272727,0.2727272727272727]",0.10137599134113792,0.21848306539207055,0.21848306539207055,"[0.10137599134113792,0.21848306539207055,0.21848306539207055]","[1.3206348678460469e-10,1.8785502135193768e-15,0.9999999998679346]",2
125,Ksenija Sekulic,0.0,12.0,0.0,1.0,0.4166666666666667,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.5,"[0.0,0.0,1.0,0.4166666666666667,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.5]",0.16051708742044044,0.8349417771389358,0.8349417771389358,"[0.16051708742044044,0.8349417771389358,0.8349417771389358]","[1.4849534913002766e-14,2.0433613685099707e-13,0.9999999999997808]",2
126,Kskoric,0.0,10.0,0.0,1.0,0.6,0.4,0.5,0.3,0.1,"[0.0,0.0,1.0,0.6,0.4,0.5,0.3,0.1]",0.3451876214277223,0.6625426260193865,0.6625426260193865,"[0.3451876214277223,0.6625426260193865,0.6625426260193865]","[3.585934992324166e-15,3.585934992324168e-15,0.9999999999999928]",2
127,Kvasina,0.45454545454545453,11.0,0.5454545454545454,0.0,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0,"[0.45454545454545453,0.5454545454545454,0.0,0.7272727272727273,0.2727272727272727,0.9090909090909091,0.0,0.0]",0.15844394353482733,-0.6335524085589775,-0.6335524085589775,"[0.15844394353482733,-0.6335524085589775,-0.6335524085589775]","[0.9810655166482292,1.35424215706031e-15,0.018934483351769598]",0
128,Labura,0.25,4.0,0.5,0.25,0.75,0.25,0.75,0.0,0.0,"[0.25,0.5,0.25,0.75,0.25,0.75,0.0,0.0]",0.3301112810196644,-0.35287371461055295,-0.35287371461055295,"[0.3301112810196644,-0.35287371461055295,-0.35287371461055295]","[0.569261737611403,4.642277171101689e-15,0.4307382623885925]",0
129,Lana,0.75,4.0,0.25,0.0,0.0,1.0,0.25,0.5,0.0,"[0.75,0.25,0.0,0.0,1.0,0.25,0.5,0.0]",-0.8975324140641192,-0.15121891214711985,-0.15121891214711985,"[-0.8975324140641192,-0.15121891214711985,-0.15121891214711985]","[0.08165785312268901,0.9171141427460554,0.0012280041312554806]",1
130,Lea Svilicic,0.4166666666666667,12.0,0.08333333333333333,0.5,0.25,0.75,0.5833333333333334,0.25,0.08333333333333333,"[0.4166666666666667,0.08333333333333333,0.5,0.25,0.75,0.5833333333333334,0.25,0.08333333333333333]",-0.3585727491368745,0.2340313972113207,0.2340313972113207,"[-0.3585727491368745,0.2340313972113207,0.2340313972113207]","[6.321903208151113e-07,2.960798849119084e-05,0.9999697598211881]",2
131,Leo Mihaljevic,0.75,4.0,0.25,0.0,0.0,1.0,0.75,0.0,0.0,"(8,[0,1,4,5],[0.75,0.25,1.0,0.75])",-0.8890801476317932,-0.2903033767137201,-0.2903033767137201,"[-0.8890801476317932,-0.2903033767137201,-0.2903033767137201]","[0.42077855156907185,0.5732128506320542,0.006008597798873917]",1
132,ljubica basic,0.9230769230769231,13.0,0.0,0.07692307692307693,0.0,1.0,0.9230769230769231,0.0,0.0,"(8,[0,2,4,5],[0.9230769230769231,0.07692307692307693,1.0,0.9230769230769231])",-0.9992909076001578,-0.16852356032112287,-0.16852356032112287,"[-0.9992909076001578,-0.16852356032112287,-0.16852356032112287]","[0.05655759300765139,0.943041134583286,0.0004012724090626977]",1
133,Luc,0.8181818181818182,11.0,0.18181818181818182,0.0,0.0,1.0,0.7272727272727273,0.18181818181818182,0.0,"[0.8181818181818182,0.18181818181818182,0.0,0.0,1.0,0.7272727272727273,0.18181818181818182,0.0]",-0.9388507268180355,-0.24828411509641773,-0.24828411509641773,"[-0.9388507268180355,-0.24828411509641773,-0.24828411509641773]","[0.11421327144354235,0.8846207071566731,0.001166021399784661]",1
134,lucijan,0.46153846153846156,13.0,0.07692307692307693,0.46153846153846156,0.38461538461538464,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.3076923076923077,"[0.46153846153846156,0.07692307692307693,0.46153846153846156,0.38461538461538464,0.6153846153846154,0.23076923076923078,0.38461538461538464,0.3076923076923077]",-0.21255750595904024,0.2571809701564174,0.2571809701564174,"[-0.21255750595904024,0.2571809701564174,0.2571809701564174]","[8.831265726745762e-09,1.6677132774242715e-10,0.999999991001963]",2
135,ludmilla,0.4,5.0,0.0,0.6,0.0,1.0,0.2,0.2,0.4,"[0.4,0.0,0.6,0.0,1.0,0.2,0.2,0.4]",-0.6100648590943353,0.5292870513628828,0.5292870513628828,"[-0.6100648590943353,0.5292870513628828,0.5292870513628828]","[4.6782571011685657e-14,0.9920921414881746,0.007907858511778653]",1
136,Luka Skocir,0.4444444444444444,9.0,0.5555555555555556,0.0,0.5555555555555556,0.4444444444444444,0.7777777777777778,0.1111111111111111,0.0,"[0.4444444444444444,0.5555555555555556,0.0,0.5555555555555556,0.4444444444444444,0.7777777777777778,0.1111111111111111,0.0]",-0.04035318768488395,-0.5505876900979717,-0.5505876900979717,"[-0.04035318768488395,-0.5505876900979717,-0.5505876900979717]","[0.9653290414732031,1.1529480045679307e-15,0.03467095852679571]",0
137,luka.voncina,0.8333333333333334,12.0,0.16666666666666666,0.0,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0,"[0.8333333333333334,0.16666666666666666,0.0,0.25,0.75,0.8333333333333334,0.08333333333333333,0.0]",-0.6503194580852355,-0.3471435609140212,-0.3471435609140212,"[-0.6503194580852355,-0.3471435609140212,-0.3471435609140212]","[0.9693040806388715,1.8332546350773174e-07,0.03069573603566482]",0
138,lukaaa11,0.5,6.0,0.3333333333333333,0.16666666666666666,0.5,0.5,0.8333333333333334,0.0,0.0,"[0.5,0.3333333333333333,0.16666666666666666,0.5,0.5,0.8333333333333334,0.0,0.0]",-0.1310239186987463,-0.321196909691078,-0.321196909691078,"[-0.1310239186987463,-0.321196909691078,-0.321196909691078]","[0.8389977661508246,1.5145026590668813e-15,0.16100223384917398]",0
139,Lupodimare,0.3333333333333333,6.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333,0.5,"[0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.3333333333333333,0.5]",0.01908659540656093,0.072390818998946,0.072390818998946,"[0.01908659540656093,0.072390818998946,0.072390818998946]","[2.660948357724586e-06,2.306578852465754e-15,0.9999973390516399]",2
140,Maja Demaria,0.6,10.0,0.4,0.0,0.5,0.5,0.9,0.0,0.0,"[0.6,0.4,0.0,0.5,0.5,0.9,0.0,0.0]",-0.20354003626419317,-0.5169954921359857,-0.5169954921359857,"[-0.20354003626419317,-0.5169954921359857,-0.5169954921359857]","[0.9540704606671345,1.4903757442929707e-15,0.04592953933286398]",0
141,Maja Grinek,0.4444444444444444,9.0,0.4444444444444444,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.1111111111111111,"[0.4444444444444444,0.4444444444444444,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.5555555555555556,0.2222222222222222,0.1111111111111111]",0.10402519219278528,-0.3785710076328938,-0.3785710076328938,"[0.10402519219278528,-0.3785710076328938,-0.3785710076328938]","[0.8488931690563651,1.5289368711348876e-15,0.15110683094363322]",0
142,maja laurence,0.0,4.0,0.0,1.0,1.0,0.0,0.5,0.0,0.25,"(8,[2,3,5,7],[1.0,1.0,0.5,0.25])",0.8407405684849636,0.5297834197004858,0.5297834197004858,"[0.8407405684849636,0.5297834197004858,0.5297834197004858]","[3.855854512156549e-15,3.855854512156548e-15,0.9999999999999923]",2
143,MajaM,0.38461538461538464,13.0,0.6153846153846154,0.0,0.6923076923076923,0.3076923076923077,0.46153846153846156,0.07692307692307693,0.38461538461538464,"[0.38461538461538464,0.6153846153846154,0.0,0.6923076923076923,0.3076923076923077,0.46153846153846156,0.07692307692307693,0.38461538461538464]",0.19231639173782214,-0.5197116996401907,-0.5197116996401907,"[0.19231639173782214,-0.5197116996401907,-0.5197116996401907]","[0.9715227752578377,8.177693813106039e-16,0.028477224742161363]",0
144,Mare_,1.0,5.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,"(8,[0,4,5],[1.0,1.0,0.8])",-1.04908935937396,-0.21954205763995804,-0.21954205763995804,"[-1.04908935937396,-0.21954205763995804,-0.21954205763995804]","[0.05695797198416426,0.9427174326167614,0.00032459539907426854]",1
145,mare10,0.0,7.0,0.0,1.0,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,"[0.0,0.0,1.0,0.8571428571428571,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285]",0.6550864388702436,0.6016908602986277,0.6016908602986277,"[0.6550864388702436,0.6016908602986277,0.6016908602986277]","[2.8953226570840165e-15,2.8953226570840165e-15,0.9999999999999942]",2
146,Maria,0.625,8.0,0.0,0.375,0.0,1.0,0.625,0.125,0.125,"[0.625,0.0,0.375,0.0,1.0,0.625,0.125,0.125]",-0.7868364315351664,0.19929908169760693,0.19929908169760693,"[-0.7868364315351664,0.19929908169760693,0.19929908169760693]","[1.7179757876148e-05,0.9981844927752946,0.0017983274668291682]",1
147,Marijana,0.5714285714285714,7.0,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.0,0.0,"[0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.0,0.0]",-0.09971248440825467,-0.5393642987603061,-0.5393642987603061,"[-0.09971248440825467,-0.5393642987603061,-0.5393642987603061]","[0.9608554983241665,1.258965808044288e-15,0.03914450167583228]",0
148,MARINO BRZAC,0.3333333333333333,12.0,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.08333333333333333,"[0.3333333333333333,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.08333333333333333]",0.3654336802221907,-0.6361515910849969,-0.6361515910849969,"[0.3654336802221907,-0.6361515910849969,-0.6361515910849969]","[0.9915579548236186,9.915129053864678e-16,0.008442045176380352]",0
149,Mario Bursac,0.8888888888888888,9.0,0.1111111111111111,0.0,0.0,1.0,0.6666666666666666,0.2222222222222222,0.0,"[0.8888888888888888,0.1111111111111111,0.0,0.0,1.0,0.6666666666666666,0.2222222222222222,0.0]",-0.9840668052149238,-0.21045468309434662,-0.21045468309434662,"[-0.9840668052149238,-0.21045468309434662,-0.21045468309434662]","[0.059351165539589384,0.9401935655665477,0.00045526889386288057]",1
150,Mario91,0.1111111111111111,9.0,0.5555555555555556,0.3333333333333333,1.0,0.0,0.8888888888888888,0.0,0.0,"[0.1111111111111111,0.5555555555555556,0.3333333333333333,1.0,0.0,0.8888888888888888,0.0,0.0]",0.7159263167577267,-0.3914022865983038,-0.3914022865983038,"[0.7159263167577267,-0.3914022865983038,-0.3914022865983038]","[0.42674328655900384,3.2701606899838776e-14,0.5732567134409635]",2
151,Marjan Henigman,0.9090909090909091,11.0,0.09090909090909091,0.0,0.0,1.0,0.8181818181818182,0.09090909090909091,0.0,"[0.9090909090909091,0.09090909090909091,0.0,0.0,1.0,0.8181818181818182,0.09090909090909091,0.0]",-0.9951168500309816,-0.24435887969877976,-0.24435887969877976,"[-0.9951168500309816,-0.24435887969877976,-0.24435887969877976]","[0.05617646750390442,0.9433752047376468,0.00044832775844887054]",1
152,Markisha,0.5,4.0,0.5,0.0,0.75,0.25,0.75,0.0,0.0,"[0.5,0.5,0.0,0.75,0.25,0.75,0.0,0.0]",0.15985639523159173,-0.5952863153211075,-0.5952863153211075,"[0.15985639523159173,-0.5952863153211075,-0.5952863153211075]","[0.9804623975600175,1.000839618011617e-15,0.019537602439981542]",0
153,Marko Dundovic,0.15384615384615385,13.0,0.07692307692307693,0.7692307692307693,0.46153846153846156,0.5384615384615384,0.8461538461538461,0.0,0.07692307692307693,"[0.15384615384615385,0.07692307692307693,0.7692307692307693,0.46153846153846156,0.5384615384615384,0.8461538461538461,0.0,0.07692307692307693]",0.07527221128242591,0.36123408113312777,0.36123408113312777,"[0.07527221128242591,0.36123408113312777,0.36123408113312777]","[1.4131786169310782e-14,2.370565312432331e-15,0.9999999999999836]",2
154,Marko Kralj,0.4,5.0,0.6,0.0,0.6,0.4,0.8,0.0,0.0,"[0.4,0.6,0.0,0.6,0.4,0.8,0.0,0.0]",0.0443926301995719,-0.5920670159287553,-0.5920670159287553,"[0.0443926301995719,-0.5920670159287553,-0.5920670159287553]","[0.9720466491075442,1.2709789639573286e-15,0.02795335089245438]",0
155,Marko L,0.0,12.0,0.0,1.0,0.75,0.25,0.75,0.08333333333333333,0.08333333333333333,"[0.0,0.0,1.0,0.75,0.25,0.75,0.08333333333333333,0.08333333333333333]",0.5250875011072045,0.549509780998776,0.549509780998776,"[0.5250875011072045,0.549509780998776,0.549509780998776]","[2.237084684665348e-15,2.2370846846634246e-15,0.9999999999999956]",2
156,marko maticic,0.5,4.0,0.25,0.25,0.0,1.0,0.25,0.25,0.25,"[0.5,0.25,0.25,0.0,1.0,0.25,0.25,0.25]",-0.7019303444591455,0.09127963219942832,0.09127963219942832,"[-0.7019303444591455,0.09127963219942832,0.09127963219942832]","[0.0012133297743278767,0.9854370545866639,0.01334961563900824]",1
157,Maša,0.8,10.0,0.2,0.0,0.3,0.7,0.7,0.2,0.0,"[0.8,0.2,0.0,0.3,0.7,0.7,0.2,0.0]",-0.5714149393616343,-0.3371867202130798,-0.3371867202130798,"[-0.5714149393616343,-0.3371867202130798,-0.3371867202130798]","[0.9636060099572724,2.2670772023228034e-10,0.03639398981601987]",0
158,masa sarusic,0.75,12.0,0.25,0.0,0.25,0.75,0.6666666666666666,0.16666666666666666,0.08333333333333333,"[0.75,0.25,0.0,0.25,0.75,0.6666666666666666,0.16666666666666666,0.08333333333333333]",-0.5917018282731221,-0.3275323013887581,-0.3275323013887581,"[-0.5917018282731221,-0.3275323013887581,-0.3275323013887581]","[0.965078902559231,2.6537988735506527e-09,0.03492109478697014]",0
159,Mate Vitaljic,0.8,10.0,0.2,0.0,0.0,1.0,0.4,0.3,0.2,"[0.8,0.2,0.0,0.0,1.0,0.4,0.3,0.2]",-0.912199980492157,-0.16380876297209163,-0.16380876297209163,"[-0.912199980492157,-0.16380876297209163,-0.16380876297209163]","[0.08008971927474909,0.918892164435194,0.00101811629005698]",1
160,Matija Osterc,0.23076923076923078,13.0,0.6923076923076923,0.07692307692307693,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.07692307692307693,0.07692307692307693,"[0.23076923076923078,0.6923076923076923,0.07692307692307693,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.07692307692307693,0.07692307692307693]",0.3588973699042095,-0.5785790336669454,-0.5785790336669454,"[0.3588973699042095,-0.5785790336669454,-0.5785790336669454]","[0.9868144965120151,8.846869967192052e-16,0.013185503487983894]",0
161,Matija Turkalj,0.0,11.0,0.0,1.0,0.5454545454545454,0.45454545454545453,0.7272727272727273,0.09090909090909091,0.09090909090909091,"[0.0,0.0,1.0,0.5454545454545454,0.45454545454545453,0.7272727272727273,0.09090909090909091,0.09090909090909091]",0.2830373186384772,0.6164450459015957,0.6164450459015957,"[0.2830373186384772,0.6164450459015957,0.6164450459015957]","[3.2589735988164546e-15,3.2589735988137235e-15,0.9999999999999934]",2
162,Matjazzavrl,0.375,8.0,0.125,0.5,0.5,0.5,0.25,0.5,0.125,"[0.375,0.125,0.5,0.5,0.5,0.25,0.5,0.125]",-0.035250155231745475,0.23488620967737683,0.23488620967737683,"[-0.035250155231745475,0.23488620967737683,0.23488620967737683]","[8.117499308066167e-10,2.692761413373072e-15,0.9999999991882473]",2
163,Mauro,0.0,9.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222,"[0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222]",0.038746767601885966,0.7878574552003645,0.7878574552003645,"[0.038746767601885966,0.7878574552003645,0.7878574552003645]","[1.7482484518229776e-14,3.304497886228803e-09,0.9999999966954847]",2
164,MedoPiki,0.0,13.0,0.0,1.0,0.6923076923076923,0.3076923076923077,0.9230769230769231,0.0,0.0,"(8,[2,3,4,5],[1.0,0.6923076923076923,0.3076923076923077,0.9230769230769231])",0.45086119759729804,0.5191725263203866,0.5191725263203866,"[0.45086119759729804,0.5191725263203866,0.5191725263203866]","[2.0395653373632985e-15,2.039565336954175e-15,0.9999999999999959]",2
165,melina lakoš,0.0,9.0,0.0,1.0,1.0,0.0,0.7777777777777778,0.1111111111111111,0.0,"(8,[2,3,5,6],[1.0,1.0,0.7777777777777778,0.1111111111111111])",0.8148211262037034,0.4644648177042074,0.4644648177042074,"[0.8148211262037034,0.4644648177042074,0.4644648177042074]","[3.3363873372942223e-15,3.3363873372925393e-15,0.9999999999999933]",2
166,mihaelas,0.1111111111111111,9.0,0.4444444444444444,0.4444444444444444,1.0,0.0,0.7777777777777778,0.1111111111111111,0.0,"[0.1111111111111111,0.4444444444444444,0.4444444444444444,1.0,0.0,0.7777777777777778,0.1111111111111111,0.0]",0.7190688858777908,-0.21705052543356637,-0.21705052543356637,"[0.7190688858777908,-0.21705052543356637,-0.21705052543356637]","[0.0005095942181287158,1.6175846694881703e-14,0.9994904057818551]",2
167,Miho,0.36363636363636365,11.0,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.18181818181818182,"[0.36363636363636365,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.18181818181818182]",-0.2918438294590186,0.1867032589741559,0.1867032589741559,"[-0.2918438294590186,0.1867032589741559,0.1867032589741559]","[1.9492093688752883e-06,1.0065804099777238e-08,0.999998040724827]",2
168,Milan Kuraš,0.07692307692307693,13.0,0.07692307692307693,0.8461538461538461,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.15384615384615385,0.07692307692307693,"[0.07692307692307693,0.07692307692307693,0.8461538461538461,0.6923076923076923,0.3076923076923077,0.6923076923076923,0.15384615384615385,0.07692307692307693]",0.3988971928723848,0.40949585230130364,0.40949585230130364,"[0.3988971928723848,0.40949585230130364,0.40949585230130364]","[1.6521867852682588e-15,1.6521369085109211e-15,0.9999999999999967]",2
169,Mirela,0.23076923076923078,13.0,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.5384615384615384,0.23076923076923078,0.15384615384615385,"[0.23076923076923078,0.07692307692307693,0.6923076923076923,0.6923076923076923,0.3076923076923077,0.5384615384615384,0.23076923076923078,0.15384615384615385]",0.29932339158267085,0.3031405313109912,0.3031405313109912,"[0.29932339158267085,0.3031405313109912,0.3031405313109912]","[5.587526115557729e-15,1.5288934869458572e-15,0.9999999999999929]",2
170,Mirjana Puškarski,0.875,8.0,0.125,0.0,0.0,1.0,0.625,0.25,0.0,"[0.875,0.125,0.0,0.0,1.0,0.625,0.25,0.0]",-0.9754133660998433,-0.204531105999624,-0.204531105999624,"[-0.9754133660998433,-0.204531105999624,-0.204531105999624]","[0.06153483609964677,0.9379736604332539,0.0004915034670992723]",1
171,Mirkomatic,0.23076923076923078,13.0,0.3076923076923077,0.46153846153846156,0.6153846153846154,0.38461538461538464,0.8461538461538461,0.0,0.07692307692307693,"[0.23076923076923078,0.3076923076923077,0.46153846153846156,0.6153846153846154,0.38461538461538464,0.8461538461538461,0.0,0.07692307692307693]",0.19501787903958012,-0.05735807200831442,-0.05735807200831442,"[0.19501787903958012,-0.05735807200831442,-0.05735807200831442]","[0.0001036605458607183,2.3927936532427785e-15,0.9998963394541368]",2
172,miroc,0.16666666666666666,6.0,0.8333333333333334,0.0,1.0,0.0,0.6666666666666666,0.0,0.16666666666666666,"[0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,0.6666666666666666,0.0,0.16666666666666666]",0.6807885158209739,-0.7468239914592496,-0.7468239914592496,"[0.6807885158209739,-0.7468239914592496,-0.7468239914592496]","[0.9990239008116466,1.6526782362863907e-15,0.0009760991883517745]",0
173,Mišo,0.75,4.0,0.25,0.0,0.0,1.0,0.5,0.25,0.0,"[0.75,0.25,0.0,0.0,1.0,0.5,0.25,0.0]",-0.8933062808479562,-0.22076114443041997,-0.22076114443041997,"[-0.8933062808479562,-0.22076114443041997,-0.22076114443041997]","[0.20183314187782148,0.7956969596811775,0.0024698984410011222]",1
174,MojcaDamijan,0.6923076923076923,13.0,0.3076923076923077,0.0,0.38461538461538464,0.6153846153846154,0.9230769230769231,0.0,0.0,"[0.6923076923076923,0.3076923076923077,0.0,0.38461538461538464,0.6153846153846154,0.9230769230769231,0.0,0.0]",-0.3996371782345104,-0.45719114007048006,-0.45719114007048006,"[-0.3996371782345104,-0.45719114007048006,-0.45719114007048006]","[0.9513269061213061,1.9840108995926392e-15,0.048673093878691814]",0
175,Nataša,0.7142857142857143,7.0,0.14285714285714285,0.14285714285714285,0.0,1.0,0.5714285714285714,0.2857142857142857,0.0,"[0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0,1.0,0.5714285714285714,0.2857142857142857,0.0]",-0.8669990096444126,-0.05839359218609226,-0.05839359218609226,"[-0.8669990096444126,-0.05839359218609226,-0.05839359218609226]","[0.024251690012237783,0.9745434651183232,0.0012048448694390395]",1
176,Nejc Kodric,0.15384615384615385,13.0,0.6153846153846154,0.23076923076923078,0.6923076923076923,0.3076923076923077,0.9230769230769231,0.0,0.0,"[0.15384615384615385,0.6153846153846154,0.23076923076923078,0.6923076923076923,0.3076923076923077,0.9230769230769231,0.0,0.0]",0.31828117253065,-0.42446410263960777,-0.42446410263960777,"[0.31828117253065,-0.42446410263960777,-0.42446410263960777]","[0.8808488348176341,2.0555916551612235e-15,0.1191511651823638]",0
177,Nejc Likar,0.25,4.0,0.0,0.75,0.75,0.25,0.5,0.25,0.0,"[0.25,0.0,0.75,0.75,0.25,0.5,0.25,0.0]",0.34847897527611654,0.3621669783474655,0.3621669783474655,"[0.34847897527611654,0.3621669783474655,0.3621669783474655]","[1.5840544160888617e-15,1.5732480351008364e-15,0.9999999999999969]",2
178,nenad,1.0,7.0,0.0,0.0,0.0,1.0,0.5714285714285714,0.2857142857142857,0.0,"(8,[0,4,5,6],[1.0,1.0,0.5714285714285714,0.2857142857142857])",-1.0551206426957487,-0.15100843280537793,-0.15100843280537793,"[-1.0551206426957487,-0.15100843280537793,-0.15100843280537793]","[0.09659355169238439,0.9029175488403484,0.0004888994672672214]",1
179,NenadS,0.25,12.0,0.5,0.25,0.5833333333333334,0.4166666666666667,0.9166666666666666,0.0,0.0,"[0.25,0.5,0.25,0.5833333333333334,0.4166666666666667,0.9166666666666666,0.0,0.0]",0.12883413298240934,-0.33487001445834297,-0.33487001445834297,"[0.12883413298240934,-0.33487001445834297,-0.33487001445834297]","[0.681977361067517,2.499185623282878e-15,0.3180226389324804]",0
180,Neven,0.7692307692307693,13.0,0.23076923076923078,0.0,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.07692307692307693,0.07692307692307693,"[0.7692307692307693,0.23076923076923078,0.0,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.07692307692307693,0.07692307692307693]",-0.6259085941960295,-0.3435692188961866,-0.3435692188961866,"[-0.6259085941960295,-0.3435692188961866,-0.3435692188961866]","[0.9678941258517025,2.609528809310602e-08,0.032105848053009374]",0
181,Niko Vukusic,0.75,12.0,0.25,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.0,"[0.75,0.25,0.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.08333333333333333,0.0]",-0.4984469595333561,-0.3988831384541319,-0.3988831384541319,"[-0.4984469595333561,-0.3988831384541319,-0.3988831384541319]","[0.9582606281800405,3.952090045998625e-15,0.04173937181995558]",0
