,user,cat,orderseq,orderjump,orderoutOfOrder,nbVideos,orderbehavior,orderClasses,features,probability,prediction
29,Apsirtgirl,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]","[0.0006791035583931072,0.9992685135866715,5.2382854935440036e-05]",1
30,benjamin,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]","[0.0009212284405618919,0.9990404976634049,3.8273896033244846e-05]",1
31,blaz02,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]","[0.0009212284405618919,0.9990404976634049,3.8273896033244846e-05]",1
32,Bojan1825,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
33,BORIS MREVLJE,Ordinary - Registered,0.75,0.125,0.0,8.0,Sequential - One after the other,1,"[0.75,0.125,0.0]","[0.000926020564460106,0.9977513125031693,0.0013226669323705808]",1
34,Boštjan M.,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]","[0.0006791035583931072,0.9992685135866715,5.2382854935440036e-05]",1
35,BostjanH,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
36,BoštjanK,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
37,Branklo,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]","[0.015271497472956034,0.9763104937193987,0.008418008807645368]",1
38,BrunoB,Ordinary - Registered,0.3333333333333333,0.4444444444444444,0.1111111111111111,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.4444444444444444,0.1111111111111111]","[0.039983691692718516,2.841367173012903e-07,0.9600160241705642]",2
39,Buda,Ordinary - Registered,0.0,0.3333333333333333,0.5,6.0,Out of order,3,"[0.0,0.3333333333333333,0.5]","[0.00018569501239375908,6.164818516785648e-17,0.9998143049876063]",2
40,Buki,Ordinary - Registered,0.9,0.0,0.0,10.0,Sequential - One after the other,1,"[0.9,0.0,0.0]","[0.0005550675063030172,0.9993582152878077,8.671720588949166e-05]",1
41,chibu79,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
42,Cromiza,Ordinary - Registered,0.45454545454545453,0.2727272727272727,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.45454545454545453,0.2727272727272727,0.18181818181818182]","[0.13579591714861566,5.880731657591224e-15,0.8642040828513785]",2
43,cvjetko,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
44,Dalka,Ordinary - Registered,0.125,0.375,0.375,8.0,Sequential - Jumping forward,0,"[0.125,0.375,0.375]","[0.016469491919406474,5.644320933896599e-17,0.9835305080805935]",2
45,Damir Mulalic,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
46,damir.juretic,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]","[0.00079805663332853,0.998404975417056,0.0007969679496155353]",1
47,Danilo4783,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]","[0.0005632442791268854,0.9993412155864733,9.554013439984681e-05]",1
48,Dario,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]","[0.0005603169722409387,0.9993630169164087,7.666611135032786e-05]",1
49,DarioR,Ordinary - Registered,0.7142857142857143,0.14285714285714285,0.0,7.0,Sequential - One after the other,1,"[0.7142857142857143,0.14285714285714285,0.0]","[0.001112936966185659,0.9971618603416368,0.001725202692177601]",1
50,Darko Babic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
51,Dejan Adamic,Ordinary - Registered,0.46153846153846156,0.07692307692307693,0.38461538461538464,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.07692307692307693,0.38461538461538464]","[0.005846040442192098,8.168976596782619e-17,0.9941539595578078]",2
52,DejanJ,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]","[0.24982876209794777,0.23544334504166947,0.5147278928603828]",2
53,delimir,Ordinary - Registered,0.18181818181818182,0.5454545454545454,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.18181818181818182,0.5454545454545454,0.18181818181818182]","[0.12852560729487236,4.135160261836513e-16,0.8714743927051272]",2
54,demirel,Ordinary - Registered,0.5,0.0,0.25,4.0,Sequential - One after the other,1,"[0.5,0.0,0.25]","[0.6480606153934666,3.92197502879154e-15,0.35193938460652946]",0
55,Deni Oreb,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]","[0.0005632442791268854,0.9993412155864733,9.554013439984681e-05]",1
56,Dimen,Ordinary - Registered,0.0,0.6,0.2,5.0,Sequential - Jumping forward,0,"[0.0,0.6,0.2]","[0.04560905762713621,3.1734898525370167e-16,0.9543909423728635]",2
57,dkervina,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]","[0.0005913903732523226,0.9993433681700903,6.52414566573117e-05]",1
58,dmeic,Ordinary - Registered,0.6923076923076923,0.07692307692307693,0.15384615384615385,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.07692307692307693,0.15384615384615385]","[0.4351540503659442,1.4200449625947235e-09,0.5648459482140109]",2
59,Domen S,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
60,Dorsi,Ordinary - Registered,0.6,0.3,0.0,10.0,Sequential - One after the other,1,"[0.6,0.3,0.0]","[0.011802063986220622,0.6464092245734612,0.3417887114403183]",1
61,dragana,Ordinary - Registered,0.14285714285714285,0.2857142857142857,0.42857142857142855,7.0,Mix,2,"[0.14285714285714285,0.2857142857142857,0.42857142857142855]","[0.0015272324075859094,3.2155571266112463e-17,0.9984727675924141]",2
62,Dražen,Ordinary - Registered,0.3333333333333333,0.4444444444444444,0.1111111111111111,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.4444444444444444,0.1111111111111111]","[0.039983691692718516,2.841367173012903e-07,0.9600160241705642]",2
63,drejc,Ordinary - Registered,0.2727272727272727,0.36363636363636365,0.2727272727272727,11.0,Sequential - Jumping forward,0,"[0.2727272727272727,0.36363636363636365,0.2727272727272727]","[0.10122024235280963,5.904695056966731e-17,0.8987797576471903]",2
64,Duši,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]","[0.0005913903732523226,0.9993433681700903,6.52414566573117e-05]",1
65,Edvard,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.0,9.0,Sequential - One after the other,1,"[0.6666666666666666,0.2222222222222222,0.0]","[0.0032593280900210654,0.9678067356140496,0.028933936295929552]",1
66,Efa i Neno,Ordinary - Registered,0.5384615384615384,0.15384615384615385,0.23076923076923078,13.0,Sequential - One after the other,1,"[0.5384615384615384,0.15384615384615385,0.23076923076923078]","[0.16551231944570693,7.550039247739759e-17,0.8344876805542929]",2
67,Elena Nikolovska,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]","[0.0005913903732523226,0.9993433681700903,6.52414566573117e-05]",1
68,Ferijan Perkovic,Ordinary - Registered,0.4444444444444444,0.3333333333333333,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.4444444444444444,0.3333333333333333,0.1111111111111111]","[0.07269615896251916,6.956058891836807e-06,0.927296884978589]",2
69,filip mestrovic,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]","[0.0006791035583931072,0.9992685135866715,5.2382854935440036e-05]",1
70,Gasper,Ordinary - Registered,0.42857142857142855,0.14285714285714285,0.2857142857142857,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.14285714285714285,0.2857142857142857]","[0.03614357669287649,4.911281174678331e-17,0.9638564233071234]",2
71,gcampa,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
72,GITA MARINKOVIC,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]","[0.14971380463923148,1.595533352281715e-16,0.8502861953607684]",2
73,Goran Cacic,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
74,Goran Ðurica,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]","[0.24982876209794777,0.23544334504166947,0.5147278928603828]",2
75,Gordan,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
76,Gordana Genc,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.0,9.0,Sequential - One after the other,1,"[0.4444444444444444,0.4444444444444444,0.0]","[0.00549600503883976,0.005592662743992565,0.9889113322171676]",2
77,gpet,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]","[0.2650489062213085,0.07561520756105702,0.6593358862176344]",2
78,Gregor Primc,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
79,greta,Ordinary - Registered,0.0,0.5714285714285714,0.2857142857142857,7.0,Sequential - Jumping forward,0,"[0.0,0.5714285714285714,0.2857142857142857]","[0.10035488694188992,4.2603536763603696e-16,0.8996451130581098]",2
80,Grozdana Sirotic,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]","[0.018663798719682146,0.00444907713381507,0.9768871241465028]",2
81,Grup amor,Ordinary - Registered,0.5555555555555556,0.2222222222222222,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.5555555555555556,0.2222222222222222,0.1111111111111111]","[0.16482919591724343,8.044113935267518e-05,0.8350903629434039]",2
82,HanaP,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]","[0.0017789361522007306,0.9981973846546519,2.367919314744755e-05]",1
83,Hrvoje Juvancic,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]","[0.0005603169722409387,0.9993630169164087,7.666611135032786e-05]",1
84,Igor Šutic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
85,Igor Žafran,Ordinary - Registered,0.46153846153846156,0.23076923076923078,0.23076923076923078,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.23076923076923078,0.23076923076923078]","[0.1464013166766425,5.354184722147622e-17,0.8535986833233575]",2
86,Igor29,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]","[0.0009212284405618919,0.9990404976634049,3.8273896033244846e-05]",1
87,IgorGancevic,Ordinary - Registered,0.625,0.125,0.125,8.0,Sequential - One after the other,1,"[0.625,0.125,0.125]","[0.3450269430259728,7.222239939458027e-06,0.6549658347340876]",2
88,igorr,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]","[0.0008440784731879416,0.9980800330692656,0.0010758884575464867]",1
89,iivana,Ordinary - Registered,0.14285714285714285,0.5714285714285714,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.14285714285714285,0.5714285714285714,0.14285714285714285]","[0.03165529754651095,1.3153627077806296e-12,0.9683447024521737]",2
90,Ina,Ordinary - Registered,0.7,0.2,0.0,10.0,Sequential - One after the other,1,"[0.7,0.2,0.0]","[0.0025470519127342387,0.9810793880494062,0.016373560037859565]",1
91,Ines,Ordinary - Registered,0.75,0.125,0.0,8.0,Sequential - One after the other,1,"[0.75,0.125,0.0]","[0.000926020564460106,0.9977513125031693,0.0013226669323705808]",1
92,Ivan Odrljin,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]","[0.31158645421889164,0.44778094172104127,0.24063260406006703]",1
93,Ivana PR,Ordinary - Registered,0.2,0.6,0.0,5.0,Sequential - Jumping forward,0,"[0.2,0.6,0.0]","[0.0015814221548375326,1.125611134803138e-05,0.9984073217338144]",2
94,IvanV,Ordinary - Registered,0.3333333333333333,0.3333333333333333,0.16666666666666666,6.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.3333333333333333,0.16666666666666666]","[0.07366133305056558,3.1387605440113114e-13,0.9263386669491206]",2
95,Ivica Komljenovic,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]","[0.24982876209794777,0.23544334504166947,0.5147278928603828]",2
96,Iztok3,Ordinary - Registered,0.7,0.2,0.0,10.0,Sequential - One after the other,1,"[0.7,0.2,0.0]","[0.0025470519127342387,0.9810793880494062,0.016373560037859565]",1
97,jadralec Jaro,Ordinary - Registered,0.125,0.5,0.25,8.0,Sequential - Jumping forward,0,"[0.125,0.5,0.25]","[0.08773412544460091,1.326513938642738e-16,0.912265874555399]",2
98,Jadran,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
99,Janez  stupica,Ordinary - Registered,0.5,0.25,0.125,8.0,Sequential - One after the other,1,"[0.5,0.25,0.125]","[0.1285208334250259,1.2541125749680598e-06,0.8714779124623991]",2
100,Jani Pristavec,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
101,Jaroš,Ordinary - Registered,0.5,0.16666666666666666,0.16666666666666666,6.0,Sequential - One after the other,1,"[0.5,0.16666666666666666,0.16666666666666666]","[0.23046912717968907,2.97143090044997e-12,0.7695308728173395]",2
102,Jasminka,Ordinary - Registered,0.42857142857142855,0.2857142857142857,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.2857142857142857,0.14285714285714285]","[0.0974425554099138,3.050418003071488e-09,0.9025574415396682]",2
103,jelena,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]","[0.00079805663332853,0.998404975417056,0.0007969679496155353]",1
104,Jelena-Marija,Ordinary - Registered,0.5454545454545454,0.18181818181818182,0.18181818181818182,11.0,Sequential - One after the other,1,"[0.5454545454545454,0.18181818181818182,0.18181818181818182]","[0.19152938027896263,1.6319433814810404e-14,0.8084706197210211]",2
105,Jelena Cutura,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]","[0.0017789361522007306,0.9981973846546519,2.367919314744755e-05]",1
106,jerko,Ordinary - Registered,0.5833333333333334,0.25,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.5833333333333334,0.25,0.08333333333333333]","[0.14191060695423263,0.014744563548384621,0.8433448294973828]",2
107,Jerko. Marinkovic,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]","[0.2650489062213085,0.07561520756105702,0.6593358862176344]",2
108,Josip Rabanasic,Ordinary - Registered,0.42857142857142855,0.2857142857142857,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.2857142857142857,0.14285714285714285]","[0.0974425554099138,3.050418003071488e-09,0.9025574415396682]",2
109,josko52@gmail.com,Ordinary - Registered,0.5714285714285714,0.14285714285714285,0.14285714285714285,7.0,Sequential - One after the other,1,"[0.5714285714285714,0.14285714285714285,0.14285714285714285]","[0.2875334583860393,2.2253850998457868e-08,0.7124665193601096]",2
110,JOZE,Ordinary - Registered,0.2,0.2,0.4,5.0,Sequential - Jumping forward,0,"[0.2,0.2,0.4]","[0.0014235172264062197,4.6512791331482367e-17,0.9985764827735937]",2
111,Jožko,Ordinary - Registered,0.5,0.3,0.1,10.0,Sequential - One after the other,1,"[0.5,0.3,0.1]","[0.09317446180117223,0.0001874255262622678,0.9066381126725654]",2
112,Jure Gros,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]","[0.0005991093853987603,0.9992907498286293,0.00011014078597208314]",1
113,jure111,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]","[0.0009212284405618919,0.9990404976634049,3.8273896033244846e-05]",1
114,jurebizjak,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]","[0.0005789684800942066,0.9993177343421535,0.00010329717775211478]",1
115,kapitan72,Ordinary - Registered,0.3333333333333333,0.2222222222222222,0.3333333333333333,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.2222222222222222,0.3333333333333333]","[0.018674408853815796,3.0914795558524965e-17,0.9813255911461841]",2
116,Karla,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]","[0.007885703168302172,0.9921037975918143,1.0499239883457583e-05]",1
117,Karmen Hrvatic,Ordinary - Registered,0.7272727272727273,0.18181818181818182,0.0,11.0,Sequential - One after the other,1,"[0.7272727272727273,0.18181818181818182,0.0]","[0.002144063763274153,0.9874806097023581,0.010375326534367672]",1
118,Katarina Šedlbauer,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]","[0.0006791035583931072,0.9992685135866715,5.2382854935440036e-05]",1
119,kec,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]","[0.24982876209794777,0.23544334504166947,0.5147278928603828]",2
120,kemi,Ordinary - Registered,0.0,0.5,0.375,8.0,Sequential - Jumping forward,0,"[0.0,0.5,0.375]","[0.05801567237551893,3.1708117733608526e-16,0.9419843276244807]",2
121,Kiklop,Ordinary - Registered,0.2727272727272727,0.09090909090909091,0.5454545454545454,11.0,Out of order,3,"[0.2727272727272727,0.09090909090909091,0.5454545454545454]","[7.699730055849358e-06,5.523065052017212e-17,0.999992300269944]",2
122,KlaraM,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]","[0.018663798719682146,0.00444907713381507,0.9768871241465028]",2
123,Kreso,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]","[0.0008004780791746651,0.9984873105330224,0.000712211387802896]",1
124,Kristijan Lopac,Ordinary - Registered,0.36363636363636365,0.2727272727272727,0.2727272727272727,11.0,Sequential - Jumping forward,0,"[0.36363636363636365,0.2727272727272727,0.2727272727272727]","[0.07912385087797551,4.0400021281943804e-17,0.9208761491220245]",2
125,Ksenija Sekulic,Ordinary - Registered,0.08333333333333333,0.3333333333333333,0.5,12.0,Out of order,3,"[0.08333333333333333,0.3333333333333333,0.5]","[0.002327523857537755,1.7301144529678745e-16,0.997672476142462]",2
126,Kskoric,Ordinary - Registered,0.5,0.3,0.1,10.0,Sequential - One after the other,1,"[0.5,0.3,0.1]","[0.09317446180117223,0.0001874255262622678,0.9066381126725654]",2
