,user,cat,regularitynbFollowing,regularitynbCatchup,regularitynbIndependant,regularitybehavior,regularityClasses,features,probability,prediction
102,Jasminka,Ordinary - Registered,5.0,2.0,0.0,Follower,0,"[5.0,2.0,0.0]","[0.9884314132214602,0.011568586778470624,6.923048808846479e-14]",0
103,jelena,Ordinary - Registered,10.0,1.0,0.0,Follower,0,"[10.0,1.0,0.0]","[0.9999999523107277,4.7689014255733655e-08,2.579920467894116e-13]",0
104,Jelena-Marija,Ordinary - Registered,3.0,7.0,1.0,Catch-upper,2,"[3.0,7.0,1.0]","[0.9999976506701754,4.691290423099837e-13,2.3493293553966994e-06]",0
105,Jelena Cutura,Ordinary - Registered,3.0,1.0,1.0,Follower,0,"[3.0,1.0,1.0]","[0.47945917869852145,0.5205408211006158,2.0086278076624027e-10]",1
106,jerko,Ordinary - Registered,6.0,6.0,0.0,Follower,0,"[6.0,6.0,0.0]","[0.9999999999993119,3.4404673819380644e-13,3.4404673819380644e-13]",0
107,Jerko. Marinkovic,Ordinary - Registered,8.0,4.0,0.0,Follower,0,"[8.0,4.0,0.0]","[0.9999999997826327,2.1718396042687674e-10,1.833933524939012e-13]",0
108,Josip Rabanasic,Ordinary - Registered,3.0,3.0,1.0,Mixed - No predominent behavior,3,"[3.0,3.0,1.0]","[0.999999896632258,9.69441654929437e-08,6.4235766685902896e-09]",0
109,josko52@gmail.com,Ordinary - Registered,1.0,5.0,1.0,Catch-upper,2,"[1.0,5.0,1.0]","[0.15803639033712155,3.529985780999439e-14,0.8419636096628431]",2
110,JOZE,Ordinary - Registered,0.0,0.0,5.0,Independant,1,"[0.0,0.0,5.0]","[0.0003568179012905017,0.9989071030306057,0.0007360790681037911]",1
111,Jožko,Ordinary - Registered,6.0,1.0,3.0,Follower,0,"[6.0,1.0,3.0]","[0.8991210393398112,0.10087896065994464,2.442057601445994e-13]",0
112,Jure Gros,Ordinary - Registered,4.0,4.0,5.0,Mixed - No predominent behavior,3,"[4.0,4.0,5.0]","[0.9999999999721023,1.9402763836718035e-11,8.49495156685503e-12]",0
113,jure111,Ordinary - Registered,1.0,5.0,0.0,Catch-upper,2,"[1.0,5.0,0.0]","[0.14541736689633392,4.5914124356030647e-14,0.8545826331036201]",2
114,jurebizjak,Ordinary - Registered,6.0,1.0,5.0,Follower,0,"[6.0,1.0,5.0]","[0.21841858109596693,0.7815814189017084,2.3246973919295854e-12]",1
115,kapitan72,Ordinary - Registered,5.0,4.0,0.0,Follower,0,"[5.0,4.0,0.0]","[0.999999999998255,1.6554645778050964e-12,8.957261706048244e-14]",0
116,Karla,Ordinary - Registered,2.0,2.0,0.0,Follower,0,"[2.0,2.0,0.0]","[0.9960211162822076,0.0016769719813563258,0.002301911736436017]",0
117,Karmen Hrvatic,Ordinary - Registered,6.0,5.0,0.0,Follower,0,"[6.0,5.0,0.0]","[0.9999999999996703,1.6486681266127703e-13,1.648667333971113e-13]",0
118,Katarina Šedlbauer,Ordinary - Registered,0.0,0.0,7.0,Independant,1,"[0.0,0.0,7.0]","[1.1514914060598648e-06,0.9999279288929124,7.091961568152456e-05]",1
119,kec,Ordinary - Registered,1.0,1.0,11.0,Independant,1,"[1.0,1.0,11.0]","[1.3650435778555265e-12,0.9936455656114734,0.006354434387161458]",1
120,kemi,Ordinary - Registered,4.0,2.0,2.0,Follower,0,"[4.0,2.0,2.0]","[0.9790206700612973,0.0209793299386148,8.782424159843952e-14]",0
121,Kiklop,Ordinary - Registered,2.0,0.0,9.0,Independant,1,"[2.0,0.0,9.0]","[3.2976989443926187e-09,0.9916484473387485,0.008351549363552566]",1
122,KlaraM,Ordinary - Registered,1.0,0.0,3.0,Independant,1,"[1.0,0.0,3.0]","[0.020556444860231865,0.7733554243896157,0.20608813075015242]",1
123,Kreso,Ordinary - Registered,2.0,6.0,4.0,Catch-upper,2,"[2.0,6.0,4.0]","[0.15356630506277133,4.676614517241116e-13,0.846433694936761]",2
124,Kristijan Lopac,Ordinary - Registered,3.0,2.0,6.0,Independant,1,"[3.0,2.0,6.0]","[0.06778126121487511,0.9321736406907006,4.509809442417809e-05]",1
125,Ksenija Sekulic,Ordinary - Registered,0.0,0.0,12.0,Independant,1,"[0.0,0.0,12.0]","[1.5100742890988326e-13,0.9999999804164458,1.9583403246690514e-08]",1
126,Kskoric,Ordinary - Registered,0.0,0.0,10.0,Independant,1,"[0.0,0.0,10.0]","[6.515837680255492e-12,0.9999992239919686,7.760015155333229e-07]",1
127,Kvasina,Ordinary - Registered,5.0,6.0,0.0,Catch-upper,2,"[5.0,6.0,0.0]","[0.9999999999994398,2.8010700266269166e-13,2.8010700266269166e-13]",0
128,Labura,Ordinary - Registered,1.0,2.0,1.0,Catch-upper,2,"[1.0,2.0,1.0]","[0.3306615623743089,0.00011414006065162359,0.6692242975650394]",2
129,Lana,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
130,Lea Svilicic,Ordinary - Registered,5.0,1.0,6.0,Independant,1,"[5.0,1.0,6.0]","[0.003358673748118761,0.9966413262514143,4.66917874075267e-13]",1
131,Leo Mihaljevic,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
132,ljubica basic,Ordinary - Registered,12.0,0.0,1.0,Follower,0,"[12.0,0.0,1.0]","[0.99999999999768,1.1600377731132217e-12,1.1600324124942639e-12]",0
133,Luc,Ordinary - Registered,9.0,2.0,0.0,Follower,0,"[9.0,2.0,0.0]","[0.9999427910457263,5.720895411677276e-05,1.5691975099377345e-13]",0
134,lucijan,Ordinary - Registered,6.0,1.0,6.0,Mixed - No predominent behavior,3,"[6.0,1.0,6.0]","[0.024050602250547785,0.9759493977456684,3.7837964143223015e-12]",1
135,ludmilla,Ordinary - Registered,2.0,0.0,3.0,Independant,1,"[2.0,0.0,3.0]","[0.0669849461427612,0.9305881246308141,0.0024269292264246884]",1
136,Luka Skocir,Ordinary - Registered,4.0,5.0,0.0,Catch-upper,2,"[4.0,5.0,0.0]","[0.9999999999997198,1.4010924740433136e-13,1.401115771460025e-13]",0
137,luka.voncina,Ordinary - Registered,10.0,2.0,0.0,Follower,0,"[10.0,2.0,0.0]","[0.9999963133593909,3.686640336032588e-06,2.7305048293007815e-13]",0
138,lukaaa11,Ordinary - Registered,3.0,2.0,1.0,Mixed - No predominent behavior,3,"[3.0,2.0,1.0]","[0.9935560233877703,0.00644397501220009,1.6000296394495752e-09]",0
139,Lupodimare,Ordinary - Registered,2.0,2.0,2.0,Mixed - No predominent behavior,3,"[2.0,2.0,2.0]","[0.9758910734240311,0.0036329699239543546,0.020475956652014578]",0
140,Maja Demaria,Ordinary - Registered,6.0,4.0,0.0,Follower,0,"[6.0,4.0,0.0]","[0.9999999999855489,1.4352230778981957e-11,9.879380101496973e-14]",0
141,Maja Grinek,Ordinary - Registered,4.0,4.0,1.0,Mixed - No predominent behavior,3,"[4.0,4.0,1.0]","[0.9999999999997546,1.7239679321496393e-13,7.298859455336583e-14]",0
142,maja laurence,Ordinary - Registered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
143,MajaM,Ordinary - Registered,5.0,8.0,0.0,Catch-upper,2,"[5.0,8.0,0.0]","[0.9999999999957162,2.1418890144071834e-12,2.1418890144071834e-12]",0
144,Mare_,Ordinary - Registered,5.0,0.0,0.0,Follower,0,"[5.0,0.0,0.0]","[0.9965831528670026,0.0034168471328639496,1.334640441688722e-13]",0
145,mare10,Ordinary - Registered,0.0,0.0,7.0,Independant,1,"[0.0,0.0,7.0]","[1.1514914060598648e-06,0.9999279288929124,7.091961568152456e-05]",1
146,Maria,Ordinary - Registered,5.0,0.0,3.0,Follower,0,"[5.0,0.0,3.0]","[0.976925071648558,0.023074928351037978,4.039622456763466e-13]",0
147,Marijana,Ordinary - Registered,4.0,3.0,0.0,Follower,0,"[4.0,3.0,0.0]","[0.9999993506604826,6.493394393529288e-07,7.802238074304352e-14]",0
148,MARINO BRZAC,Ordinary - Registered,4.0,8.0,0.0,Catch-upper,2,"[4.0,8.0,0.0]","[0.9999999999963927,1.8027940466576854e-12,1.804537702153975e-12]",0
149,Mario Bursac,Ordinary - Registered,8.0,1.0,0.0,Follower,0,"[8.0,1.0,0.0]","[0.99990365904374,9.634095615068708e-05,1.0924486525497455e-13]",0
150,Mario91,Ordinary - Registered,1.0,5.0,3.0,Catch-upper,2,"[1.0,5.0,3.0]","[0.07803063063429053,4.863662542142285e-14,0.9219693693656609]",2
151,Marjan Henigman,Ordinary - Registered,10.0,1.0,0.0,Follower,0,"[10.0,1.0,0.0]","[0.9999999523107277,4.7689014255733655e-08,2.579920467894116e-13]",0
152,Markisha,Ordinary - Registered,2.0,2.0,0.0,Follower,0,"[2.0,2.0,0.0]","[0.9960211162822076,0.0016769719813563258,0.002301911736436017]",0
153,Marko Dundovic,Ordinary - Registered,2.0,1.0,10.0,Independant,1,"[2.0,1.0,10.0]","[9.555253507913459e-11,0.9892981649300538,0.010701834974393564]",1
154,Marko Kralj,Ordinary - Registered,2.0,3.0,0.0,Catch-upper,2,"[2.0,3.0,0.0]","[0.9939932304397343,6.8271627523903355e-09,0.006006762733102936]",0
155,Marko L,Ordinary - Registered,0.0,0.0,12.0,Independant,1,"[0.0,0.0,12.0]","[1.5100742890988326e-13,0.9999999804164458,1.9583403246690514e-08]",1
156,marko maticic,Ordinary - Registered,2.0,1.0,1.0,Follower,0,"[2.0,1.0,1.0]","[0.4388442156638993,0.5599896134224762,0.00116617091362454]",1
157,Maša,Ordinary - Registered,8.0,2.0,0.0,Follower,0,"[8.0,2.0,0.0]","[0.9994954919585242,0.0005045080413720979,1.0378220170124066e-13]",0
158,masa sarusic,Ordinary - Registered,9.0,3.0,0.0,Follower,0,"[9.0,3.0,0.0]","[0.9999971191899854,2.8808098179357007e-06,1.9681172455849188e-13]",0
159,Mate Vitaljic,Ordinary - Registered,8.0,2.0,0.0,Follower,0,"[8.0,2.0,0.0]","[0.9994954919585242,0.0005045080413720979,1.0378220170124066e-13]",0
160,Matija Osterc,Ordinary - Registered,3.0,9.0,1.0,Catch-upper,2,"[3.0,9.0,1.0]","[0.9999439791012472,4.4791973529622766e-12,5.6020894273675906e-05]",0
161,Matija Turkalj,Ordinary - Registered,0.0,0.0,11.0,Independant,1,"[0.0,0.0,11.0]","[1.3465251773697981e-13,0.9999998681915204,1.3180834494933482e-07]",1
162,Matjazzavrl,Ordinary - Registered,3.0,1.0,4.0,Independant,1,"[3.0,1.0,4.0]","[0.03151386156136082,0.9684861216929259,1.67457132431982e-08]",1
163,Mauro,Ordinary - Registered,0.0,0.0,9.0,Independant,1,"[0.0,0.0,9.0]","[5.785199910948863e-10,0.9999960032537254,3.996167754567535e-06]",1
164,MedoPiki,Ordinary - Registered,0.0,0.0,13.0,Independant,1,"[0.0,0.0,13.0]","[2.835126971646448e-13,0.9999999974544238,2.5452927068193233e-09]",1
165,melina lakoš,Ordinary - Registered,0.0,0.0,9.0,Independant,1,"[0.0,0.0,9.0]","[5.785199910948863e-10,0.9999960032537254,3.996167754567535e-06]",1
166,mihaelas,Ordinary - Registered,1.0,4.0,4.0,Mixed - No predominent behavior,3,"[1.0,4.0,4.0]","[0.032796699531953646,6.448004811170068e-14,0.9672033004679819]",2
167,Miho,Ordinary - Registered,4.0,2.0,5.0,Mixed - No predominent behavior,3,"[4.0,2.0,5.0]","[0.33798119202246346,0.6620188079749593,2.5772854332255014e-12]",1
168,Milan Kuraš,Ordinary - Registered,1.0,1.0,11.0,Independant,1,"[1.0,1.0,11.0]","[1.3650435778555265e-12,0.9936455656114734,0.006354434387161458]",1
169,Mirela,Ordinary - Registered,3.0,1.0,9.0,Independant,1,"[3.0,1.0,9.0]","[1.1369055322426703e-08,0.9999993163840217,6.722469229808416e-07]",1
170,Mirjana Puškarski,Ordinary - Registered,7.0,1.0,0.0,Follower,0,"[7.0,1.0,0.0]","[0.9981469868044458,0.001853013195466638,8.766538814690641e-14]",0
171,Mirkomatic,Ordinary - Registered,3.0,4.0,6.0,Mixed - No predominent behavior,3,"[3.0,4.0,6.0]","[0.9969094870632178,1.180650939477191e-10,0.0030905128187171146]",0
172,miroc,Ordinary - Registered,1.0,5.0,0.0,Catch-upper,2,"[1.0,5.0,0.0]","[0.14541736689633392,4.5914124356030647e-14,0.8545826331036201]",2
173,Mišo,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
174,MojcaDamijan,Ordinary - Registered,9.0,4.0,0.0,Follower,0,"[9.0,4.0,0.0]","[0.9999999996364347,3.632565990430122e-10,3.0866191958659996e-13]",0
175,Nataša,Ordinary - Registered,5.0,1.0,1.0,Follower,0,"[5.0,1.0,1.0]","[0.873813044577985,0.12618695542195316,6.184508288333279e-14]",0
176,Nejc Kodric,Ordinary - Registered,2.0,8.0,3.0,Catch-upper,2,"[2.0,8.0,3.0]","[0.14466128470384382,5.849723090305991e-13,0.8553387152955712]",2
177,Nejc Likar,Ordinary - Registered,1.0,0.0,3.0,Independant,1,"[1.0,0.0,3.0]","[0.020556444860231865,0.7733554243896157,0.20608813075015242]",1
178,nenad,Ordinary - Registered,7.0,0.0,0.0,Follower,0,"[7.0,0.0,0.0]","[0.9999965940316932,3.40596818484712e-06,1.219505078433491e-13]",0
179,NenadS,Ordinary - Registered,3.0,6.0,3.0,Catch-upper,2,"[3.0,6.0,3.0]","[0.9999879210381074,6.646447122003405e-13,1.2078961227918681e-05]",0
180,Neven,Ordinary - Registered,10.0,3.0,0.0,Follower,0,"[10.0,3.0,0.0]","[0.9999992869001283,7.130995104013338e-07,3.613795104549284e-13]",0
181,Niko Vukusic,Ordinary - Registered,9.0,3.0,0.0,Follower,0,"[9.0,3.0,0.0]","[0.9999971191899854,2.8808098179357007e-06,1.9681172455849188e-13]",0
182,niko.mihovilovic,Ordinary - Registered,10.0,1.0,1.0,Follower,0,"[10.0,1.0,1.0]","[0.9999999524319465,4.7567807100316263e-08,2.4641592069886533e-13]",0
183,Nikola Baržic,Ordinary - Registered,0.0,0.0,7.0,Independant,1,"[0.0,0.0,7.0]","[1.1514914060598648e-06,0.9999279288929124,7.091961568152456e-05]",1
184,Nikoleta,Ordinary - Registered,7.0,3.0,0.0,Follower,0,"[7.0,3.0,0.0]","[0.9999913608922782,8.639107632702294e-06,8.907796022997255e-14]",0
185,nikonikokaoja,Ordinary - Registered,1.0,0.0,3.0,Independant,1,"[1.0,0.0,3.0]","[0.020556444860231865,0.7733554243896157,0.20608813075015242]",1
186,Oaky,Ordinary - Registered,7.0,2.0,0.0,Follower,0,"[7.0,2.0,0.0]","[0.9974746045907673,0.002525395409153764,7.889784634294055e-14]",0
187,Ojiga,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
188,Pavle,Ordinary - Registered,11.0,2.0,0.0,Follower,0,"[11.0,2.0,0.0]","[0.9999998649417337,1.350577193887769e-07,5.469759889025009e-13]",0
189,pedro,Ordinary - Registered,2.0,8.0,0.0,Catch-upper,2,"[2.0,8.0,0.0]","[0.4381207205518319,8.538532656527121e-13,0.5618792794473143]",2
190,peri,Ordinary - Registered,10.0,0.0,3.0,Follower,0,"[10.0,0.0,3.0]","[0.9999999999898778,8.619494749279114e-12,1.502747951561227e-12]",0
191,Pero,Ordinary - Registered,1.0,1.0,7.0,Independant,1,"[1.0,1.0,7.0]","[1.2383551484985836e-05,0.76472173075726,0.23526588569125484]",1
192,Petar,Ordinary - Registered,5.0,2.0,5.0,Mixed - No predominent behavior,3,"[5.0,2.0,5.0]","[0.34977080819403955,0.6502291918032819,2.6785788244104074e-12]",1
193,PeterKogej,Ordinary - Registered,2.0,3.0,6.0,Independant,1,"[2.0,3.0,6.0]","[0.008830158459042075,1.305044773289806e-07,0.9911697110364807]",2
194,PetraP,Ordinary - Registered,6.0,4.0,0.0,Follower,0,"[6.0,4.0,0.0]","[0.9999999999855489,1.4352230778981957e-11,9.879380101496973e-14]",0
195,Pina,Ordinary - Registered,12.0,1.0,0.0,Follower,0,"[12.0,1.0,0.0]","[0.9999999999953937,3.536014963521927e-12,1.0702777833329259e-12]",0
196,Pino,Ordinary - Registered,2.0,1.0,6.0,Independant,1,"[2.0,1.0,6.0]","[0.00025022390211160123,0.9803030693742036,0.019446706723684936]",1
197,Pirko,Ordinary - Registered,2.0,2.0,8.0,Independant,1,"[2.0,2.0,8.0]","[2.129702318833907e-05,0.059874023328878916,0.9401046796479328]",2
198,Pjerino,Ordinary - Registered,6.0,0.0,0.0,Follower,0,"[6.0,0.0,0.0]","[0.9998567007727535,0.0001432992271273752,1.1908713270256877e-13]",0
199,Pjero,Ordinary - Registered,6.0,1.0,2.0,Follower,0,"[6.0,1.0,2.0]","[0.9616373791726627,0.03836262082723886,9.852238904183907e-14]",0
200,Plavac_mali,Ordinary - Registered,8.0,4.0,0.0,Follower,0,"[8.0,4.0,0.0]","[0.9999999997826327,2.1718396042687674e-10,1.833933524939012e-13]",0
201,plombar,Ordinary - Registered,7.0,6.0,0.0,Follower,0,"[7.0,6.0,0.0]","[0.999999999999027,4.865109286944563e-13,4.865109286944562e-13]",0
202,Pokmon,Ordinary - Registered,7.0,5.0,0.0,Follower,0,"[7.0,5.0,0.0]","[0.9999999999995581,2.2092342261669383e-13,2.2092184693853098e-13]",0
203,Pokret Otoka,Ordinary - Registered,4.0,3.0,0.0,Follower,0,"[4.0,3.0,0.0]","[0.9999993506604826,6.493394393529288e-07,7.802238074304352e-14]",0
204,Polona,Ordinary - Registered,6.0,0.0,7.0,Independant,1,"[6.0,0.0,7.0]","[0.1221662515103861,0.8778337477258489,7.637650028329176e-10]",1
205,Primosius,Ordinary - Registered,0.0,0.0,4.0,Independant,1,"[0.0,0.0,4.0]","[0.0031172507080070616,0.9949494691741668,0.0019332801178261613]",1
206,RadoL,Ordinary - Registered,6.0,3.0,3.0,Follower,0,"[6.0,3.0,3.0]","[0.9999733529695218,2.6647030237931402e-05,2.4024252993924774e-13]",0
207,Ramo,Ordinary - Registered,11.0,2.0,0.0,Follower,0,"[11.0,2.0,0.0]","[0.9999998649417337,1.350577193887769e-07,5.469759889025009e-13]",0
208,Rebeka,Ordinary - Registered,0.0,0.0,13.0,Independant,1,"[0.0,0.0,13.0]","[2.835126971646448e-13,0.9999999974544238,2.5452927068193233e-09]",1
209,RobiF,Ordinary - Registered,3.0,0.0,1.0,Follower,0,"[3.0,0.0,1.0]","[0.687416355099859,0.312583644822319,7.782204573205707e-11]",0
210,rocco337,Ordinary - Registered,2.0,7.0,0.0,Catch-upper,2,"[2.0,7.0,0.0]","[0.7101879597336367,5.260103512626828e-13,0.2898120402658373]",0
211,Rok321,Ordinary - Registered,3.0,1.0,0.0,Follower,0,"[3.0,1.0,0.0]","[0.525635355073385,0.47436464488712055,3.949442939404069e-11]",0
212,Roki,Ordinary - Registered,3.0,1.0,9.0,Independant,1,"[3.0,1.0,9.0]","[1.1369055322426703e-08,0.9999993163840217,6.722469229808416e-07]",1
213,rokian,Ordinary - Registered,2.0,0.0,2.0,Follower,0,"[2.0,0.0,2.0]","[0.19087986840354798,0.8080352145016093,0.0010849170948426074]",1
214,Romana,Ordinary - Registered,3.0,3.0,3.0,Mixed - No predominent behavior,3,"[3.0,3.0,3.0]","[0.9999992056944436,4.682927207231821e-07,3.26012835640213e-07]",0
215,ruzica kovacevic,Ordinary - Registered,6.0,4.0,2.0,Follower,0,"[6.0,4.0,2.0]","[0.9999999999786995,2.1179593703335576e-11,1.2093989439743652e-13]",0
216,Sailman,Ordinary - Registered,8.0,4.0,0.0,Follower,0,"[8.0,4.0,0.0]","[0.9999999997826327,2.1718396042687674e-10,1.833933524939012e-13]",0
217,Salieri,Ordinary - Registered,0.0,0.0,12.0,Independant,1,"[0.0,0.0,12.0]","[1.5100742890988326e-13,0.9999999804164458,1.9583403246690514e-08]",1
218,Sandi,Ordinary - Registered,4.0,1.0,1.0,Follower,0,"[4.0,1.0,1.0]","[0.6556756899811884,0.3443243100187565,5.5177798780912674e-14]",0
219,sawyer,Ordinary - Registered,3.0,6.0,4.0,Mixed - No predominent behavior,3,"[3.0,6.0,4.0]","[0.9999032894266259,2.7767125644922613e-12,9.671057059749319e-05]",0
220,shrike,Ordinary - Registered,5.0,1.0,0.0,Follower,0,"[5.0,1.0,0.0]","[0.8875946960825982,0.1124053039173249,7.687319975527788e-14]",0
221,Silvestar Tokic,Ordinary - Registered,5.0,8.0,0.0,Catch-upper,2,"[5.0,8.0,0.0]","[0.9999999999957162,2.1418890144071834e-12,2.1418890144071834e-12]",0
