,user,cat,orderseq,orderjump,orderoutOfOrder,nbVideos,orderbehavior,orderClasses,features,prediction
42,Cromiza,Ordinary - Registered,0.45454545454545453,0.2727272727272727,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.45454545454545453,0.2727272727272727,0.18181818181818182]",0
43,cvjetko,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
44,Dalka,Ordinary - Registered,0.125,0.375,0.375,8.0,Sequential - Jumping forward,0,"[0.125,0.375,0.375]",1
45,Damir Mulalic,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
46,damir.juretic,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]",2
47,Danilo4783,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]",2
48,Dario,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]",2
49,DarioR,Ordinary - Registered,0.7142857142857143,0.14285714285714285,0.0,7.0,Sequential - One after the other,1,"[0.7142857142857143,0.14285714285714285,0.0]",3
50,Darko Babic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
51,Dejan Adamic,Ordinary - Registered,0.46153846153846156,0.07692307692307693,0.38461538461538464,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.07692307692307693,0.38461538461538464]",0
52,DejanJ,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]",3
53,delimir,Ordinary - Registered,0.18181818181818182,0.5454545454545454,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.18181818181818182,0.5454545454545454,0.18181818181818182]",0
54,demirel,Ordinary - Registered,0.5,0.0,0.25,4.0,Sequential - One after the other,1,"[0.5,0.0,0.25]",0
55,Deni Oreb,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]",2
56,Dimen,Ordinary - Registered,0.0,0.6,0.2,5.0,Sequential - Jumping forward,0,"[0.0,0.6,0.2]",0
57,dkervina,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]",2
58,dmeic,Ordinary - Registered,0.6923076923076923,0.07692307692307693,0.15384615384615385,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.07692307692307693,0.15384615384615385]",3
59,Domen S,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
60,Dorsi,Ordinary - Registered,0.6,0.3,0.0,10.0,Sequential - One after the other,1,"[0.6,0.3,0.0]",3
61,dragana,Ordinary - Registered,0.14285714285714285,0.2857142857142857,0.42857142857142855,7.0,Mix,2,"[0.14285714285714285,0.2857142857142857,0.42857142857142855]",1
62,Dražen,Ordinary - Registered,0.3333333333333333,0.4444444444444444,0.1111111111111111,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.4444444444444444,0.1111111111111111]",0
63,drejc,Ordinary - Registered,0.2727272727272727,0.36363636363636365,0.2727272727272727,11.0,Sequential - Jumping forward,0,"[0.2727272727272727,0.36363636363636365,0.2727272727272727]",0
64,Duši,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]",2
65,Edvard,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.0,9.0,Sequential - One after the other,1,"[0.6666666666666666,0.2222222222222222,0.0]",3
66,Efa i Neno,Ordinary - Registered,0.5384615384615384,0.15384615384615385,0.23076923076923078,13.0,Sequential - One after the other,1,"[0.5384615384615384,0.15384615384615385,0.23076923076923078]",0
67,Elena Nikolovska,Ordinary - Registered,0.875,0.0,0.0,8.0,Sequential - One after the other,1,"[0.875,0.0,0.0]",2
68,Ferijan Perkovic,Ordinary - Registered,0.4444444444444444,0.3333333333333333,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.4444444444444444,0.3333333333333333,0.1111111111111111]",0
69,filip mestrovic,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]",2
70,Gasper,Ordinary - Registered,0.42857142857142855,0.14285714285714285,0.2857142857142857,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.14285714285714285,0.2857142857142857]",0
71,gcampa,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
72,GITA MARINKOVIC,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]",0
73,Goran Cacic,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
74,Goran Ðurica,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]",3
75,Gordan,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]",3
76,Gordana Genc,Ordinary - Registered,0.4444444444444444,0.4444444444444444,0.0,9.0,Sequential - One after the other,1,"[0.4444444444444444,0.4444444444444444,0.0]",0
77,gpet,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]",3
78,Gregor Primc,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
79,greta,Ordinary - Registered,0.0,0.5714285714285714,0.2857142857142857,7.0,Sequential - Jumping forward,0,"[0.0,0.5714285714285714,0.2857142857142857]",0
80,Grozdana Sirotic,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]",0
81,Grup amor,Ordinary - Registered,0.5555555555555556,0.2222222222222222,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.5555555555555556,0.2222222222222222,0.1111111111111111]",3
82,HanaP,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]",2
83,Hrvoje Juvancic,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]",2
84,Igor Šutic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
85,Igor Žafran,Ordinary - Registered,0.46153846153846156,0.23076923076923078,0.23076923076923078,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.23076923076923078,0.23076923076923078]",0
86,Igor29,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]",2
87,IgorGancevic,Ordinary - Registered,0.625,0.125,0.125,8.0,Sequential - One after the other,1,"[0.625,0.125,0.125]",3
88,igorr,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]",3
89,iivana,Ordinary - Registered,0.14285714285714285,0.5714285714285714,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.14285714285714285,0.5714285714285714,0.14285714285714285]",0
90,Ina,Ordinary - Registered,0.7,0.2,0.0,10.0,Sequential - One after the other,1,"[0.7,0.2,0.0]",3
91,Ines,Ordinary - Registered,0.75,0.125,0.0,8.0,Sequential - One after the other,1,"[0.75,0.125,0.0]",3
92,Ivan Odrljin,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]",3
93,Ivana PR,Ordinary - Registered,0.2,0.6,0.0,5.0,Sequential - Jumping forward,0,"[0.2,0.6,0.0]",0
94,IvanV,Ordinary - Registered,0.3333333333333333,0.3333333333333333,0.16666666666666666,6.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.3333333333333333,0.16666666666666666]",0
95,Ivica Komljenovic,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]",3
96,Iztok3,Ordinary - Registered,0.7,0.2,0.0,10.0,Sequential - One after the other,1,"[0.7,0.2,0.0]",3
97,jadralec Jaro,Ordinary - Registered,0.125,0.5,0.25,8.0,Sequential - Jumping forward,0,"[0.125,0.5,0.25]",0
98,Jadran,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
99,Janez  stupica,Ordinary - Registered,0.5,0.25,0.125,8.0,Sequential - One after the other,1,"[0.5,0.25,0.125]",0
100,Jani Pristavec,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
101,Jaroš,Ordinary - Registered,0.5,0.16666666666666666,0.16666666666666666,6.0,Sequential - One after the other,1,"[0.5,0.16666666666666666,0.16666666666666666]",0
102,Jasminka,Ordinary - Registered,0.42857142857142855,0.2857142857142857,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.2857142857142857,0.14285714285714285]",0
103,jelena,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]",2
104,Jelena-Marija,Ordinary - Registered,0.5454545454545454,0.18181818181818182,0.18181818181818182,11.0,Sequential - One after the other,1,"[0.5454545454545454,0.18181818181818182,0.18181818181818182]",0
105,Jelena Cutura,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]",2
106,jerko,Ordinary - Registered,0.5833333333333334,0.25,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.5833333333333334,0.25,0.08333333333333333]",3
107,Jerko. Marinkovic,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]",3
108,Josip Rabanasic,Ordinary - Registered,0.42857142857142855,0.2857142857142857,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.2857142857142857,0.14285714285714285]",0
109,josko52@gmail.com,Ordinary - Registered,0.5714285714285714,0.14285714285714285,0.14285714285714285,7.0,Sequential - One after the other,1,"[0.5714285714285714,0.14285714285714285,0.14285714285714285]",3
110,JOZE,Ordinary - Registered,0.2,0.2,0.4,5.0,Sequential - Jumping forward,0,"[0.2,0.2,0.4]",1
111,Jožko,Ordinary - Registered,0.5,0.3,0.1,10.0,Sequential - One after the other,1,"[0.5,0.3,0.1]",0
112,Jure Gros,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
113,jure111,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]",2
114,jurebizjak,Ordinary - Registered,0.9166666666666666,0.0,0.0,12.0,Sequential - One after the other,1,"[0.9166666666666666,0.0,0.0]",2
115,kapitan72,Ordinary - Registered,0.3333333333333333,0.2222222222222222,0.3333333333333333,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.2222222222222222,0.3333333333333333]",0
116,Karla,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]",2
117,Karmen Hrvatic,Ordinary - Registered,0.7272727272727273,0.18181818181818182,0.0,11.0,Sequential - One after the other,1,"[0.7272727272727273,0.18181818181818182,0.0]",3
118,Katarina Šedlbauer,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]",2
119,kec,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]",3
120,kemi,Ordinary - Registered,0.0,0.5,0.375,8.0,Sequential - Jumping forward,0,"[0.0,0.5,0.375]",1
121,Kiklop,Ordinary - Registered,0.2727272727272727,0.09090909090909091,0.5454545454545454,11.0,Out of order,3,"[0.2727272727272727,0.09090909090909091,0.5454545454545454]",1
122,KlaraM,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]",0
123,Kreso,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
124,Kristijan Lopac,Ordinary - Registered,0.36363636363636365,0.2727272727272727,0.2727272727272727,11.0,Sequential - Jumping forward,0,"[0.36363636363636365,0.2727272727272727,0.2727272727272727]",0
125,Ksenija Sekulic,Ordinary - Registered,0.08333333333333333,0.3333333333333333,0.5,12.0,Out of order,3,"[0.08333333333333333,0.3333333333333333,0.5]",1
126,Kskoric,Ordinary - Registered,0.5,0.3,0.1,10.0,Sequential - One after the other,1,"[0.5,0.3,0.1]",0
127,Kvasina,Ordinary - Registered,0.9090909090909091,0.0,0.0,11.0,Sequential - One after the other,1,"[0.9090909090909091,0.0,0.0]",2
128,Labura,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]",2
129,Lana,Ordinary - Registered,0.25,0.5,0.0,4.0,Sequential - Jumping forward,0,"[0.25,0.5,0.0]",0
130,Lea Svilicic,Ordinary - Registered,0.5833333333333334,0.25,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.5833333333333334,0.25,0.08333333333333333]",3
131,Leo Mihaljevic,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]",2
132,ljubica basic,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
133,Luc,Ordinary - Registered,0.7272727272727273,0.18181818181818182,0.0,11.0,Sequential - One after the other,1,"[0.7272727272727273,0.18181818181818182,0.0]",3
134,lucijan,Ordinary - Registered,0.23076923076923078,0.38461538461538464,0.3076923076923077,13.0,Sequential - Jumping forward,0,"[0.23076923076923078,0.38461538461538464,0.3076923076923077]",0
135,ludmilla,Ordinary - Registered,0.2,0.2,0.4,5.0,Sequential - Jumping forward,0,"[0.2,0.2,0.4]",1
136,Luka Skocir,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]",3
137,luka.voncina,Ordinary - Registered,0.8333333333333334,0.08333333333333333,0.0,12.0,Sequential - One after the other,1,"[0.8333333333333334,0.08333333333333333,0.0]",2
138,lukaaa11,Ordinary - Registered,0.8333333333333334,0.0,0.0,6.0,Sequential - One after the other,1,"[0.8333333333333334,0.0,0.0]",2
139,Lupodimare,Ordinary - Registered,0.0,0.3333333333333333,0.5,6.0,Out of order,3,"[0.0,0.3333333333333333,0.5]",1
140,Maja Demaria,Ordinary - Registered,0.9,0.0,0.0,10.0,Sequential - One after the other,1,"[0.9,0.0,0.0]",2
141,Maja Grinek,Ordinary - Registered,0.5555555555555556,0.2222222222222222,0.1111111111111111,9.0,Sequential - One after the other,1,"[0.5555555555555556,0.2222222222222222,0.1111111111111111]",3
142,maja laurence,Ordinary - Registered,0.5,0.0,0.25,4.0,Sequential - One after the other,1,"[0.5,0.0,0.25]",0
143,MajaM,Ordinary - Registered,0.46153846153846156,0.07692307692307693,0.38461538461538464,13.0,Sequential - One after the other,1,"[0.46153846153846156,0.07692307692307693,0.38461538461538464]",0
144,Mare_,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]",2
145,mare10,Ordinary - Registered,0.42857142857142855,0.2857142857142857,0.14285714285714285,7.0,Sequential - Jumping forward,0,"[0.42857142857142855,0.2857142857142857,0.14285714285714285]",0
146,Maria,Ordinary - Registered,0.625,0.125,0.125,8.0,Sequential - One after the other,1,"[0.625,0.125,0.125]",3
147,Marijana,Ordinary - Registered,0.8571428571428571,0.0,0.0,7.0,Sequential - One after the other,1,"[0.8571428571428571,0.0,0.0]",2
148,MARINO BRZAC,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]",3
149,Mario Bursac,Ordinary - Registered,0.6666666666666666,0.2222222222222222,0.0,9.0,Sequential - One after the other,1,"[0.6666666666666666,0.2222222222222222,0.0]",3
150,Mario91,Ordinary - Registered,0.8888888888888888,0.0,0.0,9.0,Sequential - One after the other,1,"[0.8888888888888888,0.0,0.0]",2
151,Marjan Henigman,Ordinary - Registered,0.8181818181818182,0.09090909090909091,0.0,11.0,Sequential - One after the other,1,"[0.8181818181818182,0.09090909090909091,0.0]",2
152,Markisha,Ordinary - Registered,0.75,0.0,0.0,4.0,Sequential - One after the other,1,"[0.75,0.0,0.0]",2
153,Marko Dundovic,Ordinary - Registered,0.8461538461538461,0.0,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.8461538461538461,0.0,0.07692307692307693]",2
154,Marko Kralj,Ordinary - Registered,0.8,0.0,0.0,5.0,Sequential - One after the other,1,"[0.8,0.0,0.0]",2
155,Marko L,Ordinary - Registered,0.75,0.08333333333333333,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.75,0.08333333333333333,0.08333333333333333]",3
156,marko maticic,Ordinary - Registered,0.25,0.25,0.25,4.0,Sequential - Jumping forward,0,"[0.25,0.25,0.25]",0
157,Maša,Ordinary - Registered,0.7,0.2,0.0,10.0,Sequential - One after the other,1,"[0.7,0.2,0.0]",3
158,masa sarusic,Ordinary - Registered,0.6666666666666666,0.16666666666666666,0.08333333333333333,12.0,Sequential - One after the other,1,"[0.6666666666666666,0.16666666666666666,0.08333333333333333]",3
159,Mate Vitaljic,Ordinary - Registered,0.4,0.3,0.2,10.0,Sequential - Jumping forward,0,"[0.4,0.3,0.2]",0
160,Matija Osterc,Ordinary - Registered,0.7692307692307693,0.07692307692307693,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.7692307692307693,0.07692307692307693,0.07692307692307693]",3
161,Matija Turkalj,Ordinary - Registered,0.7272727272727273,0.09090909090909091,0.09090909090909091,11.0,Sequential - One after the other,1,"[0.7272727272727273,0.09090909090909091,0.09090909090909091]",3
162,Matjazzavrl,Ordinary - Registered,0.25,0.5,0.125,8.0,Sequential - Jumping forward,0,"[0.25,0.5,0.125]",0
163,Mauro,Ordinary - Registered,0.3333333333333333,0.3333333333333333,0.2222222222222222,9.0,Sequential - Jumping forward,0,"[0.3333333333333333,0.3333333333333333,0.2222222222222222]",0
164,MedoPiki,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
165,melina lakoš,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]",3
166,mihaelas,Ordinary - Registered,0.7777777777777778,0.1111111111111111,0.0,9.0,Sequential - One after the other,1,"[0.7777777777777778,0.1111111111111111,0.0]",3
167,Miho,Ordinary - Registered,0.45454545454545453,0.2727272727272727,0.18181818181818182,11.0,Sequential - Jumping forward,0,"[0.45454545454545453,0.2727272727272727,0.18181818181818182]",0
168,Milan Kuraš,Ordinary - Registered,0.6923076923076923,0.15384615384615385,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.6923076923076923,0.15384615384615385,0.07692307692307693]",3
169,Mirela,Ordinary - Registered,0.5384615384615384,0.23076923076923078,0.15384615384615385,13.0,Sequential - One after the other,1,"[0.5384615384615384,0.23076923076923078,0.15384615384615385]",0
170,Mirjana Puškarski,Ordinary - Registered,0.625,0.25,0.0,8.0,Sequential - One after the other,1,"[0.625,0.25,0.0]",3
171,Mirkomatic,Ordinary - Registered,0.8461538461538461,0.0,0.07692307692307693,13.0,Sequential - One after the other,1,"[0.8461538461538461,0.0,0.07692307692307693]",2
172,miroc,Ordinary - Registered,0.6666666666666666,0.0,0.16666666666666666,6.0,Sequential - One after the other,1,"[0.6666666666666666,0.0,0.16666666666666666]",3
173,Mišo,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]",0
174,MojcaDamijan,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
175,Nataša,Ordinary - Registered,0.5714285714285714,0.2857142857142857,0.0,7.0,Sequential - One after the other,1,"[0.5714285714285714,0.2857142857142857,0.0]",3
176,Nejc Kodric,Ordinary - Registered,0.9230769230769231,0.0,0.0,13.0,Sequential - One after the other,1,"[0.9230769230769231,0.0,0.0]",2
177,Nejc Likar,Ordinary - Registered,0.5,0.25,0.0,4.0,Sequential - One after the other,1,"[0.5,0.25,0.0]",0
