,user,cat,orderseq,orderjump,orderoutOfOrder,orderbehavior,orderClasses,prediction
71,gcampa,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
72,GITA MARINKOVIC,Ordinary - Registered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
73,Goran Cacic,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
74,Goran Ðurica,Ordinary - Registered,9.0,2.0,1.0,Sequential - One after the other,1,1
75,Gordan,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
76,Gordana Genc,Ordinary - Registered,4.0,4.0,0.0,Sequential - One after the other,1,0
77,gpet,Ordinary - Registered,8.0,2.0,1.0,Sequential - One after the other,1,1
78,Gregor Primc,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
79,greta,Ordinary - Registered,0.0,4.0,2.0,Sequential - Jumping forward,0,2
80,Grozdana Sirotic,Ordinary - Registered,1.0,2.0,0.0,Sequential - Jumping forward,0,2
81,Grup amor,Ordinary - Registered,5.0,2.0,1.0,Sequential - One after the other,1,0
82,HanaP,Ordinary - Registered,4.0,0.0,0.0,Sequential - One after the other,1,0
83,Hrvoje Juvancic,Ordinary - Registered,8.0,0.0,0.0,Sequential - One after the other,1,1
84,Igor Šutic,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
85,Igor Žafran,Ordinary - Registered,6.0,3.0,3.0,Sequential - One after the other,1,0
86,Igor29,Ordinary - Registered,5.0,0.0,0.0,Sequential - One after the other,1,0
87,IgorGancevic,Ordinary - Registered,5.0,1.0,1.0,Sequential - One after the other,1,0
88,igorr,Ordinary - Registered,7.0,1.0,0.0,Sequential - One after the other,1,0
89,iivana,Ordinary - Registered,1.0,4.0,1.0,Sequential - Jumping forward,0,2
90,Ina,Ordinary - Registered,7.0,2.0,0.0,Sequential - One after the other,1,0
91,Ines,Ordinary - Registered,6.0,1.0,0.0,Sequential - One after the other,1,0
92,Ivan Odrljin,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
93,Ivana PR,Ordinary - Registered,1.0,3.0,0.0,Sequential - Jumping forward,0,2
94,IvanV,Ordinary - Registered,2.0,2.0,1.0,Sequential - Jumping forward,0,2
95,Ivica Komljenovic,Ordinary - Registered,9.0,2.0,1.0,Sequential - One after the other,1,1
96,Iztok3,Ordinary - Registered,7.0,2.0,0.0,Sequential - One after the other,1,0
97,jadralec Jaro,Ordinary - Registered,1.0,4.0,2.0,Sequential - Jumping forward,0,2
98,Jadran,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
99,Janez  stupica,Ordinary - Registered,4.0,2.0,1.0,Sequential - One after the other,1,0
100,Jani Pristavec,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
101,Jaroš,Ordinary - Registered,3.0,1.0,1.0,Sequential - One after the other,1,2
102,Jasminka,Ordinary - Registered,3.0,2.0,1.0,Sequential - Jumping forward,0,2
103,jelena,Ordinary - Registered,9.0,1.0,0.0,Sequential - One after the other,1,1
104,Jelena-Marija,Ordinary - Registered,6.0,2.0,2.0,Sequential - One after the other,1,0
105,Jelena Cutura,Ordinary - Registered,4.0,0.0,0.0,Sequential - One after the other,1,0
106,jerko,Ordinary - Registered,7.0,3.0,1.0,Sequential - One after the other,1,0
107,Jerko. Marinkovic,Ordinary - Registered,8.0,2.0,1.0,Sequential - One after the other,1,1
108,Josip Rabanasic,Ordinary - Registered,3.0,2.0,1.0,Sequential - Jumping forward,0,2
109,josko52@gmail.com,Ordinary - Registered,4.0,1.0,1.0,Sequential - One after the other,1,0
110,JOZE,Ordinary - Registered,1.0,1.0,2.0,Sequential - Jumping forward,0,2
111,Jožko,Ordinary - Registered,5.0,3.0,1.0,Sequential - One after the other,1,0
112,Jure Gros,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
113,jure111,Ordinary - Registered,5.0,0.0,0.0,Sequential - One after the other,1,0
114,jurebizjak,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
115,kapitan72,Ordinary - Registered,3.0,2.0,3.0,Sequential - Jumping forward,0,2
116,Karla,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
117,Karmen Hrvatic,Ordinary - Registered,8.0,2.0,0.0,Sequential - One after the other,1,1
118,Katarina Šedlbauer,Ordinary - Registered,6.0,0.0,0.0,Sequential - One after the other,1,0
119,kec,Ordinary - Registered,9.0,2.0,1.0,Sequential - One after the other,1,1
120,kemi,Ordinary - Registered,0.0,4.0,3.0,Sequential - Jumping forward,0,2
121,Kiklop,Ordinary - Registered,3.0,1.0,6.0,Out of order,3,2
122,KlaraM,Ordinary - Registered,1.0,2.0,0.0,Sequential - Jumping forward,0,2
123,Kreso,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
124,Kristijan Lopac,Ordinary - Registered,4.0,3.0,3.0,Sequential - Jumping forward,0,2
125,Ksenija Sekulic,Ordinary - Registered,1.0,4.0,6.0,Out of order,3,2
126,Kskoric,Ordinary - Registered,5.0,3.0,1.0,Sequential - One after the other,1,0
127,Kvasina,Ordinary - Registered,10.0,0.0,0.0,Sequential - One after the other,1,1
128,Labura,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
129,Lana,Ordinary - Registered,1.0,2.0,0.0,Sequential - Jumping forward,0,2
130,Lea Svilicic,Ordinary - Registered,7.0,3.0,1.0,Sequential - One after the other,1,0
131,Leo Mihaljevic,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
132,ljubica basic,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
133,Luc,Ordinary - Registered,8.0,2.0,0.0,Sequential - One after the other,1,1
134,lucijan,Ordinary - Registered,3.0,5.0,4.0,Sequential - Jumping forward,0,2
135,ludmilla,Ordinary - Registered,1.0,1.0,2.0,Sequential - Jumping forward,0,2
136,Luka Skocir,Ordinary - Registered,7.0,1.0,0.0,Sequential - One after the other,1,0
137,luka.voncina,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
138,lukaaa11,Ordinary - Registered,5.0,0.0,0.0,Sequential - One after the other,1,0
139,Lupodimare,Ordinary - Registered,0.0,2.0,3.0,Out of order,3,2
140,Maja Demaria,Ordinary - Registered,9.0,0.0,0.0,Sequential - One after the other,1,1
141,Maja Grinek,Ordinary - Registered,5.0,2.0,1.0,Sequential - One after the other,1,0
142,maja laurence,Ordinary - Registered,2.0,0.0,1.0,Sequential - One after the other,1,2
143,MajaM,Ordinary - Registered,6.0,1.0,5.0,Sequential - One after the other,1,0
144,Mare_,Ordinary - Registered,4.0,0.0,0.0,Sequential - One after the other,1,0
145,mare10,Ordinary - Registered,3.0,2.0,1.0,Sequential - Jumping forward,0,2
146,Maria,Ordinary - Registered,5.0,1.0,1.0,Sequential - One after the other,1,0
147,Marijana,Ordinary - Registered,6.0,0.0,0.0,Sequential - One after the other,1,0
148,MARINO BRZAC,Ordinary - Registered,8.0,2.0,1.0,Sequential - One after the other,1,1
149,Mario Bursac,Ordinary - Registered,6.0,2.0,0.0,Sequential - One after the other,1,0
150,Mario91,Ordinary - Registered,8.0,0.0,0.0,Sequential - One after the other,1,1
151,Marjan Henigman,Ordinary - Registered,9.0,1.0,0.0,Sequential - One after the other,1,1
152,Markisha,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
153,Marko Dundovic,Ordinary - Registered,11.0,0.0,1.0,Sequential - One after the other,1,1
154,Marko Kralj,Ordinary - Registered,4.0,0.0,0.0,Sequential - One after the other,1,0
155,Marko L,Ordinary - Registered,9.0,1.0,1.0,Sequential - One after the other,1,1
156,marko maticic,Ordinary - Registered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
157,Maša,Ordinary - Registered,7.0,2.0,0.0,Sequential - One after the other,1,0
158,masa sarusic,Ordinary - Registered,8.0,2.0,1.0,Sequential - One after the other,1,1
159,Mate Vitaljic,Ordinary - Registered,4.0,3.0,2.0,Sequential - Jumping forward,0,2
160,Matija Osterc,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
161,Matija Turkalj,Ordinary - Registered,8.0,1.0,1.0,Sequential - One after the other,1,1
162,Matjazzavrl,Ordinary - Registered,2.0,4.0,1.0,Sequential - Jumping forward,0,2
163,Mauro,Ordinary - Registered,3.0,3.0,2.0,Sequential - Jumping forward,0,2
164,MedoPiki,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
165,melina lakoš,Ordinary - Registered,7.0,1.0,0.0,Sequential - One after the other,1,0
166,mihaelas,Ordinary - Registered,7.0,1.0,0.0,Sequential - One after the other,1,0
167,Miho,Ordinary - Registered,5.0,3.0,2.0,Sequential - Jumping forward,0,0
168,Milan Kuraš,Ordinary - Registered,9.0,2.0,1.0,Sequential - One after the other,1,1
169,Mirela,Ordinary - Registered,7.0,3.0,2.0,Sequential - One after the other,1,0
170,Mirjana Puškarski,Ordinary - Registered,5.0,2.0,0.0,Sequential - One after the other,1,0
171,Mirkomatic,Ordinary - Registered,11.0,0.0,1.0,Sequential - One after the other,1,1
172,miroc,Ordinary - Registered,4.0,0.0,1.0,Sequential - One after the other,1,0
173,Mišo,Ordinary - Registered,2.0,1.0,0.0,Sequential - One after the other,1,2
174,MojcaDamijan,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
175,Nataša,Ordinary - Registered,4.0,2.0,0.0,Sequential - One after the other,1,0
176,Nejc Kodric,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
177,Nejc Likar,Ordinary - Registered,2.0,1.0,0.0,Sequential - One after the other,1,2
178,nenad,Ordinary - Registered,4.0,2.0,0.0,Sequential - One after the other,1,0
179,NenadS,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
180,Neven,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
181,Niko Vukusic,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
182,niko.mihovilovic,Ordinary - Registered,7.0,3.0,1.0,Sequential - One after the other,1,0
183,Nikola Baržic,Ordinary - Registered,0.0,0.0,6.0,Out of order,3,2
184,Nikoleta,Ordinary - Registered,8.0,1.0,0.0,Sequential - One after the other,1,1
185,nikonikokaoja,Ordinary - Registered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
186,Oaky,Ordinary - Registered,6.0,2.0,0.0,Sequential - One after the other,1,0
187,Ojiga,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
188,Pavle,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
189,pedro,Ordinary - Registered,9.0,0.0,0.0,Sequential - One after the other,1,1
190,peri,Ordinary - Registered,8.0,1.0,3.0,Sequential - One after the other,1,1
191,Pero,Ordinary - Registered,7.0,1.0,0.0,Sequential - One after the other,1,0
192,Petar,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
193,PeterKogej,Ordinary - Registered,3.0,5.0,2.0,Sequential - Jumping forward,0,2
194,PetraP,Ordinary - Registered,9.0,0.0,0.0,Sequential - One after the other,1,1
195,Pina,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
196,Pino,Ordinary - Registered,8.0,0.0,0.0,Sequential - One after the other,1,1
197,Pirko,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
198,Pjerino,Ordinary - Registered,5.0,0.0,0.0,Sequential - One after the other,1,0
199,Pjero,Ordinary - Registered,7.0,1.0,0.0,Sequential - One after the other,1,0
200,Plavac_mali,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
201,plombar,Ordinary - Registered,7.0,2.0,3.0,Sequential - One after the other,1,0
202,Pokmon,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
203,Pokret Otoka,Ordinary - Registered,5.0,1.0,0.0,Sequential - One after the other,1,0
204,Polona,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
205,Primosius,Ordinary - Registered,2.0,1.0,0.0,Sequential - One after the other,1,2
206,RadoL,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
207,Ramo,Ordinary - Registered,9.0,1.0,2.0,Sequential - One after the other,1,1
208,Rebeka,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
209,RobiF,Ordinary - Registered,2.0,1.0,0.0,Sequential - One after the other,1,2
210,rocco337,Ordinary - Registered,8.0,0.0,0.0,Sequential - One after the other,1,1
211,Rok321,Ordinary - Registered,2.0,1.0,0.0,Sequential - One after the other,1,2
212,Roki,Ordinary - Registered,6.0,5.0,1.0,Sequential - One after the other,1,0
213,rokian,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
214,Romana,Ordinary - Registered,4.0,2.0,2.0,Sequential - One after the other,1,0
215,ruzica kovacevic,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
216,Sailman,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
217,Salieri,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
218,Sandi,Ordinary - Registered,4.0,1.0,0.0,Sequential - One after the other,1,0
219,sawyer,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
220,shrike,Ordinary - Registered,3.0,2.0,0.0,Sequential - One after the other,1,0
221,Silvestar Tokic,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
222,Šimun Zamberlin,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
223,Škatja,Ordinary - Registered,2.0,3.0,1.0,Sequential - Jumping forward,0,2
224,slipke,Ordinary - Registered,4.0,0.0,0.0,Sequential - One after the other,1,0
225,splicho,Ordinary - Registered,7.0,0.0,0.0,Sequential - One after the other,1,0
226,staneb,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
227,Stanojevic,Ordinary - Registered,4.0,0.0,0.0,Sequential - One after the other,1,0
228,stipica,Ordinary - Registered,3.0,1.0,8.0,Out of order,3,2
229,TAMARA L.,Ordinary - Registered,9.0,2.0,1.0,Sequential - One after the other,1,1
230,tasa,Ordinary - Registered,5.0,1.0,0.0,Sequential - One after the other,1,0
231,Tatjana,Ordinary - Registered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
232,tibor,Ordinary - Registered,3.0,2.0,0.0,Sequential - One after the other,1,0
233,Tina Kiler,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
234,Tjaša,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
235,Tojo,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
236,tomaz1961,Ordinary - Registered,7.0,2.0,2.0,Sequential - One after the other,1,0
237,tomba,Ordinary - Registered,6.0,1.0,1.0,Sequential - One after the other,1,0
238,Tome,Ordinary - Registered,4.0,1.0,1.0,Sequential - One after the other,1,0
239,Tomica,Ordinary - Registered,5.0,1.0,0.0,Sequential - One after the other,1,0
240,Tomislav Cipcic,Ordinary - Registered,3.0,0.0,0.0,Sequential - One after the other,1,0
241,TonCa,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
242,toni88,Ordinary - Registered,11.0,0.0,0.0,Sequential - One after the other,1,1
243,Tpk,Ordinary - Registered,3.0,2.0,1.0,Sequential - Jumping forward,0,2
244,Trojan,Ordinary - Registered,7.0,1.0,0.0,Sequential - One after the other,1,0
245,Urle,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
246,Urosv,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
247,vanja123,Ordinary - Registered,0.0,2.0,2.0,Sequential - Jumping forward,0,2
248,Vedran,Ordinary - Registered,9.0,1.0,0.0,Sequential - One after the other,1,1
249,Vedran_499,Ordinary - Registered,1.0,2.0,3.0,Mix,2,2
250,vedrana,Ordinary - Registered,0.0,1.0,2.0,Out of order,3,2
251,vibord,Ordinary - Registered,10.0,1.0,1.0,Sequential - One after the other,1,1
252,vid,Ordinary - Registered,7.0,2.0,1.0,Sequential - One after the other,1,0
253,Vido,Ordinary - Registered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
254,Vido Repanšek,Ordinary - Registered,2.0,1.0,0.0,Sequential - One after the other,1,2
255,Viktor Vic,Ordinary - Registered,6.0,2.0,2.0,Sequential - One after the other,1,0
256,vini,Ordinary - Registered,5.0,2.0,2.0,Sequential - One after the other,1,0
257,Vlado,Ordinary - Registered,6.0,3.0,1.0,Sequential - One after the other,1,0
258,Vlajko,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
259,Vlasta Svetina,Ordinary - Registered,0.0,0.0,11.0,Out of order,3,2
260,wavemaker,Ordinary - Registered,10.0,1.0,0.0,Sequential - One after the other,1,1
261,x,Ordinary - Registered,8.0,1.0,0.0,Sequential - One after the other,1,1
262,Žanetic,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
263,Zdenko,Ordinary - Registered,1.0,1.0,2.0,Sequential - Jumping forward,0,2
264,Zdenko Škrlj,Ordinary - Registered,4.0,2.0,6.0,Sequential - Jumping forward,0,2
265,Zdravko,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
266,Živko Joncic,Ordinary - Registered,12.0,0.0,0.0,Sequential - One after the other,1,1
267,zvjezdana,Ordinary - Registered,4.0,0.0,0.0,Sequential - One after the other,1,0
268,Zvonimir Matic,Ordinary - Registered,0.0,0.0,3.0,Out of order,3,2
269,003136ec-fd3a-908e-de7e-45301e3b,Ordinary - Unregistered,1.0,0.0,3.0,Out of order,3,2
270,0064c3fd-7e6e-425c-f754-34b889c8,Ordinary - Unregistered,4.0,1.0,0.0,Sequential - One after the other,1,0
271,037820a7-a143-422c-3ebd-3553d373,Ordinary - Unregistered,2.0,1.0,3.0,Mix,2,2
272,04745589-295d-158e-c6c0-ef24f730,Ordinary - Unregistered,3.0,0.0,0.0,Sequential - One after the other,1,0
273,04a7d779-f053-b1a3-386e-82d69979,Ordinary - Unregistered,3.0,2.0,1.0,Sequential - Jumping forward,0,2
274,068616a9-816f-e8e4-d737-6ddba1df,Ordinary - Unregistered,2.0,0.0,1.0,Sequential - One after the other,1,2
275,06f2e041-7a2d-a0ab-5f48-fd01f0a2,Ordinary - Unregistered,10.0,0.0,0.0,Sequential - One after the other,1,1
276,0781bbba-c179-f93c-1116-8d684911,Ordinary - Unregistered,1.0,2.0,1.0,Sequential - Jumping forward,0,2
277,08ee9ac0-7656-2b25-ce41-b44d758e,Ordinary - Unregistered,2.0,1.0,0.0,Sequential - One after the other,1,2
278,0a84077c-d3fa-56fc-803c-a863ca7e,Ordinary - Unregistered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
279,0c9621b0-ff94-77e8-727f-5420882d,Ordinary - Unregistered,5.0,0.0,0.0,Sequential - One after the other,1,0
280,0e59235e-e51a-a5cd-e0ba-0fffe847,Ordinary - Unregistered,9.0,1.0,0.0,Sequential - One after the other,1,1
281,101c246c-3f77-d919-ca38-8d19141e,Ordinary - Unregistered,3.0,0.0,0.0,Sequential - One after the other,1,0
282,10355f7a-f86a-830c-cbf1-fb3c40b6,Ordinary - Unregistered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
283,135b42ab-ac52-d14a-c37c-6ffeca28,Ordinary - Unregistered,7.0,0.0,0.0,Sequential - One after the other,1,0
284,1459b8fd-ecab-4e30-1fc9-3d649648,Ordinary - Unregistered,1.0,1.0,4.0,Out of order,3,2
285,1496b095-5b5f-4c47-5066-49bcf5d6,Ordinary - Unregistered,1.0,2.0,0.0,Sequential - Jumping forward,0,2
286,14a5fec5-bb5b-cac7-e40e-9a363e5c,Ordinary - Unregistered,1.0,1.0,1.0,Sequential - Jumping forward,0,2
287,16ba8f74-d9b7-c724-98c5-f31f43be,Ordinary - Unregistered,3.0,1.0,1.0,Sequential - One after the other,1,2
288,17b4a5d5-5e2a-5bc2-a4e6-25e3d1d4,Ordinary - Unregistered,6.0,0.0,1.0,Sequential - One after the other,1,0
289,195b9f52-3731-37a7-2c74-19d11cb6,Ordinary - Unregistered,4.0,2.0,0.0,Sequential - One after the other,1,0
290,196bc15c-4aac-31e9-7c5d-3599ce10,Ordinary - Unregistered,0.0,0.0,4.0,Out of order,3,2
291,1acb1c12-47e9-e408-eaf9-8167947a,Ordinary - Unregistered,2.0,1.0,0.0,Sequential - One after the other,1,2
292,1b1cd7ac-2f24-1493-5d7e-d7873af1,Ordinary - Unregistered,2.0,1.0,0.0,Sequential - One after the other,1,2
293,1beb31a1-0aea-018e-a7e1-82085ffa,Ordinary - Unregistered,1.0,2.0,0.0,Sequential - Jumping forward,0,2
294,1c09a110-d9c3-2442-9f5d-aee802c0,Ordinary - Unregistered,2.0,0.0,1.0,Sequential - One after the other,1,2
295,1cb07e56-7b73-0087-0a17-3e9c1f88,Ordinary - Unregistered,4.0,2.0,1.0,Sequential - One after the other,1,0
296,1d3ed189-1162-0dd0-bcb2-fda83a50,Ordinary - Unregistered,3.0,1.0,1.0,Sequential - One after the other,1,2
297,1d66d118-9cc1-c6cd-c61c-02ca2ddc,Ordinary - Unregistered,2.0,1.0,1.0,Sequential - One after the other,1,2
298,1d90b45b-4d8d-42a1-43cd-38e1a241,Ordinary - Unregistered,2.0,1.0,1.0,Sequential - One after the other,1,2
